"module";"object";"view";"field";"help"
"axelor-supplychain";"SaleOrderLine";"sale-order-line-form";"toInvoice";"Case à cocher permettant de signifier que la ligne de commande est à facturer avec l'affaire. Si celle-ci est décochée, cette ligne ne sera pas prise en compte lors de la création de la facture de la commande associée. "
"axelor-supplychain";"AppSupplychain";"app-supplychain-config-form";"custStockMoveMgtOnSO";"Permet d'activer la gestion des bons de livraison. Vous pourrez ainsi générer des bons de livraison depuis les commandes clients et depuis la gestion des stocks.
"
"axelor-supplychain";"AppSupplychain";"app-supplychain-config-form";"customerStockMoveGenerationAuto";"Permet d'activer la génération automatique des bons de livraison quand une commande client est confirmée.
"
"axelor-supplychain";"AppSupplychain";"app-supplychain-config-form";"terminateSaleOrderOnDelivery";"Quand cette option est activée, les commandes clients passent automatiquement au statut ""Terminé"" quand les livraisons pour ces commandes ont été réalisés (quand le ou les BL passent au statut ""Réalisé"")."
"axelor-supplychain";"AppSupplychain";"app-supplychain-config-form";"supplStockMoveMgtOnPO";"Permet d'activer la gestion des bons de réception. Vous pourrez ainsi générer des bons de réception depuis les commandes fournisseurs et la gestion des stocks."
"axelor-supplychain";"AppSupplychain";"app-supplychain-config-form";"supplierStockMoveGenerationAuto";"Permet d'activer la génération automatique des bons de réception quand une commande est confirmée."
"axelor-supplychain";"AppSupplychain";"app-supplychain-config-form";"terminatePurchaseOrderOnReceipt";"Quand cette option est activée, les commandes fournisseurs passent automatiquement au statut ""Terminé"" quand les réceptions pour ces commandes ont été réalisées (quand le ou les BR passent au statut ""Réalisé"")."
"axelor-supplychain";"AppSupplychain";"app-supplychain-config-form";"generateInvoiceFromStockMove";"Cette option permet d'activer la possibilité de générer des factures depuis les mouvements de stock. Par exemple, si cette option est activée, vous pourrez générer une facture depuis un bon de livraison au statut réalisé."
"axelor-supplychain";"AppSupplychain";"app-supplychain-config-form";"generateInvoiceFromSaleOrder";"Quand cette option est activée, vous pouvez générer des factures depuis les commandes clients.
"
"axelor-supplychain";"AppSupplychain";"app-supplychain-config-form";"purchaseOrderGenerationAuto";"Quand cette option est activée, les commandes fournisseurs sont automatiquement générées quand une commande client est confirmée. A noter que les commandes fournisseurs ne seront générées que pour les produits dont la méthode d'approvisionnement par défaut sur les commandes clients est ""Acheter"". Cela se configure sur les fiches produits, dans l'onglet ""Ventes"".
"
"axelor-supplychain";"AppSupplychain";"app-supplychain-config-form";"allowSusbcriptionSaleOrder";"Cette option permet d'autoriser la création de devis et commandes de type abonnement."
"axelor-supplychain";"AppSupplychain";"app-supplychain-config-form";"allowTimetableInvoicing";"Cette option permet d'activer la gestion des échéanciers depuis les devis/commandes clients. Vous pourrez générer des factures par lignes d'échéances.
"
"axelor-supplychain";"AppSupplychain";"app-supplychain-config-form";"checkSaleStocks";"Si vous activez cette option, lorsque vous remplissez une ligne de devis/commande, les stocks sont vérifiés à la validation de la ligne. Si la quantité en stock est insuffisante, un message d'avertissement apparait"
"axelor-supplychain";"AppSupplychain";"app-supplychain-config-form";"manageInvoicedAmountByLine";"Cette option permet de créer des factures avec des lignes de facture issues de plusieurs commandes ou des lignes sélectionnées dans une même commande. Le choix se fait donc par ligne et plus au niveau global de la facture. "
"axelor-supplychain";"AppSupplychain";"app-supplychain-config-form";"allowCompleteManuallySaleOrder";"Si vous activez cette option, sur une commande confirmée, un bouton ""Terminer manuellement la commande client"" apparait alors. Vous pourrez alors terminer manuellement une commande. Si l'option ""Terminer les cmdes clients lors de la livraison"" est désactivée, il faudra forcément autoriser de terminer manuellement une commande."
"axelor-supplychain";"AppSupplychain";"app-supplychain-config-form";"generateInvoiceFromPurchaseOrder";"Quand cette option est activée, vous pouvez générer des factures depuis les commandes fournisseurs."
"axelor-supplychain";"AppSupplychain";"app-supplychain-config-form";"allowFinishManuallyPurchaseOrder";"Si vous activez cette option, sur une commande confirmée, un bouton ""Terminer manuellement la commande fournisseur"" apparait alors. Vous pourrez alors terminer manuellement une commande. Si l'option ""Terminer les cmdes fournisseurs lors de la réception"" est désactivée, il faudra forcément autoriser de terminer manuellement une commande."
