"importId";"birtTemplate.importId";"name";"value";"type"
421;51;"mrpId";"$Mrp.id";"decimal"
422;51;"Timezone";"${Mrp.stockLocation?.company?.timezone}";"string"
423;51;"Locale";"${com.axelor.apps.report.engine.ReportSettings.getPrintingLocale()}";"string"
424;51;"endDate";"${com.axelor.inject.Beans.get(com.axelor.apps.supplychain.service.MrpService.class).findMrpEndDate(Mrp).atStartOfDay().toString()}";"string"
425;52;"mrpId";"$Mrp.id";"decimal"
426;52;"Timezone";"${Mrp.stockLocation?.company?.timezone}";"string"
427;52;"Locale";"${com.axelor.apps.report.engine.ReportSettings.getPrintingLocale()}";"string"
431;53;"LogisticalFormId";"$LogisticalForm.id";"decimal"
432;53;"Timezone";"${LogisticalForm?.company?.timezone}";"string"
433;53;"Locale";"${com.axelor.apps.report.engine.ReportSettings.getPrintingLocale(LogisticalForm.deliverToCustomerPartner)}";"string"
435;54;"DeclarationOfExchangesId";"$DeclarationOfExchanges.id";"decimal"
436;54;"UserId";"${__user__?.id}";"decimal"
437;54;"Locale";"${com.axelor.apps.report.engine.ReportSettings.getPrintingLocale()}";"string"
441;55;"DeclarationOfExchangesId";"$DeclarationOfExchanges.id";"decimal"
442;55;"UserId";"${__user__?.id}";"decimal"
443;55;"Locale";"${com.axelor.apps.report.engine.ReportSettings.getPrintingLocale()}";"string"
444;55;"Timezone";"${DeclarationOfExchanges.company?.timezone}";"string"
