"importId";"name";"roles.name"
638;"stock-root";"Admin"
639;"stock-root-stock-moves";"Admin"
640;"stock-root-custdeliveries";"Admin"
641;"stock-root-custreturns";"Admin"
642;"stock-root-suparrivals";"Admin"
643;"stock-root-supreturns";"Admin"
644;"stock-root-internal";"Admin"
645;"stock-root-search";"Admin"
646;"stock-root-planned";"Admin"
647;"stock-root-incoming-production";"Admin"
648;"stock-root-outcoming-production";"Admin"
649;"stock-root-incoming-supplier";"Admin"
650;"stock-root-outcoming-supplier";"Admin"
651;"stock-root-outcoming-client";"Admin"
652;"stock-root-incoming-client";"Admin"
653;"stock-root-inventories";"Admin"
654;"stock-root-all-line";"Admin"
655;"stock-root-stock-per-day";"Admin"
656;"stock-root-products";"Admin"
657;"stock-root-report";"Admin"
658;"stock-root-conf";"Admin"
659;"stock-root-incoterm";"Admin"
660;"stock-root-stock-location";"Admin"
661;"stock-root-stock-location-tree";"Admin"
662;"stock-root-conf-stock-rules";"Admin"
663;"stock-root-conf-stock-tracking-numbers";"Admin"
664;"stock-root-conf-freight-carrier";"Admin"
665;"stock-root-conf-freight-carrier-mode";"Admin"
666;"stock-root-conf-shipment-mode";"Admin"
667;"stock-root-conf-tracking-number-config";"Admin"
668;"stock-root-conf-customs-code-nomenclature";"Admin"
669;"admin-root-batch-stock";"Admin"
670;"menu-stock-dashboard-1";"Admin"
671;"menu-stock-dashboard-2";"Admin"
672;"stock-root-logistical-forms";"Admin"
673;"stock-root-conf-cancel-reason";"Admin"
674;"stock-root-custshipprep";"Admin"
675;"stock-root-stock-correction";"Admin"
676;"stock-root-abc-analysis";"Admin"
677;"stock-root-conf-stock-correction-reason";"Admin"
