"importId";"birtTemplate.importId";"name";"value";"type"
19;6;"Timezone";"${inventory.company?.timezone}";"string"
20;6;"__locale";"${com.axelor.apps.report.engine.ReportSettings.getPrintingLocale()}";"string"
21;6;"InventoryId";"$inventory.id";"decimal"
521;6;"activateBarCodeGeneration";"${__bean__(com.axelor.apps.base.service.app.AppBaseService.class).getAppBase().getActivateBarCodeGeneration()}";"boolean"
92;27;"PrintType";"${hasVariable('PrintType')?PrintType:1}";"string"
522;27;"FinancialDataDateTime";"${hasVariable('FinancialDataDateTime')?FinancialDataDateTime:__datetime__}";"dateTime"
93;27;"__locale";"${com.axelor.apps.report.engine.ReportSettings.getPrintingLocale()}";"string"
94;27;"StockLocationId";"${hasVariable('StockLocationId')?StockLocationId:'('+stockLocation?.id+')'}";"string"
523;27;"WithoutDetailsByStockLocation";"${hasVariable('WithoutDetailsByStockLocation') && WithoutDetailsByStockLocation}";"boolean"
95;28;"Timezone";"${stockMove.company?.timezone}";"string"
96;28;"__locale";"${com.axelor.apps.report.engine.ReportSettings.getPrintingLocale(stockMove.partner)}";"string"
97;28;"StockMoveId";"$stockMove.id";"decimal"
98;28;"HeaderHeight";"${stockMove.printingSettings?.pdfHeaderHeight}";"decimal"
99;28;"FooterHeight";"${stockMove.printingSettings?.pdfFooterHeight}";"decimal"
501;28;"AddressPositionSelect";"${stockMove.printingSettings?.addressPositionSelect}";"integer"
502;28;"GroupProducts";"${__bean__(com.axelor.apps.base.service.app.AppBaseService.class).getAppBase().getIsRegroupProductsOnPrintings() && stockMove.groupProductsOnPrintings}";"boolean"
503;28;"GroupProductTypes";"${__bean__(com.axelor.apps.base.service.app.AppBaseService.class).getAppBase().getRegroupProductsTypeSelect()}";"string"
504;28;"GroupProductLevel";"${__bean__(com.axelor.apps.base.service.app.AppBaseService.class).getAppBase().getRegroupProductsLevelSelect()}";"string"
505;28;"GroupProductProductTitle";"${__bean__(com.axelor.apps.base.service.app.AppBaseService.class).getAppBase().getRegroupProductsLabelProducts()}";"string"
506;28;"GroupProductServiceTitle";"${__bean__(com.axelor.apps.base.service.app.AppBaseService.class).getAppBase().getRegroupProductsLabelServices()}";"string"
511;71;"Timezone";"${stockMove.company?.timezone}";"string"
512;71;"__locale";"${com.axelor.apps.report.engine.ReportSettings.getPrintingLocale(stockMove.partner)}";"string"
513;71;"StockMoveId";"$stockMove.id";"decimal"
514;71;"HeaderHeight";"${stockMove.printingSettings?.pdfHeaderHeight}";"decimal"
515;71;"FooterHeight";"${stockMove.printingSettings?.pdfFooterHeight}";"decimal"
516;72;"Timezone";"${stockMove.company?.timezone}";"string"
517;72;"__locale";"${com.axelor.apps.report.engine.ReportSettings.getPrintingLocale(stockMove.partner)}";"string"
518;72;"StockMoveId";"$stockMove.id";"decimal"
519;72;"HeaderHeight";"${stockMove.printingSettings?.pdfHeaderHeight}";"decimal"
520;72;"FooterHeight";"${stockMove.printingSettings?.pdfFooterHeight}";"decimal"
661;121;"Timezone";"${inventory.company?.timezone}";"string"
662;121;"__locale";"${com.axelor.apps.report.engine.ReportSettings.getPrintingLocale()}";"string"
663;121;"InventoryId";"$inventory.id";"decimal"
664;121;"activateBarCodeGeneration";"${__bean__(com.axelor.apps.base.service.app.AppBaseService.class).getAppBase().getActivateBarCodeGeneration()}";"boolean"
665;122;"Timezone";"${inventory.company?.timezone}";"string"
666;122;"__locale";"${com.axelor.apps.report.engine.ReportSettings.getPrintingLocale()}";"string"
667;122;"InventoryId";"$inventory.id";"decimal"
668;122;"activateBarCodeGeneration";"${__bean__(com.axelor.apps.base.service.app.AppBaseService.class).getAppBase().getActivateBarCodeGeneration()}";"boolean"
669;123;"PrintType";"${hasVariable('PrintType')?PrintType:1}";"string"
670;123;"FinancialDataDateTime";"${hasVariable('FinancialDataDateTime')?FinancialDataDateTime:__datetime__}";"dateTime"
671;123;"__locale";"${com.axelor.apps.report.engine.ReportSettings.getPrintingLocale()}";"string"
672;123;"StockLocationId";"${hasVariable('StockLocationId')?StockLocationId:'('+stockLocation?.id+')'}";"string"
673;123;"WithoutDetailsByStockLocation";"${hasVariable('WithoutDetailsByStockLocation') && WithoutDetailsByStockLocation}";"boolean"
