"module";"object";"view";"field";"help"
"axelor-stock";"StockMove";"stock-move-form";"conformitySelect";"Permet de spécifier si le produit (généralement reçu) est bien conforme à la demande. "
"axelor-stock";"StockMove";"stock-move-form";"isWithReturnSurplus";"Cette case à cocher permet de faire générer automatiquement un nouveau mouvement de stock en cas de surplus de quantité sur un produit (une fois les valeurs réelles renseignées). "
"axelor-stock";"StockMove";"stock-move-form";"isWithBackorder";"Cette case à cocher permet de faire générer automatiquement un nouveau mouvement de stock en cas de manque de quantité sur un produit (une fois les valeurs réelles renseignées). "
"axelor-stock";"StockMove";"stock-move-form";"fromAddress";"Uniquement pour les réceptions. Ce champ permet de sélectionner l'adresse de départ du mouvement de stock parmi les adresses configurées dans la fiche du fournisseur. "
"axelor-stock";"StockMoveLine";"stock-move-line-form";"conformitySelect";"Permet de spécifier si le produit (généralement reçu) est bien conforme à la demande. "
"axelor-stock";"Inventory";"inventory-form";"excludeOutOfStock";"Case à cocher permettant d'exclure des lignes d'inventaires les produits ayant un stock à 0. "
"axelor-stock";"TrackingNumberConfiguration";"tracking-number-configuration-form";"generatePurchaseAutoTrackingNbr";"Case à cocher permettant de déclencher une génération automatique du numéro de suivi à partir d'une séquence paramétrable. "
"axelor-stock";"TrackingNumberConfiguration";"tracking-number-configuration-form";"purchaseQtyByTracking";"Permet de renseigner la quantité (en unité produit) de produit qui sera regroupée en lot sous un même numéro de suivi. Par défaut cette valeur est paramétrée à 1."
"axelor-stock";"TrackingNumberConfiguration";"tracking-number-configuration-form";"generateProductionAutoTrackingNbr";"Case à cocher permettant de déclencher une génération automatique du numéro de suivi à partir d'une séquence paramétrable. "
"axelor-stock";"TrackingNumberConfiguration";"tracking-number-configuration-form";"productionQtyByTracking";"Permet de renseigner la quantité (en unité produit) de produit qui sera regroupée en lot sous un même numéro de suivi. Par défaut cette valeur est paramétrée à 1."
"axelor-stock";"TrackingNumberConfiguration";"tracking-number-configuration-form";"generateSaleAutoTrackingNbr";"Case à cocher permettant de déclencher une génération automatique du numéro de suivi à partir d'une séquence paramétrable. "
"axelor-stock";"TrackingNumberConfiguration";"tracking-number-configuration-form";"hasSaleAutoSelectTrackingNbr";"Case à cocher permettant de préciser que le numéro de suivi associé à un produit sur une commande client  sera automatiquement sélectionné en respectant une règle sur l'entrée en stock du produit (FIFO / LIFO)"
"axelor-stock";"TrackingNumberConfiguration";"tracking-number-configuration-form";"saleAutoTrackingNbrOrderSelect";"Permet de sélectionner si lors de la vente d'un produit on viendra sélectionner le numéro de suivi le plus  ancien (FIFO) ou le plus récent (LIFO)"
"axelor-stock";"TrackingNumberConfiguration";"tracking-number-configuration-form";"saleQtyByTracking";"Permet de renseigner la quantité (en unité produit) de produit qui sera regroupée en lot sous un même numéro de suivi. Par défaut cette valeur est paramétrée à 1."
"axelor-stock";"StockConfig";"stock-config-form";"realizeStockMovesUponParcelPalletCollection";"Si cette option est activée, quand une fiche logistique passe au statut enlevé, le BL passe automatiquement au statut ""Réalisé"".
"
"axelor-stock";"StockConfig";"stock-config-form";"freightCarrierCustomerAccountNumberList";"Permet de rentrer son numéro de compte client chez ses transporteurs."
"axelor-stock";"StockConfig";"stock-config-form";"stockMoveAutomaticMail";"En cochant cette case, un email va automatiquement être envoyé lors de la réalisation d'un mouvement de stock. Vous pouvez sélectionner le modèle de message qui sera envoyé."
