key,message,language
Add on catalog,Zusätzlicher Katalog,de
All my invoices,Alle meine Rechnungen,de
Allow supplier to create products,"Erlauben Sie Anbietern, Produkte zu erstellen",de
App,App,de
App Supplier Portal,App Lieferantenportal,de
App supplier portal,App Anbieterportal,de
Awaiting invoice,Erwartete Rechnung,de
Awaiting invoices,Ausstehende Rechnungen,de
Catalog,Katalog,de
Code,Code,de
Create new product,Neues Produkt erstellen,de
Deliveries to prepare,Vorzubereitende Lieferungen,de
Delivery,Lieferung,de
Description,Beschreibung,de
Display product catalog,Produktkatalog anzeigen,de
Displaying module portal,Anzeige des Modulportals,de
Due date,Fälligkeitsdatum,de
Invoice,Rechnung,de
Invoice date,Datum der Rechnung,de
Invoice supplier,Lieferant der Rechnung,de
Invoicing,Rechnungsstellung,de
Last delivery,Letzte Lieferung,de
Last order,Letzte Bestellung,de
Manage delivery,Verwalten der Lieferung,de
Manage invoices,Verwalten von Rechnungen,de
Manage purchase orders,Verwalten von Bestellungen,de
My deliveries,Meine Lieferungen,de
My invoices,Meine Rechnungen,de
My purchase orders,Meine Bestellungen,de
My space,Mein Raum,de
Name,Name,de
Next delivery,Nächste Lieferung,de
None,Keine,de
Orders,Bestellungen,de
Overdue invoices,Überfällige Rechnungen,de
Partner,Partner,de
Picture,Bild,de
Please download a PDF file for invoice.,Bitte laden Sie eine PDF-Datei für die Rechnung herunter.,de
Product,Produkt,de
Product created,Produkt erstellt,de
Product has no code.,Das Produkt hat keinen Code.,de
Product has no name.,Das Produkt hat keinen Namen.,de
Product supplier,Produktanbieter,de
Purchase currency,Währung kaufen,de
Purchase order,Bestellung,de
Purchase orders,Kaufaufträge,de
Purchase price W.T.,Purchase price W.T.,de
Purchase unit,Einheit kaufen,de
Quotation In Progress,Angebot in Arbeit,de
Quotation in progress,Angebot in Arbeit,de
Receipt date,Empfangsdatum,de
Stock move,Lagerbewegung,de
Stock move information,Informationen zu Aktienbewegungen,de
Stock move line,Bewegungslinie der Aktie,de
Stock move lines,Bewegungslinien für Aktien,de
Stock move reference,Referenz für Aktienbewegungen,de
Stock moves,Aktienbewegungen,de
The code is already in database. Please choose another one.,Der Code befindet sich bereits in der Datenbank. Bitte wählen Sie einen anderen.,de
Total remaining,Verbleibende Gesamtmenge,de
value:Supplier Portal,value:Supplier Portal,de
