"importId";"code";"name"
1;;"Afghanisch"
2;;"Albanisch"
3;;"Algerisch"
4;;"US-amerikanisch"
5;;"Andorranisch"
6;;"Angolanisch"
7;;"Antiguanisch"
8;;"Argentinisch"
9;;"Armenisch"
10;;"Arubans"
11;;"Australisch"
12;;"Österreichisch"
13;;"Aserbaidschanisch"
14;;"Bahamaisch"
15;;"Bahrainisch"
16;;"Bangladeschisch"
17;;"Barbadisch"
18;;"Basques"
19;;"Belarussisch"
20;;"Belgisch"
21;;"Belizisch"
22;;"Beninisch"
23;;"Bermudians"
24;;"Bhutanisch"
25;;"Bolivianisch"
26;;"Bosnisch"
27;;"Bosnisch-herzegowinisch"
28;;"Botsuanisch"
29;;"Brasilianisch"
30;;"Bretons"
31;;"Britisch"
32;;"British Virgin Islanders"
33;;"Bruneiisch"
34;;"Bulgarisch"
35;;"Macedonian Bulgarians"
36;;"Burkinisch"
37;;"Burmese"
38;;"Burundisch"
39;;"Kambodschanisch"
40;;"Kamerunisch"
41;;"Kanadisch"
42;;"Catalans"
43;;"Kapverdisch"
44;;"Tschadisch"
45;;"Chilenisch"
46;;"Chinesisch"
47;;"Kolumbianisch"
48;;"komorisch"
49;;"Kongolesisch"
50;;"Costa-ricanisch"
51;;"Kroatisch"
52;;"Kubanisch"
53;;"Zyprisch"
54;;"Tschechisch"
55;;"Danes"
56;;"Greenlanders"
57;;"Dschibutisch"
58;;"Dominicanisch"
59;;"Dominikanisch"
60;;"Niederländisch"
61;;"Osttimorisch"
62;;"Ecuadorianisch"
63;;"Ägyptisch"
64;;"Emiratisch"
65;;"English"
66;;"Äquatorialguineisch"
67;;"Eritreisch"
68;;"Estnisch"
69;;"Äthiopisch"
70;;"Falkland Islanders"
71;;"Faroese"
72;;"Fidschianisch"
73;;"Finnisch"
74;;"Finnish Swedish"
75;;"Philippinisch"
76;;"Französich"
77;;"Gabunisch"
78;;"Gambisch"
79;;"Georgisch"
80;;"Deutsch"
81;;"Baltic Germans"
82;;"Ghanaisch"
83;;"Gibraltarians"
84;;"Griechisch"
85;;"Greek Macedonians"
86;;"Grenadians"
87;;"Guatemaltekisch"
88;;"Guianese (French)"
89;;"Guineisch"
90;;"Guinea-bissauisch"
91;;"Guyanisch"
92;;"Haitianisch"
93;;"Honduranisch"
94;;"Hong Kongers"
95;;"Ungarisch"
96;;"Isländisch"
97;;"Kiribatisch"
98;;"Indisch"
99;;"Indonesisch"
100;;"Iranisch"
101;;"Irakisch"
102;;"Irisch"
103;;"Israelisch"
104;;"Italienisch"
105;;"Ivoirisch"
106;;"Jamaikanisch"
107;;"Japanisch"
108;;"Jordanisch"
109;;"Kasachisch"
110;;"Kenianisch"
111;;"Koreans"
112;;"Kosovarisch"
113;;"Kuwaitisch"
114;;"Kirgisisch"
115;;"Laotisch"
116;;"Lettisch"
117;;"Libanesisch"
118;;"Liberianisch"
119;;"Libysch"
120;;"Liechtensteinisch"
121;;"Litauisch"
122;;"Luxemburgisch"
123;;"Macao"
124;;"Macedonians"
125;;"Madagassisch"
126;;"Malawisch"
127;;"Malaysisch"
128;;"Maledivisch"
129;;"Malisch"
130;;"Maltesisch"
131;;"Manx"
132;;"Marshallisch"
133;;"Mauretanisch"
134;;"Mauritisch"
135;;"Mexikanisch"
136;;"Mikronesisch"
137;;"Moldauisch"
138;;"Monegassisch"
139;;"Mongolisch"
140;;"Montenegrinisch"
141;;"Marokkanisch"
142;;"Mosambikanisch"
143;;"Namibisch"
144;;"Nauruisch"
145;;"Nepalesisch"
146;;"Neuseeländisch"
147;;"Nicaraguanisch"
148;;"Nigrisch"
149;;"Nigerianisch"
150;;"Norwegisch"
151;;"Omanisch"
152;;"Pakistanisch"
153;;"Palauisch"
154;;"Palästinensich"
155;;"Panamaisch"
156;;"Papua-neuguineisch"
157;;"Paraguayisch"
158;;"Peruanisch"
159;;"Polnisch"
160;;"Portugiesisch"
161;;"Puerto-ricanisch"
162;;"Katarisch"
163;;"Quebecers"
164;;"Réunionnais"
165;;"Rumänisch"
166;;"Russisch"
167;;"Baltic Russians"
168;;"Ruandisch"
169;;"Saint Kitts and Nevis"
170;;"Saint Lucians"
171;;"Salvadorianisch"
172;;"San-marinesisch"
173;;"Samoanisch"
174;;"São-toméisch"
175;;"Saudi-arabisch"
176;;"Schottisch"
177;;"Senegalesisch"
178;;"Serbisch"
179;;"Seychellisch"
180;;"Sierra-leonisch"
181;;"Singapurisch"
182;;"Slowakisch"
183;;"Slowenisch"
184;;"Salomonisch"
185;;"Somalisch"
186;;"Somalilanders"
187;;"Sotho"
188;;"Südafrikanisch"
189;;"Spanisch"
190;;"Sri-lankisch"
191;;"Sudanesisch"
192;;"Surinamisch"
193;;"Swasi"
194;;"schwedisch"
195;;"Schweizerisch"
196;;"Syriacs"
197;;"Syrisch"
198;;"Taiwanisch"
199;;"Tamils"
200;;"Tadschikisch"
201;;"Tansanisch"
202;;"Thailändisch"
203;;"Tibetisch"
204;;"Tobagonians"
205;;"Togoisch"
206;;"Tongaisch"
207;;"Trinidadians"
208;;"Tunesisch"
209;;"Türkisch"
210;;"Tuvaluisch"
211;;"Ugandisch"
212;;"Ukrainisch"
213;;"Uruguayisch"
214;;"Usbekisch"
215;;"Vanuatuisch"
216;;"Venezolanisch"
217;;"Vietnamesisch"
218;;"Vincentians"
219;;"Walisisch"
220;;"Jemenitisch"
221;;"Sambisch"
222;;"Simbabwisch"
