key,message,language
ABS portal,ABS-Portal,de
App,App,de
App Portal,App-Portal,de
App portal,App-Portal,de
Assign to customer,Dem Kunden zuordnen,de
Assign to supplier,Dem Lieferanten zuordnen,de
Awaiting invoices,Ausstehende Rechnungen,de
Can confirm online,Kann online bestätigt werden,de
Can pay online,Online bezahlen können,de
Catalog,Katalog,de
Code,Code,de
Company tickets,Tickets für Unternehmen,de
Customer helpdesk,Kunden-Helpdesk,de
Customer tickets,Kundenkarten,de
Delivery,Lieferung,de
Display product catalog,Produktkatalog anzeigen,de
Electronic signature,Elektronische Unterschrift,de
External portal,Externes Portal,de
Helpdesk,Helpdesk,de
Invoicing,Rechnungsstellung,de
Last delivery,Letzte Lieferung,de
Last order,Letzte Bestellung,de
Late tickets,Verspätete Tickets,de
Manage delivery,Verwalten der Lieferung,de
Manage invoices,Verwalten von Rechnungen,de
Manage projects,Projekte leiten,de
Manage sale orders,Verwalten von Verkaufsaufträgen,de
Manage tickets,Tickets verwalten,de
Modules,Module,de
Months,Monate,de
My credit notes,Meine Gutschriften,de
My deliveries,Meine Lieferungen,de
My invoices,Meine Rechnungen,de
My projects,Meine Projekte,de
My quotations,Meine Zitate,de
My reversions,Meine Umkehrungen,de
My space,Mein Raum,de
My tickets,Meine Karten,de
Name,Name,de
Next delivery,Nächste Lieferung,de
None,Keine,de
Online payment method,Online-Zahlungsmethode,de
Online payment methods,Online-Zahlungsmethoden,de
Orders in progress,Laufende Aufträge,de
Overdue invoices,Überfällige Rechnungen,de
Password,Passwort,de
Planned deliveries,Geplante Lieferungen,de
Portal,Portal,de
Project,Projekt,de
Projects,Projekte,de
Resolved tickets,Gelöste Tickets,de
Sale order,Verkaufsauftrag,de
Sum,Summe,de
Sum of last 4 months invoices,Summe der Rechnungen der letzten 4 Monate,de
Tasks due,Fällige Aufgaben,de
Tasks incompleted,Unerledigte Aufgaben,de
Total projects,Projekte insgesamt,de
Total remaining,Verbleibende Gesamtmenge,de
User is not linked with any partner. Please disconnect.,Der Benutzer ist mit keinem Partner verbunden. Bitte trennen Sie die Verbindung.,de
chart,Karte,de
value:Portal,value:Portal,de
