key,message,language
Accept Order,Auftrag annehmen,de
All open ticket,Alle offenen Tickets,de
All tickets,Alle Fahrkarten,de
Announcement,Ankündigung,de
App,App,de
App Business Support,App Business Support,de
App business support,App Business Support,de
Assigning to the customer,Zuweisung an den Kunden,de
Assigning to the provider,Zuweisung an den Anbieter,de
Assignment,Zuweisung,de
Business project,Geschäftliches Projekt,de
Configuration,Konfiguration,de
Content,Inhalt,de
Customer,Kunde,de
Date,Datum,de
Internal Description,Interne Beschreibung,de
My Tickets,Meine Tickets,de
My tickets,Meine Karten,de
New Ticket,Neues Ticket,de
New tasks,Neue Aufgaben,de
Order Accepted,Bestellung angenommen,de
Order Proposed,Vorgeschlagene Bestellung,de
Overview,Übersicht,de
Private,Privat,de
Project,Projekt,de
Project Activity,Projekt Tätigkeit,de
Provider,Anbieter,de
Provider Company,Anbieter Unternehmen,de
Task,Aufgabe,de
Task assigned to,Aufgabe zugewiesen an,de
Task assigned to the client,Dem Kunden zugewiesene Aufgabe,de
Task assigned to the provider,Dem Anbieter zugewiesene Aufgabe,de
Tasks,Aufgaben,de
Tasks to be treated by customer,Vom Kunden zu bearbeitende Aufgaben,de
Tasks to be treated by provider,Vom Anbieter zu erledigende Aufgaben,de
Ticket,Ticket,de
Tickets,Eintrittskarten,de
Title,Titel,de
value:Business Support,value:Business Support,de
