key,message,language
%d contract(s) treated and %d anomaly(ies) reported !,%d behandelte(r) Vertrag/Verträge und %d gemeldete Anomalien !,de
"<><Badge bg=""warning"">{_t('This pricing is already used by another contract line. Use the + button to create a new copy.')}</Badge></>","<><Badge bg=""warning"">{_t('Dieser Preis wird bereits von einer anderen Vertragslinie verwendet. Verwenden Sie die Schaltfläche +, um eine neue Kopie zu erstellen.')}</Badge></>",de
"A billing contract is used to generate invoices, whereas a framework contract is used to generate orders. Invoices from framework contracts are generated either from orders, stock move or business project.","Ein Fakturierungsvertrag wird zur Erstellung von Rechnungen verwendet, während ein Rahmenvertrag zur Erstellung von Bestellungen dient. Rechnungen aus Rahmenverträgen werden entweder aus Aufträgen, Lagerbewegungen oder Geschäftsprojekten erstellt.",de
Account management,Kontoführung,de
Action,Aktion,de
Action %s has no Batch implementation.,Aktion %s hat keine Batch-Implementierung.,de
Actions,Aktionen,de
Activate contract,Vertrag aktivieren,de
Activated By,Aktiviert durch,de
Activation date,Datum der Aktivierung,de
Active,Aktiv,de
Additional Benefit Management,Zusätzliches Benefit Management,de
Additional benefit,Zusätzlicher Nutzen,de
Additional benefit lines,Zusätzliche Leistungslinien,de
Additional benefit management,Verwaltung von Zusatzleistungen,de
Additional products,Zusätzliche Produkte,de
Advanced,Fortgeschrittene,de
Amendment,Abänderung,de
Amendment management,Verwaltung der Änderungsanträge,de
Amendment status,Status der Änderung,de
Amendments,Änderungsanträge,de
Analytic Move Line,Analytic Move Line,de
Analytic distribution template,Vorlage für die analytische Verteilung,de
Analytic move line,Analytische Bewegungslinie,de
Analytic move lines,Analytische Bewegungslinien,de
Analytics,Analytik,de
App,App,de
App contract,App-Vertrag,de
Are you sure you want to remove the selected lines?,"Sind Sie sicher, dass Sie die ausgewählten Zeilen entfernen möchten?",de
"Attention the contract will have as starting date the provisional activation         date ${currentContractVersion.supposedActivationDate}, Are you sure?","Attention the contract will have as starting date the provisional activation         date ${currentContractVersion.supposedActivationDate}, Are you sure?",de
Auto enable version on renew,Automatische Aktivierung der Version bei Erneuerung,de
Automatic invoicing,Automatische Rechnungsstellung,de
