"processInstanceId","methodName","className","name","dataType","importId"
"","name","name","name.name","String","1"
"","firstName","name","name.firstName","String","2"
"","lastName","name","name.lastName","String","3"
"","fullName","name","name.fullName","String","4"
"","streetAddress","address","address.streetAddress","String","5"
"","fullAddress","address","address.fullAddress","String","6"
"","city","address","address.city","String","7"
"","zipCode","address","address.zipCode","String","8"
"","name","company","company.name","String","9"
"","creditCard","finance","finance.creditCard","String","10"
"","iban","finance","finance.iban","String","11"
"","emailAddress","internet","internet.emailAddress","String","12"
"","cellPhone","phoneNumber","phoneNumber.cellPhone","String","13"
"","phoneNumber","phoneNumber","phoneNumber.phoneNumber","String","14"
"","latitude","address","address.latitude","String","15"
"","longitude","address","address.longitude","String","16"
"","streetAddressNumber","address","address.streetAddressNumber","String","17"
"","secondaryAddress","address","address.secondaryAddress","String","18"
"","domainName","internet","internet.url","String","19"
"","title","job","job.title","String","20"
"","bool","bool","bool.bool","Boolean","21"
"","imei","code","code.imei","String","22"
"","birthday","date","date.birthday","LocalDateTime","23"
"","character","lorem","lorem.character","String","24"
"","sentence","lorem","lorem.sentence","String","25"
"","word","lorem","lorem.word","String","26"
"","department","commerce","commerce.department","String","27"
"","future","date","date.future","LocalDateTime","28"
"","past","date","date.past","LocalDateTime","29"
"","characters","lorem","lorem.characters","String","30"
"","numberBetween","number","number.numberBetween","integer","31"
"","nextInt","random","random.nextInt","integer","32"
