key,message,language
Accept,Akzeptieren,de
Accepted,Angenommen,de
Actions,Aktionen,de
Available qty,Verfügbare Menge,de
Cancel,Abbrechen,de
Canceled,Abgesagt,de
Comments,Kommentare,de
Estim. delivery date,Voraussichtliches Lieferdatum,de
Generate all suppliers requests,Generieren Sie alle Lieferantenanfragen,de
Generate suppliers purchase orders,Generierung von Lieferantenbestellungen,de
Initial purchase order,Erstbestellung,de
Manage supplier consultations,Verwalten von Lieferantenkonsultationen,de
Not accept,Nicht akzeptieren,de
Not accepted,Nicht akzeptiert,de
Ordered quantity,Bestellte Menge,de
Purchase order,Bestellung,de
Purchase order Details,Bestellung Details,de
Request,Anfrage,de
Requested,Angefordert,de
Show suppliers purchase orders,Lieferantenbestellungen anzeigen,de
State,Staat,de
Submit,Einreichen,de
Submitted,Eingereicht,de
Supplier,Anbieter,de
Supplier RFQ/PO,Lieferant RFQ/PO,de
Supplier consultations,Konsultation der Lieferanten,de
Supplier request,Anfrage des Lieferanten,de
Supplier's consulting's request created,Antrag auf Beratung des Lieferanten erstellt,de
Suppliers orders' generation over,Generierung von Aufträgen durch Lieferanten über,de
Suppliers purchase,Lieferanten kaufen,de
Suppliers requests,Anfragen von Lieferanten,de
Tools,Werkzeuge,de
Unit price,Preis pro Einheit,de
WARNING : To Date must be after or equals to From Date,WARNUNG: Das Bis-Datum muss nach dem Von-Datum liegen oder gleich diesem sein.,de
Write to the supplier,Schreiben Sie an den Lieferanten,de
suppliers requests,Lieferantenanfragen,de
