"importId";"importOrigin";"code";"name";"closureDateTime";"company_importId";"fromDate";"periodDurationSelect";"processInstanceId";"reportedBalanceDate";"statusSelect";"toDate";"typeSelect"
"1";"";"AF2024";"AF 2024";"";"1";"2024-01-01";"month";"";"2025-01-01";"1";"2024-12-31";"1"
"2";"";"AF2025";"AF 2025";"";"1";"2025-01-01";"month";"";"2026-01-01";"1";"2025-12-31";"1"
"3";"";"AF2026";"AF 2026";"";"1";"2026-01-01";"month";"";"2027-01-01";"1";"2026-12-31";"1"
"4";"";"AC2024";"AC 2024";"";"1";"2024-01-01";"month";"";"";"1";"2024-12-31";"0"
"5";"";"AC2025";"AC 2025";"";"1";"2025-01-01";"month";"";"";"1";"2025-12-31";"0"
"6";"";"AC2026";"AC 2026";"";"1";"2026-01-01";"month";"";"";"1";"2026-12-31";"0"
"7";"";"AP2024";"AP 2024";"";"1";"2024-01-01";"12month";"";"";"1";"2024-12-31";"2"
"8";"";"AP2025";"AP 2025";"";"1";"2025-01-01";"12month";"";"";"1";"2025-12-31";"2"
"9";"";"AP2026";"AP 2026";"";"1";"2026-01-01";"12month";"";"";"1";"2026-12-31";"2"
"10";"";"MP2025";"MP 2025";"";"1";"2025-01-01";"month";"";"";"1";"2025-12-31";"3"
"11";"";"MP2026";"MP 2026";"";"1";"2026-01-01";"month";"";"";"1";"2026-12-31";"3"
"100";"";"AA2024";"AA 2024";"";"1";"2024-01-01";"week";"";"2025-01-01";"1";"2024-12-31";"4"
"101";"";"AA2025";"AA 2025";"";"1";"2025-01-01";"week";"";"2026-01-01";"1";"2025-12-31";"4"
"102";"";"AA2026";"AA 2026";"";"1";"2026-01-01";"week";"";"2027-01-01";"1";"2026-12-31";"4"
