key,message,language
+10 years,+10 Jahre,de
0 %,0 %,de
0-2 years,0-2 Jahre,de
10 %,10 %,de
100 %,100 %,de
2-5 years,2-5 Jahre,de
20 %,20 %,de
30 %,30 %,de
40 %,40 %,de
5-10 years,5-10 Jahre,de
50 %,50 %,de
60 %,60 %,de
70 %,70 %,de
80 %,80 %,de
90 %,90 %,de
<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />,<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />,de
A new employee form will be created. Do you confirm the creation ?,Es wird ein neues Mitarbeiterformular erstellt. Bestätigen Sie die Erstellung?,de
Address,Adresse,de
All applications,Alle Anwendungen,de
All trainings,Alle Schulungen,de
App,App,de
App recruitment,App Rekrutierung,de
Application Information,Informationen zur Bewerbung,de
Applications,Anwendungen,de
Applied :,Angewandt:,de
Applied job,Beworbener Job,de
Appraisal,Schätzung,de
Appraisal cancelled,Schätzung annulliert,de
Appraisal draft,Entwurf der Bewertung,de
Appraisal filters,Beurteilungsfilter,de
Appraisal realized,Realisierte Schätzung,de
Appraisal sent,Bewertung gesendet,de
Appraisal template,Vorlage für die Beurteilung,de
Appraisal templates,Vorlagen für Beurteilungen,de
Appraisal type,Beurteilungsart,de
Appraisal types,Beurteilungsarten,de
Appraisals,Schätzungen,de
Appreciation,Anerkennung,de
Availability from,Verfügbarkeit von,de
Business sectors,Geschäftsbereiche,de
Cadre,Kader,de
Calendar,Kalender,de
Cancel,Abbrechen,de
Cancel session,Sitzung abbrechen,de
Canceled,Abgesagt,de
Categories,Kategorien,de
Category,Kategorie,de
Clearance,Freigabe,de
Close,Schließen Sie,de
Closed,Geschlossen,de
Closed job offers,Geschlossene Stellenanzeigen,de
Code,Code,de
Company,Unternehmen,de
Competence certificate,Kompetenznachweis,de
Complete session,Vollständige Sitzung,de
Completed,Abgeschlossen,de
Completed trainings of all employees of a team,Abgeschlossene Schulungen für alle Mitarbeiter eines Teams,de
Configuration,Konfiguration,de
Contact,Kontakt,de
Contact details,Kontaktangaben,de
Contract,Vertrag,de
Contract type,Vertragsart,de
Create,erstellen.,de
Create Appraisal(Select Employees),Beurteilung erstellen (Mitarbeiter auswählen),de
Create Appraisals,Beurteilungen erstellen,de
Create Appraisals(Select Employees),Beurteilungen erstellen (Mitarbeiter auswählen),de
Create a job application,Eine Bewerbung erstellen,de
Current job offers,Aktuelle Stellenangebote,de
Dashboard,Dashboard,de
Date of application,Datum der Anmeldung,de
Deadline,Deadline,de
Department,Abteilung,de
Description,Beschreibung,de
Disposal,Entsorgung,de
Draft,Entwurf,de
Education level,Bildungsniveau,de
Email,E-Mail,de
Employee,Mitarbeiter,de
Employee hired,Eingestellter Mitarbeiter,de
Employees,Mitarbeiter,de
End of validity date,Datum des Endes der Gültigkeit,de
Event list,Liste der Ereignisse,de
Events,Veranstaltungen,de
Expected salary,Erwartetes Gehalt,de
Experience,Erleben Sie,de
Fax,Fax,de
First name,Vornamen,de
Fixed phone,Festnetztelefon,de
From,Von,de
