"importId";"phraseCode";"phrase"
"1";"EUH031";"Au contact d’un acide, dégage un gaz toxique."
"2";"EUH066";"L’exposition répétée peut provoquer dessèchement ou gerçures de la peau."
"3";"H222";"Aérosol extrêmement inflammable."
"4";"H223";"Aérosol inflammable."
"5";"H224";"Liquide et vapeurs extrêmement inflammables."
"6";"H225";"Liquide et vapeurs très inflammables."
"7";"H226";"Liquide et vapeurs inflammables."
"8";"H229";"Récipient sous pression : peut éclater sous l'effet de la chaleur."
"9";"H290";"Peut être corrosif pour les métaux."
"10";"H300";"Mortel en cas d’ingestion."
"11";"H301";"Toxique en cas d’ingestion."
"12";"H302";"Nocif en cas d’ingestion."
"13";"H303";"Peut être nocif en cas d’ingestion."
"14";"H304";"Peut être mortel en cas d’ingestion et de pénétration dans les voies respiratoires."
"15";"H310";"Mortel par contact cutané."
"16";"H311";"Toxique par contact cutané."
"17";"H312";"Nocif par contact cutané."
"18";"H313";"Peut être nocif par contact cutané."
"19";"H314";"Provoque de graves brûlures de la peau et des lésions oculaires."
"20";"H315";"Provoque une irritation cutanée."
"21";"H316";"Provoque une légère irritation cutanée."
"22";"H317";"Peut provoquer une réaction allergique cutanée."
"23";"H318";"Provoque des lésions oculaires graves."
"24";"H319";"Provoque une grave irritation des yeux."
"25";"H320";"Provoque une irritation des yeux."
"26";"H330";"Mortel par inhalation."
"27";"H331";"Toxique par inhalation."
"28";"H332";"Nocif par inhalation."
"29";"H333";"Peut être nocif par inhalation."
"30";"H334";"Peut provoquer des symptômes allergiques ou d’asthme ou des difficultés respiratoires par inhalation."
"31";"H335";"Peut irriter les voies respiratoires."
"32";"H336";"Peut provoquer somnolence ou vertiges."
"33";"H340";"Peut induire des anomalies génétiques."
"34";"H341";"Susceptible d’induire des anomalies génétiques."
"35";"H350";"Peut provoquer le cancer."
"36";"H351";"Susceptible de provoquer le cancer."
"37";"H352";"Susceptible de provoquer des effets néfastes pour les organes."
"38";"H360";"Peut nuire à la fertilité ou au fœtus."
"39";"H361";"Susceptible de nuire à la fertilité ou au fœtus."
"40";"H362";"Peut être nocif pour les bébés nourris au lait maternel."
"41";"H370";"Risque avéré d’effets graves pour les organes."
"42";"H371";"Risque présumé d’effets graves pour les organes."
"43";"H372";"Risque avéré d’effets graves pour les organes à la suite d’expositions répétées ou d’une exposition prolongée."
"44";"H373";"Risque présumé d’effets graves pour les organes à la suite d’expositions répétées ou d’une exposition prolongée."
"45";"H400";"Très toxique pour les organismes aquatiques."
"46";"H410";"Très toxique pour les organismes aquatiques, entraîne des effets à long terme."
"47";"H411";"Toxique pour les organismes aquatiques, entraîne des effets à long terme."
"48";"H412";"Nocif pour les organismes aquatiques, entraîne des effets à long terme."
"49";"H413";"Peut entraîner des effets néfastes à long terme pour les organismes aquatiques."
