"metaModel";"metaField";"anonymizer_importId";"useFakeData";"fakerApiField.name"
"Lead";"officeName";"2";"true";"company.name"
"Lead";"department";"2";"true";"commerce.department"
"Lead";"contactDate";"2";"true";"date.birthday"
"Lead";"titleSelect";"2";"false";""
"Lead";"fixedPhone";"2";"true";"phoneNumber.phoneNumber"
"Lead";"webSite";"2";"true";"internet.url"
"Lead";"fullName";"2";"true";"name.fullName"
"Lead";"firstName";"2";"true";"name.firstName"
"Lead";"mobilePhone";"2";"true";"phoneNumber.cellPhone"
"Lead";"name";"2";"true";"name.lastName"
"Lead";"enterpriseName";"2";"true";"company.name"

