"name";"roles"
"account-root-payment-schedule";"Directeur Comptable|Gestionnaire Comptable|Assistant comptable"
"account-root-payment-schedule-payment-schedule";"Directeur Comptable|Gestionnaire Comptable|Assistant comptable"
"account-root-payment-schedule-payment-schedule-line";"Directeur Comptable|Gestionnaire Comptable|Assistant comptable"
"account-root";"Directeur Comptable|Gestionnaire Comptable|Assistant comptable"
"account-root-move";"Directeur Comptable|Gestionnaire Comptable|Assistant comptable"
"account-root-move-move";"Directeur Comptable|Gestionnaire Comptable|Assistant comptable"
"account-root-payments-suppl-invoices-to-pay";Directeur Comptable|Gestionnaire Comptable"
"account-root-payments-payment-voucher";"Directeur Comptable|Gestionnaire Comptable|Assistant comptable"
"account-root-periodic-processing";"Directeur Comptable|Gestionnaire Comptable|Assistant comptable"
"account-root-periodic-processing-reconcile";"Directeur Comptable|Gestionnaire Comptable|Assistant comptable"
"account-root-periodic-processing-overpayment-clearances";"Directeur Comptable|Gestionnaire Comptable|Assistant comptable"
"account-root-periodic-processing-shift-irrecoverable";"Directeur Comptable|Gestionnaire Comptable|Assistant comptable"
"account-root-periodic-processing-cheque-reject";"Directeur Comptable|Gestionnaire Comptable|Assistant comptable"
"account-root-accounting";"Directeur Comptable|Gestionnaire Comptable|Assistant comptable"
"account-root-accounting-reimbursement";"Directeur Comptable|Gestionnaire Comptable|Assistant comptable"
"account-root-accounting-cheque-deposit-slip-all";"Directeur Comptable|Gestionnaire Comptable|Assistant comptable"
"account-root-accounting-accounting-reports";"Directeur Comptable|Gestionnaire Comptable"
"account-root-accounting-accounting-exports";"Directeur Comptable|Gestionnaire Comptable|Assistant comptable"
"account-conf";"Directeur Comptable|Gestionnaire Comptable"
"account-conf-financial";"Directeur Comptable|Gestionnaire Comptable"
"account-conf-fiscal-position";"Directeur Comptable|Gestionnaire Comptable"
"account-conf-financial-year";"Directeur Comptable|Gestionnaire Comptable"
"account-conf-financial-period";"Directeur Comptable|Gestionnaire Comptable"
"account-conf-financial-journal";"Directeur Comptable|Gestionnaire Comptable|Assistant comptable"
"account-conf-financial-journal-type";"Directeur Comptable"
"account-conf-financial-account";"Directeur Comptable|Gestionnaire Comptable|Assistant comptable"
"account-conf-financial-accounting-plan";"Directeur Comptable|Gestionnaire Comptable"
"account-conf-financial-account-management";"Directeur Comptable|Gestionnaire Comptable"
"account-conf-financial-account-type";"Directeur Comptable|Gestionnaire Comptable"
"account-conf-financial-tax";"Directeur Comptable|Gestionnaire Comptable"
"account-conf-analytic";"Directeur Comptable|Gestionnaire Comptable"
"account-conf-analytic-journal";"Directeur Comptable|Gestionnaire Comptable"
"account-conf-analytic-account";"Directeur Comptable|Gestionnaire Comptable"
"account-conf-analytic-accounting-plan";"Directeur Comptable|Gestionnaire Comptable"
"account-conf-analytic-axis";"Directeur Comptable|Gestionnaire Comptable"
"account-conf-analytic-move-line";"Directeur Comptable|Gestionnaire Comptable"
"account-conf-analytic-distribution-template";"Directeur Comptable|Gestionnaire Comptable"
"account-conf-payment";"Directeur Comptable|Gestionnaire Comptable"
"account-conf-payment-payment-mode";"Directeur Comptable|Gestionnaire Comptable"
"account-conf-payment-payment-condition";"Directeur Comptable|Gestionnaire Comptable"
"account-conf-reporting-interbank-code";"Directeur Comptable|Gestionnaire Comptable"
"admin-root-batch-accounting";"Directeur Comptable|Gestionnaire Comptable"
"menu-accounting-dashboard-1";"Directeur Comptable|Gestionnaire Comptable"
"move-template-root";"Directeur Comptable|Gestionnaire Comptable"
"move-template";"Directeur Comptable|Gestionnaire Comptable"
"move-template-line";"Directeur Comptable|Gestionnaire Comptable"
"move-template-type";"Directeur Comptable|Gestionnaire Comptable"
