"key";"message";"language"
"Comment";"Commentaire";"fr"
"Nominal dimension";"Dimension nominale";"fr"
"Measured dimension";"Dimension mesurée";"fr"
"Min tolerance";"Tolérance min.";"fr"
"Max tolerance";"Tolérance max.";"fr"
"Label required";"Étiquette requise";"fr"
"Label present";"Étiquette présente";"fr"
"Accepted external condition";"État extérieur accepté";"fr"
"Observed external condition";"État extérieur observé";"fr"
"Label presence";"Présence d'étiquette";"fr"
"External condition";"État extérieur";"fr"
"Brand new";"Neuf";"fr"
"Good condition";"Bon état";"fr"
"Scratched";"Rayé";"fr"
"Damaged";"Endommagé";"fr"
