"importId";"name";"code";"typeSelect";"usageSelect";"sequence";"isRequired";"valueSet"
"1";"Accepted color";"acceptedColor";"2";"1";"1";"true";""
"2";"Color";"currentColor";"2";"2";"1";"true";""
"3";"Nominal dimension";"acceptedDimension";"1";"1";"1";"true";""
"4";"Min tolerance";"minTolerance";"1";"1";"2";"true";""
"5";"Max tolerance";"maxTolerance";"1";"1";"3";"true";""
"6";"Measured dimension";"mesuredDim";"1";"2";"1";"true";""
"7";"Label required";"isLabelRequired";"3";"1";"1";"false";""
"8";"Label present";"isLabelPresent";"3";"2";"1";"false";""
"9";"Accepted external condition";"acceptedExternalCondition";"4";"1";"1";"true";"1|2|3|4"
"10";"Observed external condition";"observedExternalCondition";"4";"2";"1";"true";"1|2|3|4"
