"importID";"name_fr_FR";"code_fr_FR";"name_en_EN";"description_fr_FR";"description_en_EN";"productCategory.code";"productFamily.code";"unit.code";"productTypeSelect";"salePrice";"purchasePrice";"currency.code";"startDate";"endDate";"invoiceLineType.code"
1;"Cadre VTT Acier Noir Performance";"PCED-2-CDR-AC-10";;;;"PCED";"CDR";"PCE";"stockable ";706;"529.5";"EUR";2013-01-01;;
2;"Cadre Route Alu Jaune Loisir";"PCED-1-CDR-AL-14";;;;"PCED";"CDR";"PCE";"stockable ";931;"698.25";"EUR";2013-01-01;;
3;"Cadre Route Titane Jaune Performance";"PCED-1-CDR-TI-14";;;;"PCED";"CDR";"PCE";"stockable ";759;"569.25";"EUR";2013-01-01;;
4;"Cadre VTT Carbone Gris clair Loisir";"PCED-2-CDR-C-12";;;;"PCED";"CDR";"PCE";"stockable ";872;654;"EUR";2013-01-01;;
5;"Cadre Route Acier Chromé Professionnel";"PCED-1-CDR-AC-13";;;;"PCED";"CDR";"PCE";"stockable ";570;"427.5";"EUR";2013-01-01;;
6;"Cadre VTT Alu Rouge Performance";"PCED-2-CDR-AL-16";;;;"PCED";"CDR";"PCE";"stockable ";670;"502.5";"EUR";2013-01-01;;
7;"Cadre VTT Titane Chromé Professionnel";"PCED-2-CDR-TI-13";;;;"PCED";"CDR";"PCE";"stockable ";756;567;"EUR";2013-01-01;;
8;"Cadre Route Carbone Jaune Loisir";"PCED-1-CDR-C-14";;;;"PCED";"CDR";"PCE";"stockable ";744;558;"EUR";2013-01-01;;
9;"Cadre VTT Acier Jaune Loisir";"PCED-2-CDR-AC-14";;;;"PCED";"CDR";"PCE";"stockable ";696;522;"EUR";2013-01-01;;
10;"Cadre VTT Alu Noir Professionnel";"PCED-2-CDR-AL-10";;;;"PCED";"CDR";"PCE";"stockable ";772;579;"EUR";2013-01-01;;
11;"Cadre Route Titane Jaune Professionnel";"PCED-1-CDR-TI-14";;;;"PCED";"CDR";"PCE";"stockable ";891;"668.25";"EUR";2013-01-01;;
12;"Cadre VTT Carbone Jaune Loisir";"PCED-2-CDR-C-14";;;;"PCED";"CDR";"PCE";"stockable ";877;"657.75";"EUR";2013-01-01;;
13;"Fourche Route Acier Bleu Professionnel";"PCED-1-FRC-AC-15";;;;"PCED";"FRC";"PCE";"stockable ";284;213;"EUR";2013-01-01;;
14;"Fourche Route Alu Gris clair Performance";"PCED-1-FRC-AL-12";;;;"PCED";"FRC";"PCE";"stockable ";328;246;"EUR";2013-01-01;;
15;"Fourche Route Titane Chromé Performance";"PCED-1-FRC-TI-13";;;;"PCED";"FRC";"PCE";"stockable ";128;96;"EUR";2013-01-01;;
16;"Fourche VTT Carbone Gris foncé Compétition";"PCED-2-FRC-C-11";;;;"PCED";"FRC";"PCE";"stockable ";294;"220.5";"EUR";2013-01-01;;
17;"Fourche VTT Acier Chromé Compétition";"PCED-2-FRC-AC-13";;;;"PCED";"FRC";"PCE";"stockable ";171;"128.25";"EUR";2013-01-01;;
18;"Fourche Route Alu Chromé Performance";"PCED-1-FRC-AL-13";;;;"PCED";"FRC";"PCE";"stockable ";159;"119.25";"EUR";2013-01-01;;
19;"Fourche Route Titane Gris clair Professionnel";"PCED-1-FRC-TI-12";;;;"PCED";"FRC";"PCE";"stockable ";325;"243.75";"EUR";2013-01-01;;
20;"Fourche VTT Alu Gris clair Compétition";"PCED-2-FRC-AL-12";;;;"PCED";"FRC";"PCE";"stockable ";182;"136.5";"EUR";2013-01-01;;
21;"Cintre Route Carbone Gris foncé Professionnel";"PCED-1-CDR-TI-11";;;;"PCED";"CDR";"PCE";"stockable ";128;96;"EUR";2013-01-01;;
22;"Cintre VTT Alu Gris foncé Compétition";"PCED-2-CDR-AL-11";;;;"PCED";"CDR";"PCE";"stockable ";79;"59.25";"EUR";2013-01-01;;
23;"Potence Route Carbone Gris clair Professionnel";"PCED-1-MOY-TI-12";;;;"PCED";"MOY";"PCE";"stockable ";58;"43.5";"EUR";2013-01-01;;
24;"Potence Route Alu Gris clair Compétition";"PCED-1-MOY-AL-12";;;;"PCED";"MOY";"PCE";"stockable ";138;"103.5";"EUR";2013-01-01;;
25;"Tige de selle VTT Carbone Gris foncé Professionnel";"PCED-2-TDS-TI-11";;;;"PCED";"TDS";"PCE";"stockable ";59;"44.25";"EUR";2013-01-01;;
26;"Tige de selle Route Alu Gris foncé Compétition";"PCED-1-TDS-AL-11";;;;"PCED";"TDS";"PCE";"stockable ";106;"79.5";"EUR";2013-01-01;;
27;"Dérailleur avant VTT Carbone Chromé Compétition";"PCED-2-DAV-TI-13";;;;"PCED";"DAV";"PCE";"stockable ";83;"62.25";"EUR";2013-01-01;;
28;"Dérailleur arrière Route Alu Bleu Compétition";"PCED-1-DAR-AL-15";;;;"PCED";"DAR";"PCE";"stockable ";151;"113.25";"EUR";2013-01-01;;
29;"Freins VTT Carbone Rouge Professionnel";"PCED-2-FRE-TI-16";;;;"PCED";"FRE";"PCE";"stockable ";182;"136.5";"EUR";2013-01-01;;
30;"Leviers de frein Route Alu Rouge Professionnel";"PCED-1-LFR-AL-16";;;;"PCED";"LFR";"PCE";"stockable ";63;"47.25";"EUR";2013-01-01;;
31;"Cassette Route Carbone Bleu Professionnel";"PCED-1-CAS-TI-15";;;;"PCED";"CAS";"PCE";"stockable ";187;"140.25";"EUR";2013-01-01;;
32;"Chaîne VTT Acier Gris clair Professionnel";"PCED-2-CHA-AC-12";;;;"PCED";"CHA";"PCE";"stockable ";87;"65.25";"EUR";2013-01-01;;
33;"Pédalier VTT Carbone Gris clair Compétition";"PCED-2-PED-TI-12";;;;"PCED";"PED";"PCE";"stockable ";62;"46.5";"EUR";2013-01-01;;
34;"Boîtier de pédalier Route Acier Bleu Compétition";"PCED-1-BPED-AC-15";;;;"PCED";"BPED";"PCE";"stockable ";69;"51.75";"EUR";2013-01-01;;
35;"Jantes VTT Alu Noir Compétition";"PCED-2-JTE-AL-10";;;;"PCED";"JTE";"PCE";"stockable ";400;300;"EUR";2013-01-01;;
36;"Moyeux VTT Alu Gris clair Professionnel";"PCED-2-MOY-AL-12";;;;"PCED";"MOY";"PCE";"stockable ";100;75;"EUR";2013-01-01;;
37;"Rayons VTT Carbone Rouge Compétition";"PCED-2-RAY-C-16";;;;"PCED";"RAY";"PCE";"stockable ";80;60;"EUR";2013-01-01;;
38;"Pneus VTT  Noir Professionnel";"PCED-2-PNE--10";;;;"PCED";"PNE";"PCE";"stockable ";40;30;"EUR";2013-01-01;;
