"importId";"code";"name";"country.code";"country.importId"
"1";"01";"GUADELOUPE";"FRA";"67"
"2";"02";"MARTINIQUE";"FRA";"67"
"3";"03";"GUYANE";"FRA";"67"
"4";"04";"LA REUNION";"FRA";"67"
"5";"11";"ILE-DE-FRANCE";"FRA";"67"
"6";"21";"CHAMPAGNE-ARDENNE";"FRA";"67"
"7";"22";"PICARDIE";"FRA";"67"
"8";"23";"HAUTE-NORMANDIE";"FRA";"67"
"9";"24";"CENTRE";"FRA";"67"
"10";"25";"BASSE-NORMANDIE";"FRA";"67"
"11";"26";"BOURGOGNE";"FRA";"67"
"12";"31";"NORD-PAS-DE-CALAIS";"FRA";"67"
"13";"41";"LORRAINE";"FRA";"67"
"14";"42";"ALSACE";"FRA";"67"
"15";"43";"FRANCHE-COMTE";"FRA";"67"
"16";"52";"PAYS DE LA LOIRE";"FRA";"67"
"17";"53";"BRETAGNE";"FRA";"67"
"18";"54";"POITOU-CHARENTES";"FRA";"67"
"19";"72";"AQUITAINE";"FRA";"67"
"20";"73";"MIDI-PYRENEES";"FRA";"67"
"21";"74";"LIMOUSIN";"FRA";"67"
"22";"82";"RHONE-ALPES";"FRA";"67"
"23";"83";"AUVERGNE";"FRA";"67"
"24";"91";"LANGUEDOC-ROUSSILLON";"FRA";"67"
"25";"93";"PROVENCE-ALPES-COTE D'AZUR";"FRA";"67"
"26";"94";"CORSE";"FRA";"67"
"27";"05";"MAYOTTE";"FRA";"67"
