"ImportId";"addressL2";"addressL3";"addressL4";"addressL5";"addressL6";"addressL7Country.code"
1;;;"52 BOULEVARD HAUSSMANN";;"75008 PARIS";"FRA"
2;;;"84 AVENUE DE WAGRAM";;"75008 PARIS";"FRA"
3;;;"65 RUE JOULE";;"79000 NIORT";"FRA"
4;;;"75 RUE CONDORCET";;"75009 PARIS";"FRA"
5;;;"90 PLACE DE L'HOTEL DE VILLE";;"01000 BOURG EN BRESSE";"FRA"
6;;;"97 AVENUE DU GENERAL LECLERC";;"02000 LAON";"FRA"
7;;;"73 AVENUE PIERRE ET MARIE CURIE";;"03000 MOULINS";"FRA"
8;;;"44 PLACE GENERAL DE GAULLE";;"04000 DIGNE LES BAINS";"FRA"
9;;;"48 RUE DU COLONEL ROUX";;"05000 GAP";"FRA"
10;;;"71 RUE DE L'HOTEL DE VILLE";;"06000 NICE";"FRA"
11;;;"44 PLACE DE L HOTEL DE VILLE";;"07000 PRIVAS";"FRA"
12;;;"36 PLACE DU THEATRE";;"08000 CHARLEVILLE MEZIERES";"FRA"
13;;;"92 PLACE ALEXANDRE ISRAEL";;"10000 TROYES";"FRA"
14;;;"47 RUE DE VERDUN";;"11000 CARCASSONNE";"FRA"
15;;;"17 PLACE EUGENE RAYNALDY";;"12000 RODEZ";"FRA"
16;;;"22 ESPLANADE JEAN MARIE LOUVEL";;"14000 CAEN";"FRA"
17;;;"47 PLACE DE L HOTEL DE VILLE";;"15000 AURILLAC";"FRA"
18;;;"97 PLACE DE L HOTEL DE VILLE";;"16000 ANGOULEME";"FRA"
19;;;"20 PLACE DE L HOTEL DE VILLE";;"17000 LA ROCHELLE";"FRA"
20;;;"47 11 RUE JACQUES RIMBAULT";;"18000 BOURGES";"FRA"
21;;;"59 10 RUE FELIX VIDALIN";;"19000 TULLE";"FRA"
22;;;"79 AVENUE ANTOINE SERAFINI";;"20000 AJACCIO";"FRA"
23;;;"5 PLACE DE LA LIBERATION";;"21000 DIJON";"FRA"
24;;;"83 PLACE DU GENERAL DE GAULLE";;"22000 ST BRIEUC";"FRA"
25;;;"83 PLACE DE L HOTEL DE VILLE";;"24000 PERIGUEUX";"FRA"
26;;;"98 RUE MEGEVAND";;"25000 BESANCON";"FRA"
27;;;"4 PLACE DE LA LIBERTE";;"26000 VALENCE";"FRA"
28;;;"37 RUE PASTEUR";;"18000 BOURGES";"FRA"
29;;;"29 RUE MONGE";;"75005 PARIS";"FRA"
30;;;"48 RUE DE L'UNIVERSITE";;"75007 PARIS";"FRA"
31;;;"89 RUE VOLTAIRE";;"75011 PARIS";"FRA"
32;;;"63 AVENUE DE LA REPUBLIQUE";;"75011 PARIS";"FRA"
33;;;"54 RUE GARIBALDI";;"69003 LYON";"FRA"
34;;;"98 AVENUE FELIX FAURE";;"69003 LYON";"FRA"
35;;;"7 AVENUE LACASSAGNE";;"69003 LYON";"FRA"
36;;;"39 AVENUE GENERAL FRERE";;"69008 LYON";"FRA"
37;;;"30 AVENUE PAUL SANTY";;"69008 LYON";"FRA"
