"importId";"productCategory.importId";"name_fr_FR";"code_fr_FR";"name_en_EN";"code_en_EN"
1;;"Infogérance";"INFO";"Hosting";"HSTG"
2;;"Support";"SUP";"Support";"SUP"
3;;"Formation";"FORM";"Training";"TRNG"
4;;"Prestations";"CEXP";"Consulting";"CEXP"
5;;"Produits";"PROD";"Products";"PROD"
6;;"Notes de frais";"NDF";"Travel expenses";"TEXP"
7;;"Cartouche";"CRT";"Cartridge";"CRT"
8;;"Toner";"TON";"Toner";"TON"
9;;"Papier";"PAP";"Paper";"PAP"
10;;"Support téléphonique";"STEL";"Hotline support";"HSUP"
11;;"Maintenance sur site";"MSS";"OnSite maintenance";"OSM"
