"importId";"company_id";"typeSelect";"product.importId";"tax.code";"productFamily.importId";"paymentMode.code";"saleAccount_code";"saleVat.code";"purchaseAccount_code";"purchaseVat.code";"cashAccount_code"
1;1;1;;;1;;706000;"N_C";604000;"N_D";
2;1;1;;;2;;707100;"N_C";601000;"N_D";
3;1;1;;;3;;707100;"N_C";602100;"N_D";
4;1;1;;;4;;707100;"N_C";602200;"N_D";
5;1;1;;;5;;706000;"N_C";604000;"N_D";
6;1;1;;;6;;708000;"N_C";625100;"N_D";
12;1;3;;;;"IN_OTH";;;;;512100
13;1;3;;;;"IN_DD";;;;;512100
14;1;3;;;;"IN_TIP";;;;;512100
15;1;3;;;;"IN_ESP";;;;;531100
16;1;3;;;;"IN_CB";;;;;511500
17;1;3;;;;"IN_CHQ";;;;;511200
18;1;3;;;;"IN_INT";;;;;512100
19;1;3;;;;"IN_VIR";;;;;512100
20;1;3;;;;"IN_TIC";;;;;512100
21;1;3;;;;"OUT_DD";;;;;512100
22;1;3;;;;"OUT_TIP";;;;;512100
23;1;3;;;;"OUT_ESP";;;;;512100
24;1;3;;;;"OUT_CB";;;;;512100
25;1;3;;;;"OUT_CHQ";;;;;512100
26;1;3;;;;"OUT_VIR";;;;;512100
27;1;3;;;;"OUT_OTH";;;;;512100
28;1;1;21;;;;705000;"N_C";621400;"N_D";
29;1;1;22;;;;708400;"N_C";621400;"N_D";
30;1;1;23;;;;708400;"N_C";621400;"N_D";
