"importId";"name";"partner.importId";"lead.id";"currency.code";"expectedCloseDate";"amount";"opportunityType.id";"bestCase";"worstCase";"salesStageSelect";"probability";"nextStep";"description";"source.id";"company.id";"userInfo.id";"team.id"
1;"Serveur haute performance - 5 U + Imprimante Laser - 7 U";;1;"EUR";"TODAY[-6M]";40074;1;45700;31700;2;39;;;3;1;9;1
2;"Serveur classique - 3 U + Imprimante Jet d'encre - 20 U";;2;"EUR";"TODAY[-5M]";7422;1;8200;6400;2;42;;;6;1;11;2
3;"Imprimante Jet d'encre - 3 U + Serveur classique - 6 U";;3;"EUR";"TODAY[-5M]";29816;1;37000;20900;1;27;;;7;1;11;2
4;"Imprimante Laser - 5 U + Serveur haute performance - 17 U";;4;"EUR";"TODAY[-4M]";35429;1;39300;29400;3;81;;;10;1;11;2
5;"Serveur haute performance - 4 U + Serveur classique - 15 U";;5;"EUR";"TODAY[-4M]";16000;1;18100;12800;10;93;;;11;1;9;1
6;"Imprimante Jet d'encre - 3 U + Imprimante Laser - 6 U";;6;"EUR";"TODAY[-3M]";7651;1;9900;6400;2;24;;;3;1;12;2
7;"Chef de projet - 5 JR + Consultant - 11 JR";;7;"EUR";"TODAY[-3M]";11800;1;13100;10300;2;79;;;6;1;12;2
8;"Consultant - 1 JR + Etude - 1 U";;8;"EUR";"TODAY[-3M]";18000;1;20000;14400;2;48;;;7;1;12;2
9;"Etude - 1 U";;9;"EUR";"TODAY[-3M]";10000;1;12900;8600;1;66;;;10;1;11;2
10;"Maintenance annuelle - 1 ANNEE";;10;"EUR";"TODAY[-2M]";2000;1;2500;1600;2;74;;;11;1;13;3
11;"Serveur haute performance - 16 U + Imprimante Laser - 20 U";;11;"EUR";"TODAY[-2M]";43003;1;50700;31000;3;90;;;3;1;10;1
12;"Serveur classique - 1 U + Imprimante Jet d'encre - 14 U";;12;"EUR";"TODAY[-2M]";7974;1;9800;7000;1;48;;;6;1;13;3
13;"Imprimante Jet d'encre - 5 U + Serveur classique - 9 U";;13;"EUR";"TODAY[-1M]";13316;1;17000;10100;1;25;;;7;1;12;2
14;"Imprimante Laser - 2 U + Serveur haute performance - 20 U";;14;"EUR";"TODAY[-1M]";41287;1;46700;31000;1;66;;;3;1;11;2
15;"Serveur haute performance - 4 U + Serveur classique - 11 U";;15;"EUR";"TODAY[-21d]";22000;1;27100;16100;2;33;;;6;1;11;2
16;"Imprimante Jet d'encre - 5 U + Imprimante Laser - 15 U";;16;"EUR";"TODAY[-21d]";5377;1;6500;4400;2;22;;;3;1;11;2
17;"Chef de projet - 2 JR + Consultant - 9 JR";;17;"EUR";"TODAY[-21d]";9400;1;11900;7400;2;34;;;6;1;11;2
18;"Consultant - 5 JR + Etude - 1 U";;18;"EUR";"TODAY[-21d]";14700;1;17200;12200;2;45;;;6;1;11;2
19;"Etude - 1 U";;19;"EUR";"TODAY[-21d]";10000;1;11100;7400;1;69;;;7;1;13;3
20;"Maintenance annuelle - 1 ANNEE";;20;"EUR";"TODAY[-21d]";2000;1;2300;1800;3;23;;;10;1;9;1
21;"Serveur haute performance - 10 U + Imprimante Laser - 14 U";;21;"EUR";"TODAY[-14d]";37145;1;40900;29700;2;94;;;11;1;13;3
22;"Serveur classique - 4 U + Imprimante Jet d'encre - 14 U";;22;"EUR";"TODAY[-14d]";4132;1;5200;3300;10;58;;;11;1;12;2
23;"Imprimante Jet d'encre - 4 U + Serveur classique - 9 U";;23;"EUR";"TODAY[-14d]";10829;1;14100;8900;3;79;;;7;1;11;2
24;"Imprimante Laser - 1 U + Serveur haute performance - 5 U";;24;"EUR";"TODAY[-14d]";26716;1;33900;21600;3;62;;;6;1;9;1
25;"Serveur haute performance - 4 U + Serveur classique - 8 U";;25;"EUR";"TODAY[-14d]";23500;1;29800;20200;1;78;;;7;1;;2
26;"Imprimante Jet d'encre - 2 U + Imprimante Laser - 12 U";;26;"EUR";"TODAY[-14d]";4619;1;5800;3900;1;74;;;11;1;;3
27;"Chef de projet - 4 JR + Consultant - 8 JR";;27;"EUR";"TODAY[-14d]";12200;1;15100;9800;2;58;;;3;1;;1
28;"Consultant - 3 JR + Etude - 1 U";;28;"EUR";"TODAY[-7d]";14900;1;17000;11000;2;78;;;3;1;;1
29;"Etude - 1 U";;29;"EUR";"TODAY[-7d]";8000;1;9700;7200;1;61;;;6;1;;3
30;"Maintenance annuelle - 1 ANNEE";;30;"EUR";"TODAY[-7d]";2000;1;2300;1400;3;57;;;6;1;;3
31;"Serveur haute performance - 10 U + Imprimante Laser - 6 U";20;;"EUR";"TODAY[-4M-7d]";18003;1;22000;14400;9;84;;;12;1;11;2
32;"Serveur classique - 2 U + Imprimante Jet d'encre - 18 U";44;;"EUR";"TODAY[-3M-7d]";11448;3;14500;8700;9;74;;;12;1;12;2
33;"Imprimante Jet d'encre - 2 U + Serveur classique - 14 U";70;;"EUR";"TODAY[-2M-7d]";25645;3;33300;21500;9;90;;;12;1;11;2
34;"Imprimante Laser - 1 U + Serveur haute performance - 8 U";77;;"EUR";"TODAY[-1M-7d]";50858;3;58000;42700;9;100;;;12;1;12;2
35;"Serveur haute performance - 5 U + Serveur classique - 10 U";88;;"EUR";"TODAY[-28d]";27500;3;30500;22600;7;47;;;12;1;9;1
36;"Imprimante Jet d'encre - 4 U + Imprimante Laser - 19 U";132;;"EUR";"TODAY[-21d]";7322;3;9400;6600;7;99;;;12;1;13;3
37;"Chef de projet - 4 JR + Consultant - 10 JR";136;;"EUR";"TODAY[-14d]";7800;1;9400;6300;7;54;;;12;1;13;3
38;"Consultant - 1 JR + Etude - 1 U";148;;"EUR";"TODAY[-7d]";13400;1;14700;10900;6;59;;;12;1;13;3
