"name";"code";"fromDate";"toDate";"company.code";"status_code"
"AF 2005 AX Consulting";"2005_AXC";"2005-01-01";"2005-12-31";"AXC";"ope"
"AF 2006 AX Consulting";"2006_AXC";"2006-01-01";"2006-12-31";"AXC";"ope"
"AF 2007 AX Consulting";"2007_AXC";"2007-01-01";"2007-12-31";"AXC";"ope"
"AF 2008 AX Consulting";"2008_AXC";"2008-01-01";"2008-12-31";"AXC";"ope"
"AF 2009 AX Consulting";"2009_AXC";"2009-01-01";"2009-12-31";"AXC";"ope"
"AF 2010 AX Consulting";"2010_AXC";"2010-01-01";"2010-12-31";"AXC";"ope"
"AF 2011 AX Consulting";"2011_AXC";"2011-01-01";"2011-12-31";"AXC";"ope"
"AF 2012 AX Consulting";"2012_AXC";"2012-01-01";"2012-12-31";"AXC";"ope"
"AF 2013 AX Consulting";"2013_AXC";"2013-01-01";"2013-12-31";"AXC";"ope"
"AF 2014 AX Consulting";"2014_AXC";"2014-01-01";"2014-12-31";"AXC";"ope"
"AF 2005 AX Internationnal";"2005_AXI";"2005-01-01";"2005-12-31";"AXI";"ope"
"AF 2006 AX Internationnal";"2006_AXI";"2006-01-01";"2006-12-31";"AXI";"ope"
"AF 2007 AX Internationnal";"2007_AXI";"2007-01-01";"2007-12-31";"AXI";"ope"
"AF 2008 AX Internationnal";"2008_AXI";"2008-01-01";"2008-12-31";"AXI";"ope"
"AF 2009 AX Internationnal";"2009_AXI";"2009-01-01";"2009-12-31";"AXI";"ope"
"AF 2010 AX Internationnal";"2010_AXI";"2010-01-01";"2010-12-31";"AXI";"ope"
"AF 2011 AX Internationnal";"2011_AXI";"2011-01-01";"2011-12-31";"AXI";"ope"
"AF 2012 AX Internationnal";"2012_AXI";"2012-01-01";"2012-12-31";"AXI";"ope"
"AF 2013 AX Internationnal";"2013_AXI";"2013-01-01";"2013-12-31";"AXI";"ope"
"AF 2014 AX Internationnal";"2014_AXI";"2014-01-01";"2014-12-31";"AXI";"ope"
