"importId";"name_fr";"code_fr";"name_en";"code_en";"description_fr";"description_en";"productFamily.id";"productCategory.id";"applicationTypeSelect";"procurementMethodSelect";"isRawMaterial";"unit.code";"productTypeSelect";"salePrice";"saleCurrency.code";"purchasePrice";"purchaseCurrency.code";"defaultSupplierPartner.importId";"startDate";"endDate";"invoiceLineType.id";"saleSupplySelect";"costPrice";"hasWarranty";"warrantyNbrOfMonths";"isPerishable";"perishableNbrOfMonths"
1;"Hébergement serveur";"ABO-0001";"Server hosting";"ABO-0001";"Serveur dédié i5-2400 4x3,1GHz 16GoRAM 2x 2To SATA2";"Dedicated Server i5-2400 4x3,1GHz 16GoRAM 2x 2To SATA2";1;1;1;;"false";"MOIS";"service";70;"EUR";"58.8";"EUR";;"2013-01-01";;1;1;63;"false";;"false";
2;"Maintenance annuelle";"ABO-0002";"Annual Maintenance";"ABO-0002";"Mise à jour des logiciels, Sauvegardes quotidiennes, Restauration, Accès au portail de tickets";"Software updates, Daily backups, Restore, Ticket support portal";1;2;1;;"false";"ANNEE";"service";2000;"EUR";1700;"EUR";;"2013-01-01";;1;1;1800;"false";;"false";
3;"Serveur haute performance";"EQPT-0001";"High Performance Server";"EQPT-0001";"Boîtier Rack / Processeur 6 cœurs - 12 filetages - 3,2 GHz - 8 Mo Cache / Disque dur SSD 2*200 Go / RAM : 64 Go / Bande passante : 10 Gbps / RAID : SOFT - 0/1";"Rack case / Processor 6 core - 12 threads - 3,2 GHz - 8 Mo Cache / Hard disk SSD 2*200 Go / RAM : 64 Go / Bandwidth : 10 Gbps / RAID : SOFT - 0/1";2;3;1;"produce";"false";"U";"storable";2500;"EUR";2100;"EUR";;"2013-01-01";;2;1;2250;"true";24;"false";
4;"Serveur classique";"EQPT-0002";"Classic server";"EQPT-0002";"Boîtier Rack / Processeur 4 cœurs - 8 filetages - 3,4 GHz - 8 Mo Cache / Disque dur SATA 2*2To / RAM : 32 Go / Bande passante : 200 Mbps / RAID : SOFT - 0/1";"Rack case / Processor 4 core - 8 threads - 3,4 GHz - 8 Mo Cache / Hard disk SSD SATA 2*2To / RAM : 32 Go / Bandwidth : 200 Mbps / RAID : SOFT - 0/1";2;3;1;"produce";"false";"U";"storable";1500;"EUR";1080;"EUR";;"2013-01-01";;2;1;1350;"true";24;"false";
5;"Imprimante Jet d'encre";"EQPT-0003";"InkJet Printer";"EQPT-0003";"Résolution impression : 1200x1200 ppp / Vitesse impression : 20 ppm / Recto/verso : Automatique / Wifi : oui / Resolution scanner : 4800 ppp / Ecran : Tactile CGD 10,92 cm";"Printer resolution : 1200x1200 ppp / Printing speed : 20 ppm / Recto/verso : Automatique / Wifi : oui / Sacanner Resolution : 4800 ppp / Screen : Tactile CGD 10,92 cm";2;4;1;"buy";"false";"U";"storable";329;"EUR";"279.65";"EUR";148;"2013-01-01";;2;1;296;"true";12;"false";
6;"Imprimante Laser";"EQPT-0004";"Laser Printer";"EQPT-0004";"Résolution impression : 1200x1200 dpi / Vitesse impression : 33 ppm / Recto/verso : Automatique / Wifi : oui / Resolution scanner : - / Ecran : tactile couleur 8,89 cm";"Printer resolution : 1200x1200 dpi / Printing speed : 33 ppm / Recto/verso : Automatique / Wifi : oui / Sacanner Resolution : - / Screen : tactile couleur 8,89 cm";2;4;1;"buy";"false";"U";"storable";429;"EUR";"321.75";"EUR";148;"2013-01-01";;2;1;386;"true";12;"false";
7;"Disque dur SATA 1To";"COMP-0001";"Hard Disk SATA 1To";"COMP-0001";"DD Interne 3,5'' / Capacité : 1 To / Mémoire Tampon : 64 Mo / Vitesse rotation : 7200 trs/min";"Internal HDD 3,5'' - Capacity : 1 To / Memory : 64 Mo / Speed : 7200 trs/min";3;5;1;"buy";"false";"U";"storable";60;"EUR";51;"EUR";148;"2013-01-01";;3;1;54;"true";12;"false";
8;"Disque dur SSD 100 Go";"COMP-0002";"Hard Disk SSD 100 Go";"COMP-0002";"DD SSD 100 Go - SATA 6Go/s - 7 mm";"DD SSD 100 Go - SATA 6Go/s - 7 mm";3;5;1;"buy";"false";"U";"storable";80;"EUR";"56.8";"EUR";148;"2013-01-01";;3;1;72;"true";12;"false";
9;"Processeur 4x3,4 GHz";"COMP-0003";"Processor 4x3,4 GHz";"COMP-0003";"Processeur 4 cœurs - 8 filetages - 3,4 GHz - 8 Mo Cache";"Processor 4 core - 8 threads - 3,4 GHz - 8 Mo Cache";3;6;1;"buy";"false";"U";"storable";180;"EUR";153;"EUR";152;"2013-01-01";;3;1;162;"true";12;"false";
10;"Processeur 6x3,2 GHz";"COMP-0004";"Processor 6x3,2 GHz";"COMP-0004";"Processeur 6 cœurs - 12 filetages - 3,2 GHz - 8 Mo Cache";"Processor 6 core - 12 threads - 3,2 GHz - 8 Mo Cache";3;6;1;"buy";"false";"U";"storable";540;"EUR";"426.60";"EUR";152;"2013-01-01";;3;1;486;"true";12;"false";
11;"Boîtier Rack";"COMP-0005";"Rack Casing";"COMP-0005";;;3;7;1;"buy";"false";"U";"storable";70;"EUR";"58.80";"EUR";148;"2013-01-01";;3;1;63;"false";;"false";
