"importId";"productCategory.importId";"name_fr_FR";"code_fr_FR";"name_en_EN";"code_en_EN"
1;1;"Professionnels";"VPRO";"Professionnal";"BPRO"
2;1;"Compétitions amateurs";"VAMA";"Rookie";"BROK"
3;1;"Performances";"VPERF";"Performance";"BPERF"
4;1;"Loisirs";"VLOIS";"Leisure";"BLEIS"
5;2;"Professionnel";"RPRO";"Professionnal";"RPRO"
6;2;"Compétition amateur";"RAMA";"Rookie";"RROK"
7;2;"Performance";"RPERF";"Performance";"RPERF"
8;2;"Loisir";"RLOIS";"Leisure";"RLEIS"
9;3;"Performance";"XPERF";"Performance";"XPERF"
10;3;"Loisir";"XLOIS";"Leisure";"XLEIS"
11;4;"Professionnel";"APRO";"Professionnal";"OPRO"
12;4;"Compétition amateur";"AAMA";"Rookie";"OROK"
13;4;"Performance";"APERF";"Performance";"OPERF"
14;4;"Loisir";"ALOIS";"Leisure";"OLEIS"
15;5;"Route";"FRTE";"Road";"WORD"
16;5;"Chemin";"FCHE";"X-Road";"WXRD"
17;5;"Tout terrain";"FTT";"Off-Road";"WOFRD"
18;6;"Route";"ERTE";"Road";"CORD"
19;6;"Tout terrain";"ETT";"Off-Road";"COFRD"
20;7;"Route";"SMRTE";"Road";"CFRD"
21;7;"VTT";"SMVTT";"All-Road";"CFORD"
22;7;"Spéciaux";"SMSPE";"Special";"CFSPE"
23;8;"Cadre";"CDR";"Frame";"FRM"
24;8;"Fourche";"FRC";"Fork";"FRK"
25;8;"Cintre";"CTR";"Shock";"SHK"
26;8;"Potence";"POT";"Handlebar";"HBAR"
27;8;"Tige de selle";"TDS";"Saddle";"SADL"
28;8;"Selle";"SEL";"Pedals";"PEDL"
29;8;"Manettes";"MAN";"Shifters";"SHFT"
30;8;"Dérailleur avant";"DAV";"Front Derailleur";"FTDER"
31;8;"Dérailleur arrière";"DAR";"Rear Derailleur";"RRDER"
32;8;"Freins";"FRE";"Brakes";"BRK"
33;8;"Leviers de frein";"LFR";"Brake Levers";"BRKLV"
34;8;"Cassette";"CAS";"Cassette";"CAS"
35;8;"Chaîne";"CHA";"Chain";"CHN"
36;8;"Pédalier";"PED";"Crankset";"CRKST"
37;8;"Boîtier de pédalier";"BPED";"Bottom Bracket";"BTBRK"
38;8;"Jantes";"JTE";"Rims";"RIM"
39;8;"Moyeux";"MOY";"Hubs";"HUB"
40;8;"Rayons";"RAY";"Spokes";"SPOK"
41;8;"Pneus";"PNE";"Tires";"TIRE"
42;9;"Divers Textile et Equipement";"DIVTEE";"Various Textile and Equipment";"VARTAE"
43;10;"Haut Homme";"HTH";"Top Man";"TOPM"
44;10;"Bas Homme";"BASH";"Bottom Man";"BOTM"
45;10;"Chaussette Homme";"CHTH";"Socks Man";"SOKM"
46;11;"Chaussure Homme";"CHRH";"Shoes Man";"SHOM"
47;11;"Protections Homme";"PROTH";"Protections Man";"PROM"
48;11;"Gants homme";"GTSH";"Gloves Man";"GLVM"
49;12;"Haut Femme";"HTF";"Top Woman";"TOPW"
50;12;"Bas Femme";"BASF";"Bottom Woman";"BOTW"
51;12;"Chaussette Femme";"CHTF";"Socks Woman";"SOKW"
52;13;"Chaussure Femme";"CHRF";"Shoes Woman";"SHOW"
53;13;"Casques Femme";"CSKF";"Protections Woman";"PROW"
54;13;"Gants femmes";"GTSF";"Gloves Woman";"GLVW"
55;14;"Textile enfant";"TXTE";"Textile child";"TXTC"
56;15;"Equipement enfant";"EQE";"Equipment child";"EQC"
57;16;"Entretien";"ENT";"Maintenance";"MNTCE"
58;16;"Location";"LOC";"Rental";"RENT"
