"importId";"internalUser.code";"companySet.importId";"activeCompany.id";"partner.importId";"activeCashRegister.id";"teamSet.importId";"employee.importId";"activeTeam.id"
1;"admin";"1";1;90000;1;;1;4
2;"demo";"1";1;90000;1;;2;4
3;"dg";"1";1;90001;1;;3;4
4;"assist";"1";1;90002;1;;4;4
5;"dirpro";"1";1;90003;1;;5;4
6;"cpro2";"1";1;90004;1;;6;4
7;"consultant";"1";1;90005;1;;7;4
8;"demoerp";"1";1;90006;1;;8;4
9;"democrm";"1";1;90007;1;;9;1
10;"comn";"1";1;90008;1;;10;1
11;"coms1";"1";1;90009;1;;11;2
12;"coms2";"1";1;90010;1;;12;2
13;"comi";"1";1;90011;2;;13;3
14;"achat";"1";1;90012;3;;14;4
15;"dirinfo";"1";1;90013;4;;15;4
16;"dirsupp";"1";1;90014;5;;16;4
17;"supp1";"1";1;90015;1;;17;4
18;"supp2";"1";1;90016;1;;18;4
19;"rh";"1";1;90017;1;;19;4
20;"compta";"1";1;90018;1;;20;4
