"ImportId";"code";"name";"type.code";"excessPaymentOk";"editReceiptOk";"descriptionModel";"descriptionIdentificationOk";"notExportOk";"exportCode";"inactiveOk"
1;"VTE";"Ventes";"VTE";"false";"false";"Facture client";"true";"false";;"false"
2;"AVR";"Avoirs";"AVR";"false";"false";"Avoir client";"true";"false";;"false"
3;"ACH";"Achats";"ACH";"false";"false";"Facture fournisseur";"true";"false";;"false"
4;"AVRF";"Avoirs achats";"AVR";"false";"false";"Avoir fournisseur ";"true";"false";;"false"
5;"ENC_ESP";"Encaissement en espèces";"TRS";"false";"true";"Encaissement ";"true";"false";;"false"
8;"ENC_CHQ";"Encaissement par chèque";"TRS";"true";"false";"Encaissement ";"true";"false";;"false"
7;"ENC_CB";"Encaissement par CB";"TRS";"false";"false";"Encaissement ";"true";"false";;"false"
9;"ENC_WEB";"Encaissement par internet";"TRS";"false";"false";"Encaissement ";"true";"false";;"false"
6;"ENC_TIP";"Encaissement par TIP";"TRS";"true";"false";"Encaissement ";"true";"false";;"false"
11;"ENC_TEC";"Encaissement par TIP + chèques";"TRS";"true";"false";"Encaissement ";"true";"false";;"false"
10;"ENC_VIR";"Encaissement par virement";"TRS";"true";"false";"Encaissement ";"true";"false";;"false"
12;"ENC_PRE";"Encaissement par prélèvement";"TRS";"false";"false";"Encaissement ";"true";"false";;"false"
13;"ENC_OTH";"Encaissement autres";"TRS";"false";"false";"Encaissement ";"true";"false";;"false"
14;"RBT_CLT";"Remboursement client EUR";"TRS";"false";"false";"Remboursement ";"true";"false";;"false"
15;"DEC_ESP";"Décaissement en espèces";"TRS";"true";"true";"Décaissement ";"true";"false";;"false"
18;"DEC_CHQ";"Décaissement par chèque";"TRS";"true";"false";"Décaissement ";"true";"false";;"false"
17;"DEC_CB";"Décaissement par CB";"TRS";"true";"false";"Décaissement ";"true";"false";;"false"
16;"DEC_TIP";"Décaissement par TIP";"TRS";"true";"false";"Décaissement ";"true";"false";;"false"
19;"DEC_VIR";"Décaissement par virement";"TRS";"true";"false";"Décaissement ";"true";"false";;"false"
20;"DEC_PRE";"Décaissement par prélèvement";"TRS";"true";"false";"Décaissement ";"true";"false";;"false"
21;"DEC_OTH";"Décaissement autres";"TRS";"true";"false";"Décaissement ";"true";"false";;"false"
22;"APU_TP";"Apurements des trop perçus";"TRS";"true";"false";;"false";"false";;"false"
23;"OD_AUTO";"O.D. automatique sur facturation ou règlement";"TRS";"false";"false";;"false";"false";;"false"
24;"OD_MAN";"O.D. manuelles";"TRS";"false";"false";;"false";"false";;"false"
25;"REJ_BNQ";"Rejet opérations bancaires";"TRS";"false";"false";"Rejet ";"true";"false";;"false"
26;"ECHMENSU";"Echéances de mensualisation";"TRS";"false";"false";"Echéance ";"true";"false";;"false"
27;"TECH";"Technique";"OTH";"false";"false";;"false";"true";;"false"
28;"IRRECOUV";"Irrécouvrables";"ACH";"false";"false";;"false";"false";;"false"
29;"NDF";"Notes de frais";"ACH";"false";"false";"NDF ";"true";"false";;"false"
