"importId";"name_fr";"code_fr";"name_en";"code_en"
1;"Publicité";"PUB";"Advertisement";"ADV"
2;"Employé";"EMP";"Employee";"EMP"
3;"Partenaire";"PAR";"Partenaire";"PAR"
4;"Relations publiques";"RPU";"Public relations";"PUR"
5;"Séminaire";"SEM";"Seminar";"SEM"
6;"Salon";"SAL";"Trade show";"TSH"
7;"Website";"WEB";"Web";"WEB"
8;"Forum en ligne";"FOR";"Online Forums";"FOR"
9;"Bouche à oreille";"BAO";"Word of mouth";"WOM"
10;"Prospection téléphonique";"PTL";"Cold Call";"CCL"
11;"Emailing";"EML";"Direct Mail";"DML"
12;"Client existant";"CLT";"Existing Customer";"CLT"
13;"Auto-Généré";"AGN";"Self-Generated";"SLF"
14;"Autres";"AUT";"Others";"OTH"
