"importId";"code_fr_FR";"name_fr_FR";"code_en_EN";"name_en_EN"
1;"U";"Unité";"U";"Unit"
2;"PCE";"Pièce";"PCE";"Piece"
3;"%";"Percent";"%";"Percent"
4;"MIN";"Minute";"MIN";"Minute"
5;"HRE";"Heure";"HOUR";"Hour"
6;"JR";"Jour";"DAY";"Day"
7;"DEMI-JR";"Demi-journée";"HDAY";"Half-Day"
8;"ANNEE";"Année";"YR";"Year"
9;"BTE2";"Boîte de 2 pce";"BOX2";"Box of 2 pce"
10;"BTE6";"Boîte de 6 pce";"BOX6";"Box of 6 pce"
11;"BTE12";"Boîte de 12 pce";"BOX12";"Box of 12 pce"
12;"€/PCE";"€/Pièce";"€/PCE";"€/Piece"
13;"€/BTE";"€/Boîte";"€/BOX";"€/Boite"
14;"€/DEMI-JR";"€/Demi-journée";"€/HDAY";"€/Half-Day"
15;"€/JR";"€/Jour";"€/DAY";"€/Day"
16;"€/AN";"€/An";"€/YR";"€/Year"
