"key";"message";"language"
"value:European Economic Area";"Espace économique européen";"fr"
"value:Détails du destinataire";"Recipient details";"en"
"value:Précisions de l'adresse";"Address precisions";"en"
"value:N° et libellé de la rue";"N° and Street label";"en"
"value:Précisions de distribution (BP, Lieu-dit…)";"Distribution precisions (POB, Village...)";"en"
"value:Informations de livraison supplémentaires";"Additional delivery information";"en"
"value:N° et nom de rue";"N° and Street name";"en"
"value:Numéro d'appartement";"Apartment number";"en"
"value:Province ou territoire";"Province or territory";"en"
"value:Code postal";"Postal code";"en"
"value:Entreprise";"Company";"en"
"value:État";"State";"en"
"value:Boîte postale";"PO box";"en"
"value:Adresse";"Address";"en"
"value:Service";"Department";"en"
"value:État ou territoire";"State or territory";"en"
"value:Index postal";"PIN code";"en"
"value:BoîtePostale";"Postal box";"en"
"value:CodePostal";"Postcode";"en"
"BoîtePostale";"Boîte postale";"fr"
"CodePostal";"Code postal";"fr"
"value:Agence";"Agency";"en"
"value:Attributs";"Attributes";"en"
"value:Traitements de masse";"Batches";"en"
"value:Transporteur";"Carrier";"en"
"value:% Refacturation Achats";"% Charging Back Purchases";"en"
"value:Type de refacturation des achats";"Charging Back Purchases Type";"en"
"value:Partenaire depuis";"Partner since";"en"
"value:Département";"Department";"en"
"value:Sociétés";"Companies";"en"
"value:Champs";"Fields";"en"
"value:Domaine d'action";"Work domain";"en"
"value:Partenaire depuis";"Corporate partner since";"en"
"value:Créé par";"Created by";"en"
"value:Créé le";"Created on";"en"
"value:Devise";"Currency";"en"
"value:Activité (DAS2)";"DAS2 activity";"en"
"value:Commentaire à afficher sur les BL";"Comment to display on delivery";"en"
"value:Délai de livraison (jours)";"Delivery delay (days)";"en"
"value:Dépt./Div.";"Dept./Div.";"en"
"value:Employé";"Employee";"en"
"value:Fidelité";"Fidelity";"en"
"value:Escompte";"Financial discount";"en"
"value:Prénom";"First Name";"en"
"value:Position fiscale";"Fiscal position";"en"
"value:Téléphone";"Phone number";"en"
"value:Mode de transporteur";"Freight carrier mode";"en"
"value:Nom";"Name";"en"
"value:Fonction / Carte de visite";"Function / Business card";"en"
"value:Grouper les produits sur impressions";"Group products on printings";"en"
"value:Compte client bloqué";"Account blocked";"en"
"value:Compte bloqué manuellement";"Account manually blocked";"en"
"value:Adresse du siège social";"Head office address";"en"
"value:ID d'import";"Import ID";"en"
"value:Importé depuis";"Imported from";"en"
"value:Mode de paiement entrant";"In Payment Mode";"en"
"value:Secteur d’activité";"Industry sector";"en"
"value:Commentaire à afficher sur la facture";"Comment to display on invoice";"en"
"value:Mode d'envoi des factures";"Invoice sending media";"en"
"value:Copies de la facture";"Invoices copy";"en"
"value:Entreprise partenaire";"Partner company";"en"
"value:Subrogé";"Subrogation";"en"
"value:Partenaire";"Corporate partner";"en"
"value:Client";"Customer";"en"
"value:Ne pas appeler";"Do not call";"en"
"value:Ne pas envoyer d'email";"Do not email";"en"
"value:Tiers interne";"Internal partner";"en"
"value:Norme NIMP15 requise";"Is ISPM15 required";"en"
"value:Compte clé";"Key account";"en"
"value:Contact principal";"Main Contact";"en"
"value:Certificat de conformité requis ?";"Is certificate of conformity required";"en"
"value:Partenaire";"crm.Partner";"en"
"value:Sous-traitant";"Subcontractor";"en"
"value:Fournisseur";"Supplier";"en"
"value:Tiers payeur";"Third-party payer";"en"
"value:Fonction";"Function";"en"
"value:Date du dernier événement";"Last event date";"en"
"value:Dernière date de visite";"Last visit date";"en"
"value:Utilisateur";"User";"en"
"value:Localisation";"Localization";"en"
"value:Raison de perte";"Lost reason";"en"
"value:Code NAF";"Main Activity";"en"
"value:Adresse";"Address";"en"
"value:Entreprise";"Main company";"en"
"value:N° Mobile";"Mobile phone";"en"
"value:Nom/Raison Sociale";"Name/Company Name";"en"
"value:Numéro interne de classement";"Internal Classification Number";"en"
"value:Condition de paiement sortant";"Out payment condition";"en"
"value:Mode de paiement sortant";"Out Payment Mode";"en"
"value:Société Mère";"Mother company";"en"
"value:Catégorie";"Category";"en"
"value:Les Roles";"Roles";"en"
"value:Référence";"Reference";"en"
"value:Statut tiers";"Partner status";"en"
"value:Etiquettes";"Tags";"en"
"value:Type de tiers";"Partner Type";"en"
"value:Mot de passe";"Password";"en"
"value:Mode d'envoi des avis de paiement";"Sending method of payment notices";"en"
"value:Qualité payeur";"Payer quality";"en"
"value:Condition de paiement entrant";"In payment condition";"en"
"value:Retard de paiement (moyenne en jours)";"Payment delay (Average in days)";"en"
"value:Commentaire à afficher sur les bons de préparation";"Comment to display on picking order";"en"
"value:Commentaire à afficher sur les proforma";"Comment to display on proforma";"en"
"value:Commentaire à afficher sur la commande d'achat";"Comment to display on purchase order";"en"
"value:Listes de prix d'achat";"Purchase price lists";"en"
"value:N° SIRET";"Registration number";"en"
"value:Compteur de rejet";"Reject counter";"en"
"value:Responsable hiérarchique";"partner.manager";"en"
"value:Commentaire à afficher sur la commande de vente";"Comment to display on sale order";"en"
"value:Libellé à afficher sur les commandes";"Label to be displayed on sale orders";"en"
"value:Listes de prix de vente";"Sale price lists";"en"
"value:CA HT";"Turnover";"en"
"value:Date du prochain événement planifié";"Next scheduled event date";"en"
"value:Séquence";"Sequence";"en"
"value:N° SIREN";"Short registration number";"en"
"value:Taille";"Size";"en"
"value:Note pour taxe spécifique";"Specific tax note";"en"
"value:Qté de produits reçus du fournisseur";"Supplier arrival product qty";"en"
"value:Niveau de qualité du fournisseur";"Supplier quality rating";"en"
"value:Opportunités envoyées";"Sent opportunities";"en"
"value:N° TVA";"Tax N°";"en"
"value:Equipe";"Team";"en"
"value:Civilité";"Civility";"en"
"value:Agences";"Agencies";"en"
"value:Mis à jour par";"Updated by";"en"
"value:Mis à jour le";"Updated on";"en"
"value:Propriétaire du compte";"Account owner";"en"
"value:Site Web";"Website";"en"
"value:Opportunités gagnées";"Won opportunities";"en"
"value:Zone d'action";"Work area";"en"
