"importId";"name";"code";"fromDate";"toDate";"company_importId";"statusSelect";"typeSelect";"periodDurationSelect";"reportedBalanceDate"
1;"AF";"AF";"TODAY[-1y=1M=1d]";"TODAY[-1y=12M=31d]";1;1;1;"month";"TODAY[=1M=1d]"
2;"AF";"AF";"TODAY[=1M=1d]";"TODAY[=12M=31d]";1;1;1;"month";"TODAY[+1y=1M=1d]"
3;"AF";"AF";"TODAY[+1y=1M=1d]";"TODAY[+1y=12M=31d]";1;1;1;"month";"TODAY[+2y=1M=1d]"
4;"AC";"AC";"TODAY[-1y=1M=1d]";"TODAY[-1y=12M=31d]";1;1;0;"month";
5;"AC";"AC";"TODAY[=1M=1d]";"TODAY[=12M=31d]";1;1;0;"month";
6;"AC";"AC";"TODAY[+1y=1M=1d]";"TODAY[+1y=12M=31d]";1;1;0;"month";
7;"AP";"AP";"TODAY[-1y=1M=1d]";"TODAY[-1y=12M=31d]";1;1;2;"12month";
8;"AP";"AP";"TODAY[=1M=1d]";"TODAY[=12M=31d]";1;1;2;"12month";
9;"AP";"AP";"TODAY[+1y=1M=1d]";"TODAY[+1y=12M=31d]";1;1;2;"12month";
10;"MP";"MP";"TODAY[=1M=1d]";"TODAY[=12M=31d]";1;1;3;"month";
11;"MP";"MP";"TODAY[+1y=1M=1d]";"TODAY[+1y=12M=31d]";1;1;3;"month";
