"metaModel";"metaField";"anonymizer_importId";"useFakeData";"fakerApiField.name"
"Address";"addressL2";"1";"true";"address.streetAddress"
"Address";"addressL3";"1";"true";"address.streetAddress"
"Address";"addressL4";"1";"true";"address.streetAddress"
"Address";"addressL5";"1";"true";"address.secondaryAddress"
"Address";"addressL6";"1";"true";"address.fullAddress"
"Address";"inseeCode";"1";"true";"address.zipCode"
"Address";"latit";"1";"true";"address.latitude"
"Address";"zip";"1";"true";"address.zipCode"
"Address";"buildingNumber";"1";"true";"address.buildingNumber"
"Address";"fullName";"1";"true";"address.fullAddress"
"Address";"longit";"1";"true";"address.longitude"
"EmailAddress";"address";"1";"true";"internet.emailAddress"
"EmailAddress";"name";"1";"true";"internet.emailAddress"
"User";"name";"1";"true";"name.lastName"
"User";"email";"1";"true";"internet.emailAddress"
"User";"fullName";"1";"true";"name.fullName"
"Partner";"siren";"1";"true";"code.imei"
"Partner";"companyStr";"1";"true";"company.name"
"Partner";"taxNbr";"1";"true";"code.imei"
"Partner";"registrationCode";"1";"true";"code.imei"
"Partner";"fullName";"1";"true";"name.fullName"
"Partner";"functionBusinessCard";"1";"true";"job.title"
"Partner";"simpleFullName";"1";"true";"name.fullName"
"Partner";"name";"1";"true";"name.lastName"
"Partner";"firstName";"1";"true";"name.firstName"
"Partner";"mobilePhone";"1";"true";"phoneNumber.cellPhone"
"Partner";"webSite";"1";"true";"internet.url"
"Partner";"headOfficeAddress";"1";"true";"address.streetAddress"
"Partner";"fixedPhone";"1";"true";"phoneNumber.phoneNumber"
