"importId";"code";"name";"_activeTaxLine";"taxType.importId"
"1";"N_C";"TVA Coll. (V) taux normal";"11";1
"2";"R1_C";"TVA Coll. (V) taux réduit 10%";"12";1
"3";"R2_C";"TVA Coll. (V) taux réduit 5.5%";"3";1
"4";"U_C";"TVA Coll. (V) taux ultra-réduit";"4";1
"5";"X_C";"TVA Exonérée vente";"5";1
"6";"UE_X_C";"TVA Exonérée (V) Livr. Intra. Com.";"15";1
"7";"EXP_X_C";"TVA Exonérée (V) Export";"16";1
"8";"N_D";"TVA Déd. (A) taux normal";"13";1
"9";"R1_D";"TVA Déd. (A) taux réduit 10%";"14";1
"10";"R2_D";"TVA Déd. (A) taux réduit 5.5%";"8";1
"11";"U_D";"TVA Déd. (A) taux ultra-réduit";"9";1
"12";"X_D";"TVA Exonérée achat";"10";1
"13";"UE_N_D";"TVA Déd. Intracom. (A) tx normal";"18";1
"14";"UE_R1_D";"TVA Déd. Intracom. (A) tx réduit 10%";"20";1
"15";"UE_R2_D";"TVA Déd. Intracom. (A) tx réduit 5.5%";"21";1
"16";"UE_U_D";"TVA Déd. Intracom. (A) tx ultra-réduit";"22";1
"17";"UE_X_D";"TVA Exonérée Intracom. (A)";"23";1
"18";"IMP_X_D";"TVA Exonérée (A) Import";"24";1
"19";"UE_N_D_AUTOLIQ";"TVA Due Autoliq. Intracom. (A) tx normal";"25";1
"20";"UE_R1_D_AUTOLIQ";"TVA Due Autoliq. Intracom. (A) tx réduit 10%";"26";1
"21";"UE_R2_D_AUTOLIQ";"TVA Due Autoliq. Intracom. (A) tx réduit 5.5%";"27";1
"22";"UE_U_D_AUTOLIQ";"TVA Due Autoliq. Intracom. (A) tx ultra-réduit";"28";1
