"importId";"startUnit.importId";"coef";"endUnit.importId";typeSelect;entitySelect;formula
1;102;4;101;1;0;
2;103;8;101;1;0;
3;104;5;103;1;0;
4;105;20;103;1;0;
5;106;12;105;1;0;
6;106;251;103;1;0;
7;3;2;1;1;0;
8;3;2;2;1;0;
9;4;6;1;1;0;
10;4;6;2;1;0;
11;5;12;1;1;0;
12;5;12;2;1;0;
13;6;24;1;1;0;
14;6;24;2;1;0;
15;7;50;1;1;0;
16;7;50;2;1;0;
17;8;100;1;1;0;
18;8;100;2;1;0;
19;9;500;1;1;0;
20;9;500;2;1;0;
21;10;1000;1;1;0;
22;10;1000;2;1;0;
23;103;480;100;1;0;
24;501;0;306;2;0;"// Convert from m3 to kg using the product characteristics
$Product.netMass$ / $Product.articleVolume$"
25;306;1000;303;1;0;
26;306;1000000;300;1;0;
