importId;inseeCode;name;nbInhCommune;canton.code;department.code;region.code;artmin;country_alpha3Code;zip
FRA06088;06088;NICE;343629;062;06;93;;FRA;
FRA13201;13201;MARSEILLE;38972;133;13;93;;FRA;
FRA31555;31555;TOULOUSE;453317;313;31;76;;FRA;
FRA33063;33063;BORDEAUX;241287;332;33;75;;FRA;
FRA59350;59350;LILLE;228652;595;59;32;;FRA;
FRA67482;67482;STRASBOURG;274394;678;67;44;;FRA;
FRA75101;75101;PARIS;17100;;75;11;;FRA;
FRA77083;77083;CHAMPS-SUR-MARNE;24663;775;77;11;;FRA;
FRA94028;94028;CRETEIL;89845;;94;11;;FRA;
FRA95127;95127;CERGY;60528;953;95;11;;FRA;
FRA01053;01053;BOURG-EN-BRESSE;40171;;01;84;;FRA;
FRA02408;02408;LAON;25317;;02;32;;FRA;
FRA04070;04070;DIGNE-LES-BAINS;16844;;04;93;;FRA;
FRA05061;05061;GAP;40761;;05;93;;FRA;
FRA07186;07186;PRIVAS;8312;;07;84;;FRA;
FRA08105;08105;CHARLEVILLE-MEZIERES;49759;;08;44;;FRA;
FRA09122;09122;FOIX;9756;;09;76;;FRA;
FRA10387;10387;TROYES;60009;;10;44;;FRA;
FRA11069;11069;CARCASSONNE;47068;;11;76;;FRA;
FRA12202;12202;RODEZ;23744;;12;76;;FRA;
FRA14118;14118;CAEN;108365;;14;28;;FRA;
FRA15014;15014;AURILLAC;27074;;15;84;;FRA;
FRA16015;16015;ANGOULEME;42014;;16;75;;FRA;
FRA17300;17300;LA ROCHELLE;74123;;17;75;;FRA;
FRA18033;18033;BOURGES;66666;;18;24;;FRA;
FRA19272;19272;TULLE;14336;;19;75;;FRA;
FRA2A004;2A004;AJACCIO;66245;;2A;94;;FRA;
FRA21231;21231;DIJON;152071;;21;27;;FRA;
FRA22278;22278;SAINT-BRIEUC;45936;;22;53;;FRA;
FRA24322;24322;PERIGUEUX;29906;;24;75;;FRA;
FRA25056;25056;BESANCON;116353;;25;27;;FRA;
FRA26362;26362;VALENCE;62481;;26;84;;FRA;
FRA33063;33063;BORDEAUX;241287;;33;75;;FRA;
FRA35238;35238;RENNES;209860;;35;53;;FRA;
FRA44109;44109;NANTES;291604;;44;52;;FRA;
FRA63113;63113;CLERMONT-FERRAND;141569;;63;84;;FRA;
FRA77288;77288;MELUN;40503;;77;11;;FRA;
FRA77468;77468;TORCY;23471;;77;11;;FRA;
FRA79191;79191;NIORT;57607;;79;75;;FRA;
FRA92046;92046;MALAKOFF;30420;;92;11;;FRA;
FRA92062;92062;PUTEAUX;44514;;92;11;;FRA;
FRA93008;93008;BOBIGNY;48496;;93;11;;FRA;
FRA69381;69381;LYON;29209;;69;84;;FRA;
FRA35198;35198;MOULINS;19343;;03;84;;FRA;
BEL0001;;BRUXELLES;;;;;;BEL;
BEL0003;;CHARLEROI;;;;;;BEL;
BEL0002;;BRUGES;;;;;;BEL;
CHN0001;;BEIJING;;;;;;CHN;
CHN0002;;SHANGHAI;;;;;;CHN;
CHN0003;;SHENZHEN;;;;;;CHN;
CHN0004;;GUANGZHOU;;;;;;CHN;
CHN0005;;CHENGDU;;;;;;CHN;
CHN0006;;TIANJIN;;;;;;CHN;
