"name";"roles"
"manufacturing-root";"Production Manager|Production User|Production Read"
"manufacturing-root-products";"Production Manager|Production User|Production Read"
"manufacturing-root-prod-process";"Production Manager|Production User|Production Read"
"manufacturing-root-production-order";"Production Manager|Production User|Production Read"
"manufacturing-root-manuf-order";"Production Manager|Production User|Production Read"
"manufacturing-root-operation-order";"Production Manager|Production User|Production Read"
"manufacturing-root-operation-order-planned-calendar";"Production Manager|Production User|Production Read"
"manufacturing-root-operation-order-real-calendar";"Production Manager|Production User|Production Read"
"manufacturing-root-charge-by-machine-dashboard";"Production Manager|Production User|Production Read"
"manufacturing-root-report";"Production Manager|Production User|Production Read"
"menu-manufacturing-dashboard-1";"Production Manager|Production User|Production Read"
"menu-manufacturing-user-dashboard";"Production Manager|Production User|Production Read"
"manufacturing-conf";"Production Manager"
"manufacturing-conf-work-center";"Production Manager"
"manufacturing-conf-machine";"Production Manager"
"manufacturing-conf-cost-sheet-group";"Production Manager"
"manufacturing-conf-configurators";"Production Manager"
"manufacturing-conf-configurators-creator";"Production Manager"
"manufacturing-conf-configurators-configurators";"Production Manager"
"manufacturing-conf-configurators-bom";"Production Manager"
"manufacturing-conf-configurators-prodprocess";"Production Manager"
"manufacturing-conf-configurators-prod-process-line";"Production Manager"
"manufacturing-conf-configurators-prod-product";"Production Manager"
"manufacturing-conf-machine-type";"Production Manager"
"top-manufacturing";"Production Manager|Production User|Production Read"
"top-manufacturing-manuf-order";"Production Manager|Production User|Production Read"
"top-manufacturing-operation-order";"Production Manager|Production User|Production Read"
"top-manufacturing-bill-of-material";"Production Manager|Production User|Production Read"
"manufacturing-root-bill-of-material-root";"Production Manager|Production User|Production Read"
"manufacturing-root-general-bill-of-material";"Production Manager|Production User|Production Read"
"manufacturing-root-personalized-bill-of-material";"Production Manager|Production User|Production Read"
"manufacturing-root-outsourcing";"Production Manager|Production User|Production Read"
"manufacturing-root-outsourcing-subcontractors";"Production Manager|Production User|Production Read"
"manufacturing-root-outsourcing-subcontractors-deliveries";"Production Manager|Production User|Production Read"
"manufacturing-root-outsourcing-subcontractors-arrivals";"Production Manager|Production User|Production Read"
"manufacturing-root-raw-material-requirement";"Production Manager|Production User|Production Read"
"manufacturing-root-cost-calculations";"Production Manager|Production User|Production Read"
"manufacturing-mps";"Production Manager|Production User|Production Read"
"manufacturing-mps-master-production-scheduling";"Production Manager|Production User|Production Read"
"manufacturing-mps-forecast";"Production Manager|Production User|Production Read"
"manufacturing-mps-conf";"Production Manager"
"manufacturing-mps-conf-mrp-line-type";"Production Manager"
"manufacturing-mps-conf-manufacturing-periods";"Production Manager"
"manufacturing-mps-sop";"Production Manager|Production User|Production Read"
"manufacturing-root-mps-charge";"Production Manager|Production User|Production Read"
"manufacturing-conf-machine-tool";"Production Manager"
"manufacturing-conf-manuf-order";"Production Manager"
"manufacturing-conf-configurators-bom-components";"Production Manager"
"manufacturing-conf-product-approvals";"Production Manager"
"manufacturing-conf-cancelreason";"Production Manager"
"manufacturing-conf-machine-planning";"Production Manager"
"manufacturing-conf-workshop";"Production Manager"
"manufacturing-conf-mps-weekly-schedule";"Production Manager"
"admin-root-batch-production";"Production Manager|Production User|Production Read"
"manufacturing-conf-work-center-group-model";"Production Manager"
