"importId";"name";"code";"inOutSelect";"typeSelect";"canSelectInPaymentSession";"daysMarginOnPaySession";"accountingMethodSelect";"accountingTriggerSelect";"generateBankOrder";"consoBankOrderLinePerPartner";"orderTypeSelect";"bankOrderExportFolderPath";"bankOrderFileFormat.name";"interestRate"
1;"Other Cashing";"IN_OTH";1;1;;;;1;;;;;;"18.00"
2;"Direct Debit Cashing";"IN_DD";1;2;"true";7;1;1;;;;;;"18.00"
3;"IPO Cashing";"IN_IPO";1;3;;;;1;;;;;;"18.00"
4;"Cash Cashing";"IN_CSH";1;5;;;;1;;;;;;"18.00"
5;"Credit Card Cashing";"IN_CC";1;6;;;;1;;;;;;"18.00"
6;"Cheque Cashing";"IN_CHQ";1;7;;;;1;;;;;;"18.00"
7;"Internet Cashing";"IN_WEB";1;8;;;;1;;;;;;"18.00"
8;"Wire Transfer Cashing";"IN_WT";1;9;;7;1;1;;;;;;"18.00"
9;"IPO + Cheque Cashing";"IN_IPOC";1;4;;;;1;;;;;;"18.00"
10;"Direct Debit Payments";"OUT_DD";2;2;"true";7;1;1;;;;;;"18.00"
11;"IPO Payments";"OUT_IPO";2;3;;;;1;;;;;;"18.00"
12;"Cash Payments";"OUT_CSH";2;5;;;;1;;;;;;"18.00"
13;"Credit Card Payments";"OUT_CC";2;6;;;;1;;;;;;"18.00"
14;"Cheque Payments";"OUT_CHQ";2;7;;;;1;;;;;;"18.00"
15;"Wire Transfer Payments";"OUT_WT";2;9;"true";7;1;1;"true";;1;"/bankOrder/";"pain.001.001.02.sct - Virement SEPA";"18.00"
16;"Other Payments";"OUT_OTH";2;1;;;;1;;;;;;"18.00"
17;"Bill of Exchange Cashing";"ENC_LCR";1;10;;;;1;"true";"true";8;"/bankOrder/";"pain.xxx.cfonb160.dco - LCR";"18.00"
