"importId";"fiscalPosition.importId";"fromTaxSet";"toTaxSet";"reverseCharge";"reverseChargeTaxSet";"vatExemptionReason_code"
1;1;"N_C";"UE_X_C";"false";"";"VATEX-EU-IC"
2;1;"R1_C";"UE_X_C";"false";"";"VATEX-EU-IC"
3;1;"R2_C";"UE_X_C";"false";"";"VATEX-EU-IC"
4;1;"U_C";"UE_X_C";"false";"";"VATEX-EU-IC"
5;1;"X_C";"UE_X_C";"false";"";"VATEX-EU-IC"
6;1;"N_D";"UE_N_D";"true";"UE_N_D_REV";"VATEX-EU-AE"
7;1;"R1_D";"UE_R1_D";"true";"UE_R1_D_REV";"VATEX-EU-AE"
8;1;"R2_D";"UE_R2_D";"true";"UE_R2_D_REV";"VATEX-EU-AE"
9;1;"U_D";"UE_U_D";"true";"UE_U_D_REV";"VATEX-EU-AE"
10;1;"X_D";"IMP_X_D";"false";"";""
20;2;"N_C";"EXP_X_C";"false";"";"VATEX-EU-G"
21;2;"R1_C";"EXP_X_C";"false";"";"VATEX-EU-G"
22;2;"R2_C";"EXP_X_C";"false";"";"VATEX-EU-G"
23;2;"U_C";"EXP_X_C";"false";"";"VATEX-EU-G"
24;2;"X_C";"EXP_X_C";"false";"";"VATEX-EU-G"
25;2;"N_D";"IMP_X_D";"false";"";""
26;2;"R1_D";"IMP_X_D";"false";"";""
27;2;"R2_D";"IMP_X_D";"false";"";""
28;2;"U_D";"IMP_X_D";"false";"";""
29;2;"X_D";"IMP_X_D";"false";"";""
