"importId";"code";"parent_code";"name";"accountType.technicalTypeSelect";"reconcileOk";"company.importId";"compatibleAccounts";"useForPartnerBalance";"isTaxAuthorizedOnMoveLine";"isTaxRequiredOnMoveLine";"commonPosition";"serviceType_code";"defaultTax.code";"statusSelect";"manageCutOffPeriod";"isRegulatoryAccount";"isRetrievedOnPaymentSession";"vatSystemSelect"
1;0;;"Chart of Account Root";"view";;1;;;;;0;"NDAS";;1;"false";"true";"false";0
2;"CL1_5";0;"Balance sheet accounts";"view";;1;;;;;0;"NDAS";;1;"false";"true";"false";0
3;"CL6_7";0;"Management accounts";"view";;1;;;;;0;"NDAS";;1;"false";"true";"false";0
4;"CL1";"CL1_5";"Capital accounts";"view";;1;;;;;0;"NDAS";;1;"false";"true";"false";0
5;"CL2";"CL1_5";"Property accounts";"view";;1;;;;;0;"NDAS";;1;"false";"true";"false";0
6;"CL3";"CL1_5";"Inventory accounts and in-progress";"view";;1;;;;;0;"NDAS";;1;"false";"true";"false";0
7;"CL4";"CL1_5";"Third party accounts";"view";;1;;;;;0;"NDAS";;1;"false";"true";"false";0
8;"CL5";"CL1_5";"Financial Accounts";"view";;1;;;;;0;"NDAS";;1;"false";"true";"false";0
9;"CL6";"CL6_7";"Expense Accounts";"view";;1;;;;;0;"NDAS";;1;"false";"true";"false";0
10;"CL7";"CL6_7";"Revenue Accounts";"view";;1;;;;;0;"NDAS";;1;"false";"true";"false";0
11;"CL8";0;"Special Accounts";"view";;1;;;;;0;"NDAS";;1;"false";"true";"false";0
12;10;"CL1";"Capital and reserves";"view";;1;;;;;0;"NDAS";;1;"false";"true";"false";0
13;101000;10;"Capital";"equity";;1;;;;;2;"NDAS";;1;"false";"false";"false";0
14;101100;101000;"Issued capital - uncalled";"equity";;1;;;;;2;"NDAS";;1;"false";"false";"false";0
15;101200;101000;"Capital subscribed - called unpaid";"equity";;1;;;;;2;"NDAS";;1;"false";"false";"false";0
