"importId";"code";"name";"note"
1;"VATEX-EU-AE";"Reverse charge";"Reverse charge - Art. 196 VAT Directive 2006/112/EC"
2;"VATEX-EU-IC";"Exempt intra-community supply of goods";"VAT exempt - Intra-community supply of goods - Art. 138 VAT Directive 2006/112/EC"
3;"VATEX-EU-G";"Export outside the European Union";"VAT exempt - Export outside the EU - Art. 146 VAT Directive 2006/112/EC"
4;"VATEX-EU-O";"Outside scope of VAT";"Outside scope of VAT - Art. 2 VAT Directive 2006/112/EC"
5;"VATEX-EU-132";"Exemption - Article 132 VAT Directive";"VAT exempt - Art. 132 VAT Directive 2006/112/EC (healthcare, education, social services)"
6;"VATEX-EU-143";"Import exemption - Article 143";"VAT exempt on importation - Art. 143 VAT Directive 2006/112/EC"
7;"VATEX-EU-148";"International transport exemption";"VAT exempt - International transport - Art. 148 VAT Directive 2006/112/EC"
8;"VATEX-EU-151";"Diplomatic and international bodies exemption";"VAT exempt - International organisations and diplomatic missions - Art. 151 VAT Directive 2006/112/EC"
9;"VATEX-EU-309";"Exemption - Directive 2009/132/EC";"VAT exempt - Directive 2009/132/EC (imports below threshold and overseas territories)"
10;"FR-293B";"Small business VAT exemption";"VAT not applicable - Small business scheme (Art. 293 B French Tax Code)"
11;"FR-AUTOLIQ-IMMO";"Reverse charge - construction works";"Reverse charge on VAT - Construction and renovation works (Art. 283-2 quater French Tax Code)"
