"importId";"n4dsCode";"name";"code";"isDas2Declarable"
1;;"Not subject to DAS2";"NDAS";"false"
2;"01";"Fees";"FEES";"true"
3;"02";"Commissions";"COMM";"true"
4;"03";"Brokerage fees";"BROF";"true"
5;"04";"Discounts";"DISC";"true"
6;"05";"Director's fees";"DIRF";"true"
7;"06";"Copyright";"COPY";"true"
8;"07";"Inventor’s rights";"INVR";"true"
9;"08";"Other remuneration";"OREM";"true"
10;"09";"Benefits in kind";"BEIK";"true"
11;"10";"Allowances/Reimbursements";"ALRE";"true"
12;"11";"Withholding tax";"WITT";"true"
13;"12";"Costs incurred on behalf of the beneficiary";"CIBB";"true"
14;"13";"DAS2 Collective";"DAS2";"false"
