"importId";"company_id";"typeSelect";"product.importId";"tax.code";"productFamily.importId";"paymentMode.importId";"saleAccount_code";"saleTaxVatSystem1Account_code";"saleTaxVatSystem2Account_code";"saleTaxSet";"purchaseAccount_code";"purchaseTaxVatSystem1Account_code";"purchaseTaxVatSystem2Account_code";"purchaseTaxSet";"cashAccount_code";"journal_importId";"sequence_importId";"bankDetails_importId";"purchFixedAssetsAccount.code";"purchFixedAssetsTaxVatSystem1Account_code";"purchFixedAssetsTaxVatSystem2Account_code";"fixedAssetCategory.importId";"interbankCodeLine.importId";"purchVatRegulationAccount_code";"saleVatRegulationAccount_code";"globalAccountingCashAccount_code";"chequeDepositJournal_code";"financialDiscountAccount.code";"vatPendingAccount_code"
1;1;1;;;1;;706000;706000;706000;"N_C";604000;604000;604000;"N_D";;;;;;;;;;;;;;;
2;1;1;;;2;;707100;707100;707100;"N_C";601000;601000;601000;"N_D";;;;;;;;;;;;;;;
3;1;1;;;3;;707100;707100;707100;"N_C";602100;602100;602100;"N_D";;;;;;;;;;;;;;;
4;1;1;;;4;;707100;707100;707100;"N_C";602200;602200;602200;"N_D";;;;;;;;;;;;;;;
5;1;1;;;5;;706000;706000;706000;"N_C";604000;604000;604000;"N_D";;;;;;;;;;;;;;;
6;1;1;;;6;;708000;708000;708000;"N_C";625100;625100;625100;"N_D";;;;;;;;;;;;;;;
107;1;1;;;1000;;705000;705000;705000;"N_C";604000;604000;604000;"N_D";;;;;;;;;;;;;;;
108;1;1;;;1100;;;;;;606100;606100;606100;"N_D";;;;;;;;;;;;;;;
109;1;1;;;1200;;;;;;612200;612200;612200;"N_D";;;;;;;;;;;;;;;
110;1;1;;;1300;;;;;;613200;613200;613200;"N_D";;;;;;;;;;;;;;;
111;1;1;;;1400;;;;;;614000;614000;614000;"N_D";;;;;;;;;;;;;;;
112;1;1;;;1500;;;;;;622200;622200;622200;"N_D";;;;;;;;;;;;;;;
113;1;1;;;1600;;;;;;622600;622600;622600;"N_D";;;;;;;;;;;;;;;
114;1;1;;;1700;;;;;;675200;675200;675200;"N_D";;;;;218000;218000;218000;1;;;;;;;
12;1;3;;;;1;;;;;;;;;512100;13;148;90000;;;;;16;;;;;;
13;1;3;;;;2;;;;;;;;;512100;12;147;90000;;;;;89;;;;;;
14;1;3;;;;3;;;;;;;;;512100;9;144;90000;;;;;8;;;;;;
15;1;3;;;;4;;;;;;;;;531100;5;140;90000;;;;;4;;;;;;
16;1;3;;;;5;;;;;;;;;511500;7;142;90000;;;;;24;;;;;;
17;1;3;;;;6;;;;;;;;;512100;6;141;90000;;;;;2;;;511200;"ENC_CHQ";;
18;1;3;;;;7;;;;;;;;;512100;8;143;90000;;;;;30;;;;;;
19;1;3;;;;8;;;;;;;;;512100;11;146;90000;;;;;5;;;;;;
20;1;3;;;;9;;;;;;;;;512100;10;145;90000;;;;;8;;;;;;
21;1;3;;;;10;;;;;;;;;512100;20;154;90000;;;;;95;;;;;;
22;1;3;;;;11;;;;;;;;;512100;18;152;90000;;;;;9;;;;;;
23;1;3;;;;12;;;;;;;;;512100;15;149;90000;;;;;23;;;;;;
24;1;3;;;;13;;;;;;;;;512100;17;151;90000;;;;;11;;;;;;
25;1;3;;;;14;;;;;;;;;512100;16;150;90000;;;;;1;;;;;;
26;1;3;;;;15;;;;;;;;;512100;19;153;90000;;;;;6;;;;;;
27;1;3;;;;16;;;;;;;;;512100;21;155;90000;;;;;86;;;;;;
28;1;1;410;;;;708400;708400;708400;"N_C";621400;621400;621400;"N_D";;;;;;;;;;;;;;;
29;1;1;411;;;;708400;708400;708400;"N_C";621400;621400;621400;"N_D";;;;;;;;;;;;;;;
30;1;1;412;;;;708400;708400;708400;"N_C";621400;621400;621400;"N_D";;;;;;;;;;;;;;;
31;1;1;413;;;;708400;708400;708400;"N_C";621400;621400;621400;"N_D";;;;;;;;;;;;;;;
132;1;1;1700;;;;;;;;;;;"N_D";;;;;218200;218200;218200;3;;;;;;;
32;1;2;;"N_C";;;445711;445711;445711;"N_C";;;;;;;;;;;;;;;445870;;;;445800
33;1;2;;"R1_C";;;445712;445712;445712;"R1_C";;;;;;;;;;;;;;;445870;;;;445800
34;1;2;;"R2_C";;;445713;445713;445713;"R2_C";;;;;;;;;;;;;;;445870;;;;445800
35;1;2;;"U_C";;;445710;445710;445710;"U_C";;;;;;;;;;;;;;;445870;;;;445800
36;1;2;;"X_C";;;445710;445710;445710;"X_C";;;;;;;;;;;;;;;445870;;;;445800
37;1;2;;"N_D";;;;;;;445511;445511;445511;"N_D";;;;;445620;445620;445620;;;445860;;;;;445800
38;1;2;;"R1_D";;;;;;;445512;445512;445512;"R1_D";;;;;445620;445620;445620;;;445860;;;;;445800
39;1;2;;"R2_D";;;;;;;445513;445513;445513;"R2_D";;;;;445620;445620;445620;;;445860;;;;;445800
