"importId";"name";"roles.name"
264;"account-root-bank-orders";"Admin"
265;"account-root-bank-order-direct-debit";"Admin"
266;"account-root-bank-order-sepa-direct-debit";"Admin"
267;"account-root-bank-order-lcr";"Admin"
268;"account-root-bank-order-lcr-bank-orders";"Admin"
269;"account-root-bank-order-international-direct-debit";"Admin"
270;"account-root-bank-order-credit-transfer";"Admin"
271;"account.bank.order.sepa.credit.transfert";"Admin"
272;"account-root-bank-order-international-credit-transfer";"Admin"
273;"account-root-bank-order-bank-to-bank-transfer";"Admin"
274;"account-root-bank-order-sepa-bank-to-bank-transfer";"Admin"
275;"account-root-bank-order-international-bank-to-bank-transfer";"Admin"
276;"account-root-bank-order-send-a-bank-order";"Admin"
277;"account-root-bank-order-awaiting-for-signature";"Admin"
278;"account-root-bank-statement";"Admin"
279;"account-root-bank-statement-bank-statement";"Admin"
280;"account-root-bank-reconciliation";"Admin"
281;"account-root-bank-reconciliation-bank-reconciliation";"Admin"
282;"account-root-bank-reconciliation-bank-reconciliation-line";"Admin"
283;"account-conf-bank-order";"Admin"
284;"account-conf-bank-order-bank-order-file-format";"Admin"
285;"account-conf-bank-order-bank-order-economic-reason";"Admin"
286;"account-conf-ebics";"Admin"
287;"account-conf-ebics-ebics-user";"Admin"
288;"account-conf-ebics-ebics-partner";"Admin"
289;"account-conf-ebics-ebics-bank";"Admin"
290;"account-conf-ebics-ebics-certificate";"Admin"
291;"admin-root-batch-bank-payment";"Admin"
292;"account-conf-ebics-bank-statement-file-format";"Admin"
293;"account-root-payment-schedule-payment-schedule-line-reject";"Admin"
294;"account-conf-bank-accounting-reconciliation";"Admin"
295;"account-bank-statement-rule";"Admin"
296;"account-bank-statement-query";"Admin"
297;"bank-payment-bank-details";"Admin"
298;"account-interbank-code-line";"Admin"
