"name";"roles"
"crm-root";"CRM Manager|CRM User|CRM Read"
"crm-root-customers";"CRM Manager|CRM User|CRM Read"
"crm-root-contacts";"CRM Manager|CRM User|CRM Read"
"crm-root-event";"CRM Manager|CRM User|CRM Read"
"crm-root-lead";"CRM Manager|CRM User|CRM Read"
"crm-root-opportunity";"CRM Manager|CRM User|CRM Read"
"crm-root-meeting-my-calendar";"CRM Manager|CRM User|CRM Read"
"crm-root-meeting-team-calendar";"CRM Manager|CRM User|CRM Read"
"crm-root-meeting-sharedm-calendar";"CRM Manager|CRM User|CRM Read"
"crm-root-report";"CRM Manager|CRM User|CRM Read"
"crm-conf";"CRM Manager"
"crm-conf-lead-source";"CRM Manager"
"crm-conf-category";"CRM Manager"
"crm-conf-target-configuration";"CRM Manager"
"crm-conf-target";"CRM Manager"
"crm-conf-lost-reason";"CRM Manager"
"admin-root-batch-crm";"CRM Manager"
"top-menu-crm";"CRM Manager|CRM User|CRM Read"
"top-menu-crm-meetings";"CRM Manager|CRM User|CRM Read"
"top-menu-crm-calls";"CRM Manager|CRM User|CRM Read"
"top-menu-crm-tasks";"CRM Manager|CRM User|CRM Read"
"top-menu-crm-lead";"CRM Manager|CRM User|CRM Read"
"top-menu-crm-opportunity";"CRM Manager|CRM User|CRM Read"
"menu-event-dashboard";"CRM Manager|CRM User|CRM Read"
"menu-event-dashboard-one";"CRM Manager|CRM User|CRM Read"
"menu-lead-dashboard";"CRM Manager|CRM User|CRM Read"
"menu-lead-dashboard-one";"CRM Manager|CRM User|CRM Read"
"menu-target-dashboard";"CRM Manager|CRM User|CRM Read"
"menu-target-user-dashboard";"CRM Manager|CRM User|CRM Read"
"menu-target-team-dashboard";"CRM Manager|CRM User|CRM Read"
"menu-opportunities-dashboard";"CRM Manager|CRM User|CRM Read"
"menu-opportunities-dashboard-1";"CRM Manager|CRM User|CRM Read"
"menu-opportunities-dashboard-2";"CRM Manager|CRM User|CRM Read"
"menu-opportunities-dashboard-3";"CRM Manager|CRM User|CRM Read"
"menu-calls-dashboard";"CRM Manager|CRM User|CRM Read"
"menu-calls-dashboard-1";"CRM Manager|CRM User|CRM Read"
