"name";"object";"can_read";"can_write";"can_create";"can_remove";"can_export";"condition";"conditionParams";"roleName"
"perm.account.all";"com.axelor.apps.account.db.*";"x";"x";"x";"x";"x";;;"role.admin"
"perm.account.AccountConfig.r";"com.axelor.apps.account.db.AccountConfig";"x";;;;;;;"role.account.r"
"perm.account.AccountManagement.r";"com.axelor.apps.account.db.AccountManagement";"x";;;;;"self.company in (?)";"__user__.companySet";"role.account.r"
"perm.account.PaymentMode.r";"com.axelor.apps.account.db.PaymentMode";"x";;;;;;;"role.account.r"
"perm.account.PayboxConfig.r";"com.axelor.apps.account.db.PayboxConfig";"x";;;;;;;"role.account.r"
"perm.account.JournalType.r";"com.axelor.apps.account.db.JournalType";"x";;;;;;;"role.account.r"
"perm.account.MoveTemplateType.r";"com.axelor.apps.account.db.MoveTemplateType";"x";;;;;;;"role.account.r"
"perm.account.AnalyticJournal.r";"com.axelor.apps.account.db.AnalyticJournal";"x";;;;;"self.company in (?)";"__user__.companySet";"role.account.r"
"perm.account.PaymentVoucher.r";"com.axelor.apps.account.db.PaymentVoucher";"x";;;;;"self.company in (?)";"__user__.companySet";"role.account.r"
"perm.account.DebtRecoveryLevel.r";"com.axelor.apps.account.db.DebtRecoveryLevel";"x";;;;;;;"role.account.r"
"perm.account.Paybox.r";"com.axelor.apps.account.db.Paybox";"x";;;;;;;"role.account.r"
"perm.account.Reimbursement.r";"com.axelor.apps.account.db.Reimbursement";"x";;;;;"self.company in (?)";"__user__.companySet";"role.account.r"
"perm.account.Irrecoverable.r";"com.axelor.apps.account.db.Irrecoverable";"x";;;;;"self.company in (?)";"__user__.companySet";"role.account.r"
"perm.account.DebtRecoveryConfigLine.r";"com.axelor.apps.account.db.DebtRecoveryConfigLine";"x";;;;;;;"role.account.r"
"perm.account.AnalyticJournalType.r";"com.axelor.apps.account.db.AnalyticJournalType";"x";;;;;;;"role.account.r"
"perm.account.InvoiceBatch.r";"com.axelor.apps.account.db.InvoiceBatch";"x";;;;;"self.company in (?)";"__user__.companySet";"role.account.r"
"perm.account.InterbankCodeLine.r";"com.axelor.apps.account.db.InterbankCodeLine";"x";;;;;;;"role.account.r"
"perm.account.InvoiceLineTax.r";"com.axelor.apps.account.db.InvoiceLineTax";"x";;;;;;;"role.account.r"
"perm.account.Budget.r";"com.axelor.apps.account.db.Budget";"x";;;;;"self.company in (?)";"__user__.companySet";"role.account.r"
"perm.account.NotificationItem.r";"com.axelor.apps.account.db.NotificationItem";"x";;;;;;;"role.account.r"
"perm.account.AnalyticAccount.r";"com.axelor.apps.account.db.AnalyticAccount";"x";;;;;;;"role.account.r"
"perm.account.PayVoucherDueElement.r";"com.axelor.apps.account.db.PayVoucherDueElement";"x";;;;;;;"role.account.r"
"perm.account.FiscalPosition.r";"com.axelor.apps.account.db.FiscalPosition";"x";;;;;;;"role.account.r"
"perm.account.ManagementObject.r";"com.axelor.apps.account.db.ManagementObject";"x";;;;;;;"role.account.r"
"perm.account.Account.r";"com.axelor.apps.account.db.Account";"x";;;;;"self.company in (?)";"__user__.companySet";"role.account.r"
"perm.account.PaymentCondition.r";"com.axelor.apps.account.db.PaymentCondition";"x";;;;;;;"role.account.r"
"perm.account.DirectDebitManagement.r";"com.axelor.apps.account.db.DirectDebitManagement";"x";;;;;"self.company in (?)";"__user__.companySet";"role.account.r"
"perm.account.PaymentScheduleLine.r";"com.axelor.apps.account.db.PaymentScheduleLine";"x";;;;;;;"role.account.r"
"perm.account.MoveTemplateLine.r";"com.axelor.apps.account.db.MoveTemplateLine";"x";;;;;;;"role.account.r"
"perm.account.DepositSlip.r";"com.axelor.apps.account.db.DepositSlip";"x";;;;;"self.company in (?)";"__user__.companySet";"role.account.r"
"perm.account.PayVoucherElementToPay.r";"com.axelor.apps.account.db.PayVoucherElementToPay";"x";;;;;;;"role.account.r"
"perm.account.Tax.r";"com.axelor.apps.account.db.Tax";"x";;;;;;;"role.account.r"
"perm.account.ReportedBalanceLine.r";"com.axelor.apps.account.db.ReportedBalanceLine";"x";;;;;;;"role.account.r"
"perm.account.TaxLine.r";"com.axelor.apps.account.db.TaxLine";"x";;;;;;;"role.account.r"
"perm.account.IrrecoverableReportLine.r";"com.axelor.apps.account.db.IrrecoverableReportLine";"x";;;;;;;"role.account.r"
"perm.account.AnalyticDistributionLine.r";"com.axelor.apps.account.db.AnalyticDistributionLine";"x";;;;;;;"role.account.r"
