"importId";"name";"roles.name"
146;"invoice-root";"Admin"
147;"invoice-root-custinvoices";"Admin"
148;"invoice-root-cust-credit-note";"Admin"
149;"invoice-root-purchase-supinvoices";"Admin"
150;"invoice-root-my-awaiting-pfp";"Admin"
151;"invoice-root-pfp";"Admin"
152;"invoice-root-pfp-my-awaiting-pfp";"Admin"
153;"invoice-root-pfp-awaiting-pfp";"Admin"
154;"invoice-root-purchase-sup-credit-note";"Admin"
155;"invoice-root-invoice-terms";"Admin"
156;"account-root-payment-schedule";"Admin"
157;"account-root-payment-schedule-payment-schedule";"Admin"
158;"account-root-payment-schedule-payment-schedule-line";"Admin"
159;"invoice-root-report";"Admin"
160;"account-root";"Admin"
161;"account-root-move";"Admin"
162;"account-root-move-move";"Admin"
163;"account-root-move-move-line";"Admin"
164;"account-root-payments";"Admin"
165;"account-root-payments-payment-voucher";"Admin"
166;"account-root-payments-payment-session ";"Admin"
167;"account-root-payments-suppl-invoices-to-pay";"Admin"
168;"account-root-payments-cheque-deposit-slip-all";"Admin"
169;"account-root-periodic-processing";"Admin"
170;"account-root-periodic-processing-reconcile-manager";"Admin"
171;"account-root-periodic-processing-reconcile";"Admin"
172;"account-root-periodic-processing-reconcile-group";"Admin"
173;"account-root-periodic-processing-overpayment-clearances";"Admin"
174;"account-root-periodic-processing-shift-irrecoverable";"Admin"
175;"account-root-periodic-processing-cheque-reject";"Admin"
176;"account-root-periodic-processing-annual-processing";"Admin"
177;"account-root-periodic-processing-annual-processing-year-closure";"Admin"
178;"account-root-debt-recovery";"Admin"
179;"debt-recovery-root-debt-recovery";"Admin"
180;"debt-recovery-root-history";"Admin"
181;"debt-recovery-root-factoring";"Admin"
182;"debt-recovery-root-subrogation-releases";"Admin"
183;"debt-recovery-root-notifications";"Admin"
184;"debt-recovery-root-conf";"Admin"
185;"debt-recovery-root-conf-debt-recovery-method";"Admin"
186;"debt-recovery-root-conf-factor";"Admin"
187;"account-root-accounting";"Admin"
188;"account-root-accounting-reimbursement";"Admin"
189;"account-root-accounting-accounting-reports";"Admin"
190;"account-root-accounting-accounting-exports";"Admin"
191;"account-root-asset-management-fixed-assets";"Admin"
192;"account-root-asset-management-conf";"Admin"
193;"account-root-asset-management-conf-asset-categories";"Admin"
194;"account-root-asset-management-conf-asset-type";"Admin"
195;"account-root-asset-management-asset-disposal-reasons";"Admin"
196;"account-root-report";"Admin"
197;"account-conf";"Admin"
198;"account-conf-financial";"Admin"
199;"account-conf-fiscal-position";"Admin"
200;"account-conf-financial-year";"Admin"
201;"account-conf-financial-period";"Admin"
202;"account-conf-financial-journal";"Admin"
203;"account-conf-financial-journal-type";"Admin"
204;"account-conf-financial-account";"Admin"
205;"account-conf-financial-accounting-plan";"Admin"
206;"account-conf-financial-account-management";"Admin"
207;"account-conf-financial-account-type";"Admin"
208;"account-conf-financial-tax";"Admin"
209;"account-conf-financial-service-types";"Admin"
210;"account-conf-financial-tax-number";"Admin"
211;"account-conf-financial-financial-discount";"Admin"
212;"account-conf-analytic";"Admin"
213;"account-conf-analytic-journal";"Admin"
214;"account-conf-analytic-journal-type";"Admin"
215;"account-conf-analytic-account";"Admin"
216;"account-conf-analytic-accounting-plan";"Admin"
217;"account-conf-analytic-axis";"Admin"
218;"account-conf-analytic-move-line";"Admin"
219;"account-conf-analytic-distribution-template";"Admin"
220;"account-conf-payment";"Admin"
221;"account-conf-payment-payment-mode";"Admin"
222;"account-conf-payment-payment-condition";"Admin"
223;"account-conf-reporting";"Admin"
224;"account-conf-import-fec-type";"Admin"
225;"account-conf-reporting-interbank-code";"Admin"
226;"account-root-accounting-conf-report-types-report";"Admin"
227;"account-root-accounting-conf-report-types-export";"Admin"
228;"admin-root-batch-accounting";"Admin"
229;"top-invoicing";"Admin"
230;"top-invoicing-custinvoices";"Admin"
231;"top-invoicing-cust-credit-note";"Admin"
232;"top-invoicing-supplinvoices";"Admin"
233;"top-invoicing-suppl-credit-note";"Admin"
234;"menu-account-sale-invoice-dashboard-1";"Admin"
235;"menu-account-purchase-invoice-dashboard-1";"Admin"
236;"menu-account-invoice-advanced";"Admin"
237;"menu-account-sale-invoice-advanced";"Admin"
238;"menu-account-purchase-invoice-advanced";"Admin"
239;"menu-accounting-dashboard-1";"Admin"
240;"menu-accounting-dashboard-2";"Admin"
241;"move-template-wizard";"Admin"
242;"move-template-root";"Admin"
243;"move-template";"Admin"
244;"move-template-type";"Admin"
245;"invoice-conf";"Admin"
246;"invoice-conf-refusalreason";"Admin"
247;"invoice-conf-pfp-partial-reason";"Admin"
248;"fec-import";"Admin"
249;"debt-recovery-root-conf-payment-delay-reason";"Admin"
250;"referential-conf-das2-activity";"Admin"
251;"account-analytic-grouping";"Admin"
252;"account-analytic-structure";"Admin"
253;"account-analytic-rules";"Admin"
254;"account-analytic-grouping-value";"Admin"
255;"account-root-periodic-processing-annual-move-consistency-control";"Admin"
256;"account-analytic-move-line-search";"Admin"
257;"account-root-accounting-conf-accounting-config-templates";"Admin"
258;"account-root-asset-management";"Admin"
259;"account-root-move-mass-entry-move";"Admin"
260;"account-root-periodic-processing-reconcile-group-proposal";"Admin"
261;"account-root-pfp";"Admin"
262;"account-root-pfp-awaiting-pfp";"Admin"
263;"account-root-pfp-my-awaiting-pfp";"Admin"
