"module";"object";"view";"field";"help"
"axelor-account";"AccountingSituation";"accounting-situation-partner-form";"company";"Permet la sélection de la société active pour laquelle on créer la situation comptable ( fonction multi-sociétés)"
"axelor-account";"TaxAccount";"tax-account-form";"company";"Permet de sélectionner parmi les sociétés paramétrées dans Axelor celle pour laquelle le paramétrage de la configuration de compte de taxe affichée à l'écran est réalisé. Seul les comptes comptables de cette société seront sélectionnables dans le champ ""Compte comptable"" juxtaposé."
"axelor-account";"TaxAccount";"tax-account-form";"account";"Permet de sélectionner parmi les comptes comptables de la société sélectionnée dans le champ ""Société"" celui sur lequel seront imputées les écritures comptables relatives à la taxe affichée à l'écran."
"axelor-account";"Invoice";"invoice-form";"currency";"Cette devise défini la devise de la facture. Si la devise de la comptabilité de l'entreprise ou du journal est différente de la devise de la facture, le système convertira automatiquement les montants dans la devise de la comptabilité ou du journal."
"axelor-account";"Invoice";"invoice-form";"message";"Ce champ libre permet de laisser un message visible à l'ouverture de la vue, pour un usage principalement interne."
"axelor-account";"Invoice";"invoice-form";"supplierInvoiceNb";"Ce champ apparait seulement sur les factures fournisseurs. Il permet de noter le numéro de facture que le fournisseur vous a transmis."
"axelor-account";"Invoice";"invoice-form";"journal";"Indique le journal correspondant. Par défaut sera indiqué pour une facture client le journal ""Ventes"", et pour une facture fournisseur le journal ""Achats""."
"axelor-account";"Invoice";"invoice-form";"move";"Ce champ indique l'écriture comptable associée à la facture. Elle est créée et apparait une fois que la facture a été ventilée."
"axelor-account";"Invoice";"invoice-form";"internalReference";"Numéro de référence d'un document interne. Ce champ indique par défaut le numéro interne de la commande associée à la facture."
"axelor-account";"Invoice";"invoice-form";"externalReference";"Ce champ permet d'indiquer un numéro de référence externe (comme une référence client ou fournisseur)."
"axelor-account";"AppAccount";"app-account-config-form";"manageCustomerCredit";"Cette option permet de gérer le niveau d'encours des clients et d'en fixer un montant maximum. Un montant maximal d'encours accepté par défaut pour tous les clients peut être fixé par défaut dans les configurations des ventes par société.
Le montant d'encours accepté peut également être configuré par client, dans les informations comptables des fiches clients. Vous pourrez également visualiser l'encours actuellement utilisé par chaque client."
"axelor-account";"AccountConfig";"account-config-form";"accountChart";"Plan de compte par défaut utilisé pour cette société."
"axelor-account";"AppInvoice";"app-invoice-config-form";"isInvoiceMoveConsolidated";"Cette option peut s'activer sur les journaux comptables. Elle permet de regrouper les lignes d'écritures de facture par comptes comptables et par axes analytiques."
"axelor-account";"AppInvoice";"app-invoice-config-form";"isVentilationSkipped";"Permet d'enlever l'étape de ventilation des factures pour garder seulement l'étape de validation. Une fois une facture validée, elle pourra alors être traitée comptablement sans avoir à passer par une étape de ventilation."
"axelor-account";"Invoice";"invoice-form";"priceList";"Permet d'associer une liste de prix à utiliser spécifiquement pour cette commande. Ce champ est rempli automatiquement si une liste de prix est rattachée au tiers. "
