"importId";"company_id";"typeSelect";"product.importId";"tax.code";"productFamily.importId";"paymentMode.importId";"saleTax.code";"purchaseTax.code"
1;1;1;;;1;;;
2;1;1;;;2;;;
3;1;1;;;3;;;
4;1;1;;;4;;;
5;1;1;;;5;;;
6;1;1;;;6;;;
12;1;3;;;;1;;
13;1;3;;;;2;;
14;1;3;;;;3;;
15;1;3;;;;4;;
16;1;3;;;;5;;
17;1;3;;;;6;;
18;1;3;;;;7;;
19;1;3;;;;8;;
20;1;3;;;;9;;
21;1;3;;;;10;;
22;1;3;;;;11;;
23;1;3;;;;12;;
24;1;3;;;;13;;
25;1;3;;;;14;;
26;1;3;;;;15;;
27;1;3;;;;16;;
28;1;1;302;;;;;
29;1;1;303;;;;;
30;1;1;304;;;;;
31;1;1;305;;;;;
