importId;code;name;nextNum;padding;prefixe;suffixe;toBeAdded;yearlyResetOk;company.importId
1;accountClearance;Overpayment clearance;1;10;ACCCLR_%Y_;;1;1;1
2;chequeReject;Cheque reject;1;10;CHQREJ_%Y_;;1;1;1
7;debit;Direct debit (invoice and installments);1;7;DDINV_%Y_;;1;1;1
8;debitReject;Direct debit reject;1;7;REJDD_%Y_;;1;1;1
9;doubtfulCustomer;Transfer in doubtful receivables;1;7;DBTREC_%Y_;;1;1;1
10;irrecoverable;Transfer in irrecoverables;1;7;IRRECOV_%Y_;;1;1;1
11;move;Sales move line;1;7;MVSAL_%Y_;;1;1;1
12;move;Refund move line;1;10;MVREF_%Y_;;1;1;1
13;move;Purchase move line;1;7;MVPUR_%Y_;;1;1;1
14;move;Purchase refund move line;1;10;MVSREF_%Y_;;1;1;1
15;move;Virtual move line;1;7;MVVIRT_%Y_;;1;1;1
16;move;Move line for payments received in Cash;1;7;MVCSHIN_%Y_;;1;1;1
17;move;Move line for payments executed by Cash;1;7;MVCSHOUT_%Y_;;1;1;1
18;move;Miscellaneous Operation Automatic;1;10;MVMISCAUTO_%Y_;;1;1;1
19;move;Miscellaneous Operation Manual;1;10;MVMISCMANU_%Y_;;1;1;1
20;move;Clearance Move Live;1;10;MVCLR_%Y_;;1;1;1
21;move;Irrecovrable Move Line;1;10;MVIRREC_%Y_;;1;1;1
22;moveLineExport;Accounting Export;1;10;ACCEXP_%Y_;;1;1;1
23;moveLineReport;Accounting Report;1;10;ACCREPORT_%Y_;;1;1;1
24;paymentSchedule;Installment N°;1;10;INSTAL_%Y_;;1;1;1
25;paymentVoucher;N° for inbound payments;1;10;CSH_IN_%Y_;;1;1;1
26;paymentVoucher;N° for outbound payments;1;10;CSH_OUT_%Y_;;1;1;1
27;paymentVoucherReceiptNo;Voucher Receipt N°;1;10;RECPT_%Y_;;1;1;1
28;purchaseInterface;Purchase interface;1;10;PURINT_%Y_;;1;1;1
29;refundInterface;Refund interface;1;10;REFINT_%Y_;;1;1;1
30;reimbursement;Reimbursement proposals;1;10;REIMB_%Y_;;1;1;1
31;saleInterface;Sale interface;1;10;SALINT_%Y_;;1;1;1
32;treasuryInterface;Cash flow interface;1;10;CSHFLWINT_%Y_;;1;1;1
