"name";"object";"can_read";"can_write";"can_create";"can_remove";"can_export";"condition";"conditionParams";"roleName"
"perm.helpdesk.all";"com.axelor.apps.helpdesk.db.*";"x";"x";"x";"x";"x";;;"role.admin"
"perm.helpdesk.Ticket.r";"com.axelor.apps.helpdesk.db.Ticket";"x";;;;;;;"role.helpdesk.r"
"perm.helpdesk.TicketType.r";"com.axelor.apps.helpdesk.db.TicketType";"x";;;;;;;"role.helpdesk.r"
"perm.helpdesk.Sla.r";"com.axelor.apps.helpdesk.db.Sla";"x";;;;;;;"role.helpdesk.r"
"perm.helpdesk.Ticket.rwc";"com.axelor.apps.helpdesk.db.Ticket";"x";"x";"x";;;;;"role.helpdesk.rwc"
"perm.helpdesk.TicketType.rwc";"com.axelor.apps.helpdesk.db.TicketType";"x";"x";"x";;;;;"role.helpdesk.rwc"
"perm.helpdesk.Sla.rwc";"com.axelor.apps.helpdesk.db.Sla";"x";"x";"x";;;;;"role.helpdesk.rwc"
"perm.helpdesk.Ticket.rwcde";"com.axelor.apps.helpdesk.db.Ticket";"x";"x";"x";"x";"x";;;"role.helpdesk.rwcde"
"perm.helpdesk.TicketType.rwcde";"com.axelor.apps.helpdesk.db.TicketType";"x";"x";"x";"x";"x";;;"role.helpdesk.rwcde"
"perm.helpdesk.Sla.rwcde";"com.axelor.apps.helpdesk.db.Sla";"x";"x";"x";"x";"x";;;"role.helpdesk.rwcde"
