"importId";"codeSelect";"name";"sequenceTypeSelect";"sequenceLettersTypeSelect";"nextNum";"padding";"prefixe";"suffixe";"toBeAdded";"yearlyResetOk"
100;"accountClearance";"Apurement des trop-perçus";"NUMBERS";"UPPERCASE";1;4;"APURMT%YY";;1;1
101;"chequeReject";"Rejet chèques";"NUMBERS";"UPPERCASE";1;4;"REJCHQ%YY";;1;1
102;"invoice";"Facture de vente";"NUMBERS";"UPPERCASE";1;4;"FC%YY";;1;1
103;"invoice";"Avoir client";"NUMBERS";"UPPERCASE";1;4;"AC%YY";;1;1
104;"invoice";"Facture d'achat";"NUMBERS";"UPPERCASE";1;4;"FF%YY";;1;1
105;"invoice";"Avoir fournisseur";"NUMBERS";"UPPERCASE";1;4;"AF%YY";;1;1
106;"debit";"Prélèvement (facture et echeanciers hors mensu)";"NUMBERS";"UPPERCASE";1;4;"PRLFAC%YY";;1;1
109;"irrecoverable";"Passage en irrécouvrable";"NUMBERS";"UPPERCASE";1;4;"IRRECO%YY";;1;1
110;"move";"Ecriture Vente";"NUMBERS";"UPPERCASE";1;4;"VTE%YY";;1;1
111;"move";"Ecriture Avoir";"NUMBERS";"UPPERCASE";1;4;"AVC%YY";;1;1
112;"move";"Ecriture Achat";"NUMBERS";"UPPERCASE";1;4;"ACH%YY";;1;1
113;"move";"Ecriture Avoir fournisseur";"NUMBERS";"UPPERCASE";1;4;"AVF%YY";;1;1
114;"move";"Ecriture Factice";"NUMBERS";"UPPERCASE";1;4;"EP_VIRT%YY";;1;1
125;"move";"Ecriture Banque";"NUMBERS";"UPPERCASE";1;4;"BNQ%YY";;1;1
133;"move";"Ecriture d'OD automatique";"NUMBERS";"UPPERCASE";1;4;"ODA%YY";;1;1
134;"move";"Ecriture d'OD manuelle";"NUMBERS";"UPPERCASE";1;4;"ODM%YY";;1;1
137;"moveLineExport";"Export comptable";"NUMBERS";"UPPERCASE";1;4;"EXPCPT%YY";;1;1
138;"accountingReport";"Reporting comptable";"NUMBERS";"UPPERCASE";1;4;"REPCPT%YY";;1;1
