"importId";"template_importId";"processInstanceId";"useLegacyCustomReports";"comparison";"reportTitle";"typeSelect";"noOfPeriods";"reportExportTypeSelect";"name";"company_importId";"modelAccountingReport_importId"
"MAR_PCG10023";;;"false";"0";;"1011";"1";"2";"Export N4DS";;
"MAR_PCG10024";;;"false";"0";;"21";"1";"1";"Etat préparatoire DGI 2054";;
"MAR_PCG10001";;;"false";"0";;"1";"1";"1";"Grand livre";"1";
"MAR_PCG10003";;;"false";"0";;"3";"1";"1";"Balance clients détaillée";"1";
"MAR_PCG10004";;;"false";"0";;"4";"1";"1";"Balance âgée";"1";
"MAR_PCG10005";;;"false";"0";;"5";"1";"1";"Bordereau de remise de chèques";"1";
"MAR_PCG10006";;;"false";"0";;"7";"1";"1";"Grand livre auxiliaire";"1";
"MAR_PCG10007";;;"false";"0";;"6";"1";"1";"Balance auxiliaire";"1";
"MAR_PCG10008";;;"false";"0";;"10";"1";"1";"Récapitulatif des reçus espèces";"1";
"MAR_PCG10009";;;"false";"0";;"11";"1";"1";"Journal";"1";
"MAR_PCG10010";;;"false";"0";;"12";"1";"1";"Etat TVA sur facturation";"1";
"MAR_PCG10011";;;"false";"0";;"15";"1";"1";"Etat TVA sur encaissement";"1";
"MAR_PCG10012";;;"false";"0";;"13";"1";"1";"Différences paiement";"1";
"MAR_PCG10013";;;"false";"0";;"14";"1";"1";"Grand livre (ancienne présentation)";"1";
"MAR_PCG10014";;;"false";"0";;"16";"1";"1";"Tableau des acquisitions";"1";
"MAR_PCG10015";;;"false";"0";;"17";"1";"1";"Synthèses des valeurs brutes et des amortissements";"1";
"MAR_PCG10016";;;"false";"0";;"2000";"1";"1";"Balance analytique";"1";
"MAR_PCG10017";;;"false";"0";;"2001";"1";"1";"Grand livre analytique";"1";
"MAR_PCG10018";;;"false";"0";;"1000";"1";"2";"Export FEC -> Administration";"1";
"MAR_PCG10019";;;"false";"0";;"1001";"1";"2";"Export FEC -> Logiciel comptable";"1";
"MAR_PCG10022";;;"false";"0";;"1010";"1";"2";"Export balance générale -> Logiciel comptable";"1";
"MAR_PCG10025";;;"false";"0";;"1011";"1";"2";"Export N4DS";"1";
"MAR_PCG10026";;;"false";"0";;"21";"1";"1";"Etat préparatoire DGI 2054";"1";
"MAR_PCG10027";;;"false";"0";;"22";"1";"1";"Etat préparatoire DGI 2055";"1";
"MAR_PCG10028";;;"false";"0";"Bilan";"3000";"1";"1";"Bilan";"1";
"MAR_PCG10029";;;"false";"0";"Compte de résultat";"3000";"1";"1";"Compte de résultat";"1";
"MAR_PCG10020";;;"false";"0";"Soldes intermédiaires de gestion (SIG)";"3000";"1";"1";"Soldes intermédiaires de gestion (SIG)";"1";
"MAR_PCG10021";;;"false";"0";"Factures client/fournisseurs dont le terme est échu";"23";"1";"1";"Factures client/fournisseurs dont le terme est échu";"1";
"MAR_PCG10030";;;"false";"0";"Factures client/fournisseurs ayant connu un retard de paiement";"24";"1";"1";"Factures client/fournisseurs ayant connu un retard de paiement";"1";
"MAR_PCG10032";;;"false";"2";"Bilan Passif";"3000";"1";"1";"Bilan Passif";"1";
"MAR_PCG10033";;;"false";"1";"COMPTE DE PRODUITS ET CHARGES";"3000";"1";"1";"COMPTE DE PRODUITS ET CHARGES";"1";
"MAR_PCG10002";;;"false";"0";;"2";"1";"1";"Balance générale";"1";
"MAR_PCG10031";;;"false";"1";"Bilan actif";"3000";"1";"1";"Bilan actif";"1";
"MAR_PCG10034";;;"false";"0";"ESG";"3000";"1";"1";"ESG";"1";
"MAR_PCG10039";;;"false";"0";"DETAIL DES POSTES DU C.P.C";"3000";"1";"1";"DETAIL DES POSTES DU C.P.C";"1";
