"importId";"tax_code";"startDate";"endDate";"value"
"MAR_PCG1";20;2000-01-01;;0
"MAR_PCG2";30;2000-01-02;;0
"MAR_PCG3";40;2000-01-03;;0
"MAR_PCG4";50;2000-01-04;;0
"MAR_PCG5";80;2000-01-05;;20
"MAR_PCG6";81;2000-01-06;;20
"MAR_PCG7";82;2000-01-07;;20
"MAR_PCG8";83;2000-01-08;;20
"MAR_PCG9";87;2000-01-09;;20
"MAR_PCG10";102;2000-01-10;;20
"MAR_PCG11";84;2000-01-11;;14
"MAR_PCG12";85;2000-01-12;;14
"MAR_PCG13";86;2000-01-13;;14
"MAR_PCG14";88;2000-01-14;;14
"MAR_PCG15";89;2000-01-15;;14
"MAR_PCG16";90;2000-01-16;;14
"MAR_PCG17";104;2000-01-17;;14
"MAR_PCG18";91;2000-01-18;;14
"MAR_PCG19";92;2000-01-19;;10
"MAR_PCG20";93;2000-01-20;;10
"MAR_PCG21";94;2000-01-21;;10
"MAR_PCG22";95;2000-01-22;;10
"MAR_PCG23";96;2000-01-23;;10
"MAR_PCG24";97;2000-01-24;;10
"MAR_PCG25";98;2000-01-25;;10
"MAR_PCG26";99;2000-01-26;;10
"MAR_PCG27";100;2000-01-27;;10
"MAR_PCG28";101;2000-01-28;;10
"MAR_PCG29";103;2000-01-29;;10
"MAR_PCG30";105;2000-01-30;;10
"MAR_PCG31";108;2000-01-31;;10
"MAR_PCG32";109;2000-02-01;;10
"MAR_PCG33";112;2000-02-02;;10
"MAR_PCG34";118;2000-02-03;;10
"MAR_PCG35";78;2000-02-04;;7
"MAR_PCG36";106;2000-02-05;;7
"MAR_PCG37";107;2000-02-06;;7
"MAR_PCG38";110;2000-02-07;;7
"MAR_PCG39";111;2000-02-08;;7
"MAR_PCG40";113;2000-02-09;;7
"MAR_PCG41";114;2000-02-10;;7
"MAR_PCG42";115;2000-02-11;;7
"MAR_PCG43";116;2000-02-12;;7
"MAR_PCG44";117;2000-02-13;;7
"MAR_PCG45";119;2000-02-14;;7
"MAR_PCG46";140;2000-02-15;;20
"MAR_PCG47";141;2000-02-16;;14
"MAR_PCG48";142;2000-02-17;;10
"MAR_PCG49";143;2000-02-18;;10
"MAR_PCG50";144;2000-02-19;;10
"MAR_PCG51";153;2000-02-20;;10
"MAR_PCG52";145;2000-02-21;;20
"MAR_PCG53";146;2000-02-22;;20
"MAR_PCG54";147;2000-02-23;;14
"MAR_PCG55";148;2000-02-24;;14
"MAR_PCG56";149;2000-02-25;;10
"MAR_PCG57";150;2000-02-26;;10
"MAR_PCG58";151;2000-02-27;;7
"MAR_PCG59";152;2000-02-28;;7
"MAR_PCG60";155;2000-02-29;;20
"MAR_PCG61";156;2000-03-01;;20
"MAR_PCG62";162;2000-03-02;;20
"MAR_PCG63";163;2000-03-03;;20
"MAR_PCG64";164;2000-03-04;;20
"MAR_PCG65";165;2000-03-05;;20
"MAR_PCG66";166;2000-03-06;;20
"MAR_PCG67";167;2000-03-07;;20
"MAR_PCG68";168;2000-03-08;;14
"MAR_PCG69";169;2000-03-09;;7
