"importId";"typeSelect";"product_importId";"tax_code";"productFamily_importId";"paymentMode.code";"saleAccount_code";"saleTaxVatSystem1Account_code";"saleTaxVatSystem2Account_code";"saleTax_code";"purchaseAccount_code";"purchaseTaxVatSystem1Account_code";"purchaseTaxVatSystem2Account_code";"purchaseTax_code";"cashAccount_code";"journal_code";"sequence_importId";"bankDetails_importId";"purchFixedAssetsAccount_code";"purchFixedAssetsTaxVatSystem1Account_code";"purchFixedAssetsTaxVatSystem2Account_code";"fixedAssetCategory_importId";"interbankCodeLine_importId";"allowedFinDiscountTaxVatSystem1Account_code";"allowedFinDiscountTaxVatSystem2Account_code";"obtainedFinDiscountTaxVatSystem1Account_code";"obtainedFinDiscountTaxVatSystem2Account_code";"purchVatRegulationAccount_code";"saleVatRegulationAccount_code";"globalAccountingCashAccount_code";"chequeDepositJournal_code";"financialDiscountAccount_code"
"MAR_PCG1";2;;"020";;;34552020;34552020;34552020;"020";;;;;;;;;;;;;;;;;;;;;34552020;
"MAR_PCG2";2;;"030";;;;;;"030";;;;;;;;;;;;;;;;;;;;;;
"MAR_PCG3";2;;"040";;;;;;"040";;;;;;;;;;;;;;;;;;;;;;
"MAR_PCG4";2;;"050";;;;;;"050";;;;;;;;;;;;;;;;;;;;;;
"MAR_PCG5";2;;"080";;;;;;"080";;;;;;;;;;;;;;;;;;;;;;
"MAR_PCG6";2;;"081";;;;;;"081";44560000;44560000;;;;;;;;;;;;;;;;;;;;
"MAR_PCG7";2;;"082";;;;;;"082";;;;;;;;;;;;;;;;;;;;;;
"MAR_PCG8";2;;"083";;;;;;"083";;;;;;;;;;;;;;;;;;;;;;
"MAR_PCG9";2;;"087";;;;;;"087";;;;;;;;;;;;;;;;;;;;;;
"MAR_PCG10";2;;"102";;;;;;"102";;;;;;;;;;;;;;;;;;;;;;
"MAR_PCG11";2;;"084";;;;;;"084";;;;;;;;;;;;;;;;;;;;;;
"MAR_PCG12";2;;"085";;;;;;"085";;;;;;;;;;;;;;;;;;;;;;
"MAR_PCG13";2;;"086";;;;;;"086";;;;;;;;;;;;;;;;;;;;;;
"MAR_PCG14";2;;"088";;;;;;"088";;;;;;;;;;;;;;;;;;;;;;
"MAR_PCG15";2;;"089";;;;;;"089";;;;;;;;;;;;;;;;;;;;;;
"MAR_PCG16";2;;"090";;;;;;"090";;;;;;;;;;;;;;;;;;;;;;
"MAR_PCG17";2;;"104";;;;;;"104";;;;;;;;;;;;;;;;;;;;;;
"MAR_PCG18";2;;"091";;;;;;"091";;;;;;;;;;;;;;;;;;;;;;
"MAR_PCG19";2;;"092";;;;;;"092";;;;;;;;;;;;;;;;;;;;;;
"MAR_PCG20";2;;"093";;;;;;"093";;;;;;;;;;;;;;;;;;;;;;
"MAR_PCG21";2;;"094";;;;;;"094";;;;;;;;;;;;;;;;;;;;;;
"MAR_PCG22";2;;"095";;;;;;"095";;;;;;;;;;;;;;;;;;;;;;
