"code";"parent_code";"name";"accountType.importId";"isRegulatoryAccount";"commonPosition";"reconcileOk";"compatibleAccounts";"useForPartnerBalance";"isTaxAuthorizedOnMoveLine";"isTaxRequiredOnMoveLine";"defaultTaxSet";"vatSystemSelect";"isRetrievedOnPaymentSession";"serviceType.code";"manageCutOffPeriod";"hasAutomaticApplicationAccountingDate";"analyticDistributionAuthorized";"analyticDistributionRequiredOnInvoiceLines";"analyticDistributionRequiredOnMoveLines";"analyticDistributionTemplate.importId";"statusSelect"
0;;"Racine PCG";"MAR_PCG0";1;0;0;;0;0;0;;0;0;;0;;;;;;1
1;0;"COMPTES DE FINANCEMENT PERMANENT";"MAR_PCG0";1;0;0;;0;0;0;;0;0;;0;;;;;;1
11;1;"CAPITAUX PROPRES";"MAR_PCG0";1;0;0;;0;0;0;;0;0;;0;;;;;;1
111;11;"Capital social ou personnel";"MAR_PCG0";1;0;0;;0;0;0;;0;0;;0;;;;;;1
11110000;111;"Capital social";"MAR_PCG6";0;0;0;;0;0;0;;0;0;;0;;;;;;1
11120000;111;"Fonds de dotation";"MAR_PCG6";0;0;0;;0;0;0;;0;0;;0;;;;;;1
1117;111;"Capital personnel";"MAR_PCG0";1;0;0;;0;0;0;;0;0;;0;;;;;;1
11171000;1117;"Capital individuel";"MAR_PCG6";0;0;0;;0;0;0;;0;0;;0;;;;;;1
11175000;1117;"Compte de l'exploitant";"MAR_PCG6";0;0;0;;0;0;0;;0;0;;0;;;;;;1
11190000;111;"Actionnaires, Capital souscrit non appelé";"MAR_PCG1";0;0;0;;0;0;0;;0;0;;0;;;;;;1
112;11;"Primes d'émission, de fusion et d'apport";"MAR_PCG0";1;0;0;;0;0;0;;0;0;;0;;;;;;1
11210000;112;"Prime d'émission";"MAR_PCG6";0;0;0;;0;0;0;;0;0;;0;;;;;;1
11220000;112;"Prime de fusion";"MAR_PCG6";0;0;0;;0;0;0;;0;0;;0;;;;;;1
11230000;112;"Prime d'pport";"MAR_PCG6";0;0;0;;0;0;0;;0;0;;0;;;;;;1
113;11;"Ecarts de réévaluation";"MAR_PCG0";1;0;0;;0;0;0;;0;0;;0;;;;;;1
11300000;11;"Ecarts de réévaluation";"MAR_PCG6";0;0;0;;0;0;0;;0;0;;0;;;;;;1
114;11;"Réserve légale";"MAR_PCG0";1;0;0;;0;0;0;;0;0;;0;;;;;;1
11400000;11;"Réserve légale";"MAR_PCG6";0;0;0;;0;0;0;;0;0;;0;;;;;;1
115;11;"Autres réserves";"MAR_PCG0";1;0;0;;0;0;0;;0;0;;0;;;;;;1
11510000;115;"Réserves statutaires ou contractuelles";"MAR_PCG6";0;0;0;;0;0;0;;0;0;;0;;;;;;1
11520000;115;"Réserves facultatives";"MAR_PCG6";0;0;0;;0;0;0;;0;0;;0;;;;;;1
11550000;115;"Réserves réglementées";"MAR_PCG6";0;0;0;;0;0;0;;0;0;;0;;;;;;1
116;11;"Report à nouveau";"MAR_PCG0";1;0;0;;0;0;0;;0;0;;0;;;;;;1
11610000;116;"Report à nouveau (solde créditeur)";"MAR_PCG6";0;0;0;;0;0;0;;0;0;;0;;;;;;1
11690000;116;"Report à nouveau (solde débiteur)";"MAR_PCG6";0;0;0;;0;0;0;;0;0;;0;;;;;;1
118;11;"Résultats nets en instance d'affectation";"MAR_PCG0";1;0;0;;0;0;0;;0;0;;0;;;;;;1
11810000;118;"Résultats nets en instance d'affectation (solde créditeur)";"MAR_PCG6";0;0;0;;0;0;0;;0;0;;0;;;;;;1
11890000;118;"Résultats nets en instance d'affectation (solde débiteur)";"MAR_PCG6";0;0;0;;0;0;0;;0;0;;0;;;;;;1
119;11;"Résultat net de l'exercice";"MAR_PCG0";1;0;0;;0;0;0;;0;0;;0;;;;;;1
11910000;119;"Résultat net de l'exercice (solde créditeur)";"MAR_PCG6";0;0;0;;0;0;0;;0;0;;0;;;;;;1
11990000;119;"Résultat net de l'exercice (solde débiteur)";"MAR_PCG6";0;0;0;;0;0;0;;0;0;;0;;;;;;1
13;1;"CAPITAUX PROPRES ASSIMILES";"MAR_PCG0";1;0;0;;0;0;0;;0;0;;0;;;;;;1
131;13;"Subventions d'investissement";"MAR_PCG0";1;0;0;;0;0;0;;0;0;;0;;;;;;1
13110000;131;"Subventions d'investissement reçues";"MAR_PCG6";0;0;0;;0;0;0;;0;0;;0;;;;;;1
13190000;131;"Subventions d'investissement inscrit au compte de produit et charges";"MAR_PCG6";0;0;0;;0;0;0;;0;0;;0;;;;;;1
135;13;"Provisions réglementées";"MAR_PCG0";1;0;0;;0;0;0;;0;0;;0;;;;;;1
13510000;135;"Provisions pour amortissements dérogatoires";"MAR_PCG11";0;0;0;;0;0;0;;0;0;;0;;;;;;1
13520000;135;"Provisions pour plus-values en instance d'imposition";"MAR_PCG11";0;0;0;;0;0;0;;0;0;;0;;;;;;1
13540000;135;"Provisions pour investissements";"MAR_PCG11";0;0;0;;0;0;0;;0;0;;0;;;;;;1
13550000;135;"Provisions pour reconstitution des gisements";"MAR_PCG11";0;0;0;;0;0;0;;0;0;;0;;;;;;1
13560000;135;"Provisions pour acquisition et construction de logements";"MAR_PCG11";0;0;0;;0;0;0;;0;0;;0;;;;;;1
13580000;135;"Autres provisions réglementées";"MAR_PCG11";0;0;0;;0;0;0;;0;0;;0;;;;;;1
14;1;"DETTES DE FINANCEMENT";"MAR_PCG0";1;0;0;;0;0;0;;0;0;;0;;;;;;1
141;14;"Emprunts obligataires";"MAR_PCG0";1;0;0;;0;0;0;;0;0;;0;;;;;;1
14100000;14;"Emprunts Obligataires";"MAR_PCG6";0;0;0;;0;0;0;;0;0;;0;;;;;;1
148;14;"Autres dettes de financement";"MAR_PCG0";1;0;0;;0;0;0;;0;0;;0;;;;;;1
14810000;148;"Emprunts auprès des établissements de crédits";"MAR_PCG6";0;0;0;;0;0;0;;0;0;;0;;;;;;1
14820000;148;"Avance de l'Etat";"MAR_PCG6";0;0;0;;0;0;0;;0;0;;0;;;;;;1
14830000;148;"Dettes rattachées à des participations";"MAR_PCG6";0;0;0;;0;0;0;;0;0;;0;;;;;;1
14840000;148;"Billets de Fonds";"MAR_PCG6";0;0;0;;0;0;0;;0;0;;0;;;;;;1
14850000;148;"Avances reçus et comptes courants bloqués";"MAR_PCG6";0;0;0;;0;0;0;;0;0;;0;;;;;;1
14860000;148;"Fournisseurs d'immobilisations";"MAR_PCG10";0;0;0;;0;0;0;;0;0;;0;;;;;;1
14870000;148;"Dépôts et cautionnements reçus";"MAR_PCG6";0;0;0;;0;0;0;;0;0;;0;;;;;;1
14880000;148;"Dettes de Financement diverses";"MAR_PCG6";0;0;0;;0;0;0;;0;0;;0;;;;;;1
15;1;"provisions durables pour risques et charges";"MAR_PCG0";1;0;0;;0;0;0;;0;0;;0;;;;;;1
151;15;"Provisions pour risques";"MAR_PCG0";1;0;0;;0;0;0;;0;0;;0;;;;;;1
