"importId";"code";"hidden";"rule";"typeSelect";"reportTypeColumn_importId";"reportType_importId";"groupsWithoutColumn";"detailBySelect";"percentageBaseColumn";"styleSelect";"balanceBeforePeriod";"computePreviousYear";"negateValue";"analyticAccountCode";"processInstanceId";"accountCode";"stylePriority";"accountSet_importId";"analyticAccountSet_importId";"percentageTotalLine";"resultSelect";"accountTypeSet_importId";"label";"priority";"computeOtherPeriod";"sequence";"ruleTypeSelect";"notComputedIfIntersect"
"MAR_PCG10173";"net";"false";"brut - amoprov";"1";"31";;;"0";;"0";"false";"false";"false";;;;"0";;;;"1";;"Net";"0";"false";"2";"3";"false"
"MAR_PCG10171";"brut";"false";;"1";"31";;;"0";;"0";"false";"false";"false";;;"21%;22%;23%;24%;25%;27%;31%;34%;35%;37%;51%";"0";;;;"4";;"Brut";"0";"false";"0";"2";"false"
"MAR_PCG10172";"amoprov";"false";;"1";"31";;;"0";;"0";"false";"false";"false";;;"28%;29%;39%";"0";;;;"4";;"Amortissements et provisions";"0";"false";"1";"2";"false"
"MAR_PCG10021";"pdedfda";"false";;"1";;"MAR_PCG10028";;"0";;"0";"false";"false";"false";;;"104%";"0";;;;"2";;"Primes d'émission; de fusion; d'apport";"0";"false";"58";"2";"false"
"MAR_PCG10022";"ecdere";"false";;"1";;"MAR_PCG10028";;"0";;"0";"false";"false";"false";;;"105%";"0";;;;"2";;"Ecart de réévaluation";"0";"false";"59";"2";"false"
"MAR_PCG10023";"ecdeq";"false";;"1";;"MAR_PCG10028";;"0";;"0";"false";"false";"false";;;"107%;1057%";"0";;;;"2";;"Ecart d'équivalence";"0";"false";"60";"2";"false"
"MAR_PCG10024";"resleg";"false";;"1";;"MAR_PCG10028";;"0";;"0";"false";"false";"false";;;"1061%";"0";;;;"2";;"Réserve légale";"0";"false";"61";"2";"false"
"MAR_PCG10025";"ressta";"false";;"1";;"MAR_PCG10028";;"0";;"0";"false";"false";"false";;;"1063%";"0";;;;"2";;"Réserve statuaire";"0";"false";"62";"2";"false"
"MAR_PCG10026";"resreg";"false";;"1";;"MAR_PCG10028";;"0";;"0";"false";"false";"false";;;"1062%;1064%";"0";;;;"2";;"Réserve réglementée";"0";"false";"63";"2";"false"
"MAR_PCG10027";"autres";"false";;"1";;"MAR_PCG10028";;"0";;"0";"false";"false";"false";;;"1068%";"0";;;;"2";;"Autres réserves";"0";"false";"64";"2";"false"
"MAR_PCG10028";"reserve";"false";"resleg + ressta + resreg + autres";"1";;"MAR_PCG10028";;"0";;"0";"false";"false";"false";;;;"0";;;;"0";;"Réserve";"0";"false";"65";"3";"false"
"MAR_PCG10029";"repan";"false";;"1";;"MAR_PCG10028";;"0";;"0";"false";"false";"false";;;"11%";"0";;;;"2";;"Report à nouveau";"0";"false";"66";"2";"false"
"MAR_PCG10030";"ppr";"false";;"1";;"MAR_PCG10028";;"0";;"0";"false";"false";"false";;;"151%";"0";;;;"2";;"Provisions pour risques";"0";"false";"75";"2";"false"
