"importId";"move";"partner.importId";"date";"dueDate";"account.code";"credit";"debit";"taxline.importId";"origin";"description"
"1000-1";1000;20;"2019-01-09";"2019-01-09";"401100";3600;;;"FC20191000";"Achats divers"
"1000-2";1000;20;"2019-01-09";"2019-01-09";"445511";;600;;"FC20191000";"Achats divers"
"1000-3";1000;20;"2019-01-09";"2019-01-09";"601100";;3000;13;"FC20191000";"Achats divers"
"1001-1";1001;44;"2019-01-18";"2019-01-18";"401100";8400;;;"FC20191001";"Achats divers"
"1001-2";1001;44;"2019-01-18";"2019-01-18";"445511";;1400;;"FC20191001";"Achats divers"
"1001-3";1001;44;"2019-01-18";"2019-01-18";"601100";;7000;13;"FC20191001";"Achats divers"
"1002-1";1002;70;"2019-01-27";"2019-01-27";"401100";3600;;;"FC20191002";"Achats divers"
"1002-2";1002;70;"2019-01-27";"2019-01-27";"445511";;600;;"FC20191002";"Achats divers"
"1002-3";1002;70;"2019-01-27";"2019-01-27";"601100";;3000;13;"FC20191002";"Achats divers"
"1003-1";1003;77;"2019-02-09";"2019-02-09";"401100";6000;;;"FC20191003";"Achats divers"
"1003-2";1003;77;"2019-02-09";"2019-02-09";"445511";;1000;;"FC20191003";"Achats divers"
"1003-3";1003;77;"2019-02-09";"2019-02-09";"601100";;5000;13;"FC20191003";"Achats divers"
"1004-1";1004;88;"2019-02-18";"2019-02-18";"401100";13200;;;"FC20191004";"Achats divers"
"1004-2";1004;88;"2019-02-18";"2019-02-18";"445511";;2200;;"FC20191004";"Achats divers"
"1004-3";1004;88;"2019-02-18";"2019-02-18";"601100";;11000;13;"FC20191004";"Achats divers"
"1005-1";1005;132;"2019-02-27";"2019-02-27";"401100";4800;;;"FC20191005";"Achats divers"
"1005-2";1005;132;"2019-02-27";"2019-02-27";"445511";;800;;"FC20191005";"Achats divers"
"1005-3";1005;132;"2019-02-27";"2019-02-27";"601100";;4000;13;"FC20191005";"Achats divers"
"1006-1";1006;237;"2019-03-09";"2019-03-09";"401100";12000;;;"FC20191006";"Achats divers"
"1006-2";1006;237;"2019-03-09";"2019-03-09";"445511";;2000;;"FC20191006";"Achats divers"
"1006-3";1006;237;"2019-03-09";"2019-03-09";"601100";;10000;13;"FC20191006";"Achats divers"
"1007-1";1007;20;"2019-03-18";"2019-03-18";"401100";7200;;;"FC20191007";"Achats divers"
"1007-2";1007;20;"2019-03-18";"2019-03-18";"445511";;1200;;"FC20191007";"Achats divers"
"1007-3";1007;20;"2019-03-18";"2019-03-18";"601100";;6000;13;"FC20191007";"Achats divers"
"1008-1";1008;44;"2019-03-27";"2019-03-27";"401100";8400;;;"FC20191008";"Achats divers"
"1008-2";1008;44;"2019-03-27";"2019-03-27";"445511";;1400;;"FC20191008";"Achats divers"
"1008-3";1008;44;"2019-03-27";"2019-03-27";"601100";;7000;13;"FC20191008";"Achats divers"
"1009-1";1009;70;"2019-04-09";"2019-04-09";"401100";13200;;;"FC20191009";"Achats divers"
"1009-2";1009;70;"2019-04-09";"2019-04-09";"445511";;2200;;"FC20191009";"Achats divers"
"1009-3";1009;70;"2019-04-09";"2019-04-09";"601100";;11000;13;"FC20191009";"Achats divers"
"1010-1";1010;77;"2019-04-18";"2019-04-18";"401100";6000;;;"FC20191010";"Achats divers"
"1010-2";1010;77;"2019-04-18";"2019-04-18";"445511";;1000;;"FC20191010";"Achats divers"
"1010-3";1010;77;"2019-04-18";"2019-04-18";"601100";;5000;13;"FC20191010";"Achats divers"
"1011-1";1011;88;"2019-04-27";"2019-04-27";"401100";8400;;;"FC20191011";"Achats divers"
"1011-2";1011;88;"2019-04-27";"2019-04-27";"445511";;1400;;"FC20191011";"Achats divers"
"1011-3";1011;88;"2019-04-27";"2019-04-27";"601100";;7000;13;"FC20191011";"Achats divers"
"1012-1";1012;132;"2019-05-09";"2019-05-09";"401100";8400;;;"FC20191012";"Achats divers"
"1012-2";1012;132;"2019-05-09";"2019-05-09";"445511";;1400;;"FC20191012";"Achats divers"
"1012-3";1012;132;"2019-05-09";"2019-05-09";"601100";;7000;13;"FC20191012";"Achats divers"
"1013-1";1013;237;"2019-05-18";"2019-05-18";"401100";12000;;;"FC20191013";"Achats divers"
"1013-2";1013;237;"2019-05-18";"2019-05-18";"445511";;2000;;"FC20191013";"Achats divers"
"1013-3";1013;237;"2019-05-18";"2019-05-18";"601100";;10000;13;"FC20191013";"Achats divers"
"1014-1";1014;20;"2019-05-27";"2019-05-27";"401100";3600;;;"FC20191014";"Achats divers"
"1014-2";1014;20;"2019-05-27";"2019-05-27";"445511";;600;;"FC20191014";"Achats divers"
"1014-3";1014;20;"2019-05-27";"2019-05-27";"601100";;3000;13;"FC20191014";"Achats divers"
"1015-1";1015;44;"2019-06-09";"2019-06-09";"401100";13200;;;"FC20191015";"Achats divers"
"1015-2";1015;44;"2019-06-09";"2019-06-09";"445511";;2200;;"FC20191015";"Achats divers"
"1015-3";1015;44;"2019-06-09";"2019-06-09";"601100";;11000;13;"FC20191015";"Achats divers"
"1016-1";1016;70;"2019-06-18";"2019-06-18";"401100";7200;;;"FC20191016";"Achats divers"
"1016-2";1016;70;"2019-06-18";"2019-06-18";"445511";;1200;;"FC20191016";"Achats divers"
"1016-3";1016;70;"2019-06-18";"2019-06-18";"601100";;6000;13;"FC20191016";"Achats divers"
"1017-1";1017;77;"2019-06-27";"2019-06-27";"401100";13200;;;"FC20191017";"Achats divers"
"1017-2";1017;77;"2019-06-27";"2019-06-27";"445511";;2200;;"FC20191017";"Achats divers"
"1017-3";1017;77;"2019-06-27";"2019-06-27";"601100";;11000;13;"FC20191017";"Achats divers"
"1018-1";1018;88;"2019-07-09";"2019-07-09";"401100";13200;;;"FC20191018";"Achats divers"
"1018-2";1018;88;"2019-07-09";"2019-07-09";"445511";;2200;;"FC20191018";"Achats divers"
"1018-3";1018;88;"2019-07-09";"2019-07-09";"601100";;11000;13;"FC20191018";"Achats divers"
"1019-1";1019;132;"2019-07-18";"2019-07-18";"401100";9600;;;"FC20191019";"Achats divers"
"1019-2";1019;132;"2019-07-18";"2019-07-18";"445511";;1600;;"FC20191019";"Achats divers"
"1019-3";1019;132;"2019-07-18";"2019-07-18";"601100";;8000;13;"FC20191019";"Achats divers"
"1020-1";1020;237;"2019-07-27";"2019-07-27";"401100";8400;;;"FC20191020";"Achats divers"
"1020-2";1020;237;"2019-07-27";"2019-07-27";"445511";;1400;;"FC20191020";"Achats divers"
"1020-3";1020;237;"2019-07-27";"2019-07-27";"601100";;7000;13;"FC20191020";"Achats divers"
"1021-1";1021;20;"2019-08-09";"2019-08-09";"401100";10800;;;"FC20191021";"Achats divers"
"1021-2";1021;20;"2019-08-09";"2019-08-09";"445511";;1800;;"FC20191021";"Achats divers"
"1021-3";1021;20;"2019-08-09";"2019-08-09";"601100";;9000;13;"FC20191021";"Achats divers"
"1022-1";1022;44;"2019-08-18";"2019-08-18";"401100";7200;;;"FC20191022";"Achats divers"
"1022-2";1022;44;"2019-08-18";"2019-08-18";"445511";;1200;;"FC20191022";"Achats divers"
"1022-3";1022;44;"2019-08-18";"2019-08-18";"601100";;6000;13;"FC20191022";"Achats divers"
"1023-1";1023;70;"2019-08-27";"2019-08-27";"401100";3600;;;"FC20191023";"Achats divers"
"1023-2";1023;70;"2019-08-27";"2019-08-27";"445511";;600;;"FC20191023";"Achats divers"
"1023-3";1023;70;"2019-08-27";"2019-08-27";"601100";;3000;13;"FC20191023";"Achats divers"
"1024-1";1024;77;"2019-09-09";"2019-09-09";"401100";7200;;;"FC20191024";"Achats divers"
"1024-2";1024;77;"2019-09-09";"2019-09-09";"445511";;1200;;"FC20191024";"Achats divers"
"1024-3";1024;77;"2019-09-09";"2019-09-09";"601100";;6000;13;"FC20191024";"Achats divers"
"1025-1";1025;88;"2019-09-18";"2019-09-18";"401100";8400;;;"FC20191025";"Achats divers"
"1025-2";1025;88;"2019-09-18";"2019-09-18";"445511";;1400;;"FC20191025";"Achats divers"
"1025-3";1025;88;"2019-09-18";"2019-09-18";"601100";;7000;13;"FC20191025";"Achats divers"
"1026-1";1026;132;"2019-09-27";"2019-09-27";"401100";7200;;;"FC20191026";"Achats divers"
"1026-2";1026;132;"2019-09-27";"2019-09-27";"445511";;1200;;"FC20191026";"Achats divers"
"1026-3";1026;132;"2019-09-27";"2019-09-27";"601100";;6000;13;"FC20191026";"Achats divers"
"1027-1";1027;237;"2019-10-09";"2019-10-09";"401100";10800;;;"FC20191027";"Achats divers"
"1027-2";1027;237;"2019-10-09";"2019-10-09";"445511";;1800;;"FC20191027";"Achats divers"
"1027-3";1027;237;"2019-10-09";"2019-10-09";"601100";;9000;13;"FC20191027";"Achats divers"
"1028-1";1028;20;"2019-10-18";"2019-10-18";"401100";6000;;;"FC20191028";"Achats divers"
"1028-2";1028;20;"2019-10-18";"2019-10-18";"445511";;1000;;"FC20191028";"Achats divers"
"1028-3";1028;20;"2019-10-18";"2019-10-18";"601100";;5000;13;"FC20191028";"Achats divers"
"1029-1";1029;44;"2019-10-27";"2019-10-27";"401100";3600;;;"FC20191029";"Achats divers"
"1029-2";1029;44;"2019-10-27";"2019-10-27";"445511";;600;;"FC20191029";"Achats divers"
"1029-3";1029;44;"2019-10-27";"2019-10-27";"601100";;3000;13;"FC20191029";"Achats divers"
"1030-1";1030;70;"2019-11-09";"2019-11-09";"401100";8400;;;"FC20191030";"Achats divers"
"1030-2";1030;70;"2019-11-09";"2019-11-09";"445511";;1400;;"FC20191030";"Achats divers"
