"importId";"journal";"move";"partner.importId";"date";"dueDate";"account.code";"credit";"debit";"taxline.importId";"origin";"description"
"5000-1";"DEC_CHQ";5000;20;"2019-01-09";"2019-01-09";"401100";;3000;;"CHQ20195000";"Paiement fournisseur par CHQ20195000"
"5000-2";"DEC_CHQ";5000;20;"2019-01-09";"2019-01-09";"512100";3000;;;"CHQ20195000";"Paiement fournisseur par CHQ20195000"
"5001-1";"DEC_CHQ";5001;44;"2019-01-18";"2019-01-18";"401100";;7000;;"CHQ20195001";"Paiement fournisseur par CHQ20195001"
"5001-2";"DEC_CHQ";5001;44;"2019-01-18";"2019-01-18";"512100";7000;;;"CHQ20195001";"Paiement fournisseur par CHQ20195001"
"5002-1";"DEC_CHQ";5002;70;"2019-01-27";"2019-01-27";"401100";;3000;;"CHQ20195002";"Paiement fournisseur par CHQ20195002"
"5002-2";"DEC_CHQ";5002;70;"2019-01-27";"2019-01-27";"512100";3000;;;"CHQ20195002";"Paiement fournisseur par CHQ20195002"
"5003-1";"DEC_CHQ";5003;77;"2019-02-09";"2019-02-09";"401100";;5000;;"CHQ20195003";"Paiement fournisseur par CHQ20195003"
"5003-2";"DEC_CHQ";5003;77;"2019-02-09";"2019-02-09";"512100";5000;;;"CHQ20195003";"Paiement fournisseur par CHQ20195003"
"5004-1";"DEC_CHQ";5004;88;"2019-02-18";"2019-02-18";"401100";;11000;;"CHQ20195004";"Paiement fournisseur par CHQ20195004"
"5004-2";"DEC_CHQ";5004;88;"2019-02-18";"2019-02-18";"512100";11000;;;"CHQ20195004";"Paiement fournisseur par CHQ20195004"
"5005-1";"DEC_CHQ";5005;132;"2019-02-27";"2019-02-27";"401100";;4000;;"CHQ20195005";"Paiement fournisseur par CHQ20195005"
"5005-2";"DEC_CHQ";5005;132;"2019-02-27";"2019-02-27";"512100";4000;;;"CHQ20195005";"Paiement fournisseur par CHQ20195005"
"5006-1";"DEC_CHQ";5006;237;"2019-03-09";"2019-03-09";"401100";;10000;;"CHQ20195006";"Paiement fournisseur par CHQ20195006"
"5006-2";"DEC_CHQ";5006;237;"2019-03-09";"2019-03-09";"512100";10000;;;"CHQ20195006";"Paiement fournisseur par CHQ20195006"
"5007-1";"DEC_CHQ";5007;20;"2019-03-18";"2019-03-18";"401100";;6000;;"CHQ20195007";"Paiement fournisseur par CHQ20195007"
"5007-2";"DEC_CHQ";5007;20;"2019-03-18";"2019-03-18";"512100";6000;;;"CHQ20195007";"Paiement fournisseur par CHQ20195007"
"5008-1";"DEC_CHQ";5008;44;"2019-03-27";"2019-03-27";"401100";;7000;;"CHQ20195008";"Paiement fournisseur par CHQ20195008"
"5008-2";"DEC_CHQ";5008;44;"2019-03-27";"2019-03-27";"512100";7000;;;"CHQ20195008";"Paiement fournisseur par CHQ20195008"
"5009-1";"DEC_CHQ";5009;70;"2019-04-09";"2019-04-09";"401100";;11000;;"CHQ20195009";"Paiement fournisseur par CHQ20195009"
"5009-2";"DEC_CHQ";5009;70;"2019-04-09";"2019-04-09";"512100";11000;;;"CHQ20195009";"Paiement fournisseur par CHQ20195009"
"5010-1";"DEC_CHQ";5010;77;"2019-04-18";"2019-04-18";"401100";;5000;;"CHQ20195010";"Paiement fournisseur par CHQ20195010"
"5010-2";"DEC_CHQ";5010;77;"2019-04-18";"2019-04-18";"512100";5000;;;"CHQ20195010";"Paiement fournisseur par CHQ20195010"
"5011-1";"DEC_CHQ";5011;88;"2019-04-27";"2019-04-27";"401100";;7000;;"CHQ20195011";"Paiement fournisseur par CHQ20195011"
"5011-2";"DEC_CHQ";5011;88;"2019-04-27";"2019-04-27";"512100";7000;;;"CHQ20195011";"Paiement fournisseur par CHQ20195011"
"5012-1";"DEC_CHQ";5012;132;"2019-05-09";"2019-05-09";"401100";;7000;;"CHQ20195012";"Paiement fournisseur par CHQ20195012"
"5012-2";"DEC_CHQ";5012;132;"2019-05-09";"2019-05-09";"512100";7000;;;"CHQ20195012";"Paiement fournisseur par CHQ20195012"
"5013-1";"DEC_CHQ";5013;237;"2019-05-18";"2019-05-18";"401100";;10000;;"CHQ20195013";"Paiement fournisseur par CHQ20195013"
"5013-2";"DEC_CHQ";5013;237;"2019-05-18";"2019-05-18";"512100";10000;;;"CHQ20195013";"Paiement fournisseur par CHQ20195013"
"5014-1";"DEC_CHQ";5014;20;"2019-05-27";"2019-05-27";"401100";;3000;;"CHQ20195014";"Paiement fournisseur par CHQ20195014"
"5014-2";"DEC_CHQ";5014;20;"2019-05-27";"2019-05-27";"512100";3000;;;"CHQ20195014";"Paiement fournisseur par CHQ20195014"
"5015-1";"DEC_CHQ";5015;44;"2019-06-09";"2019-06-09";"401100";;11000;;"CHQ20195015";"Paiement fournisseur par CHQ20195015"
"5015-2";"DEC_CHQ";5015;44;"2019-06-09";"2019-06-09";"512100";11000;;;"CHQ20195015";"Paiement fournisseur par CHQ20195015"
"5016-1";"DEC_CHQ";5016;70;"2019-06-18";"2019-06-18";"401100";;6000;;"CHQ20195016";"Paiement fournisseur par CHQ20195016"
"5016-2";"DEC_CHQ";5016;70;"2019-06-18";"2019-06-18";"512100";6000;;;"CHQ20195016";"Paiement fournisseur par CHQ20195016"
"5017-1";"DEC_CHQ";5017;77;"2019-06-27";"2019-06-27";"401100";;11000;;"CHQ20195017";"Paiement fournisseur par CHQ20195017"
"5017-2";"DEC_CHQ";5017;77;"2019-06-27";"2019-06-27";"512100";11000;;;"CHQ20195017";"Paiement fournisseur par CHQ20195017"
"5018-1";"DEC_CHQ";5018;88;"2019-07-09";"2019-07-09";"401100";;11000;;"CHQ20195018";"Paiement fournisseur par CHQ20195018"
"5018-2";"DEC_CHQ";5018;88;"2019-07-09";"2019-07-09";"512100";11000;;;"CHQ20195018";"Paiement fournisseur par CHQ20195018"
"5019-1";"DEC_CHQ";5019;132;"2019-07-18";"2019-07-18";"401100";;8000;;"CHQ20195019";"Paiement fournisseur par CHQ20195019"
"5019-2";"DEC_CHQ";5019;132;"2019-07-18";"2019-07-18";"512100";8000;;;"CHQ20195019";"Paiement fournisseur par CHQ20195019"
"5020-1";"DEC_CHQ";5020;237;"2019-07-27";"2019-07-27";"401100";;7000;;"CHQ20195020";"Paiement fournisseur par CHQ20195020"
"5020-2";"DEC_CHQ";5020;237;"2019-07-27";"2019-07-27";"512100";7000;;;"CHQ20195020";"Paiement fournisseur par CHQ20195020"
"5021-1";"DEC_CHQ";5021;20;"2019-08-09";"2019-08-09";"401100";;9000;;"CHQ20195021";"Paiement fournisseur par CHQ20195021"
"5021-2";"DEC_CHQ";5021;20;"2019-08-09";"2019-08-09";"512100";9000;;;"CHQ20195021";"Paiement fournisseur par CHQ20195021"
"5022-1";"DEC_CHQ";5022;44;"2019-08-18";"2019-08-18";"401100";;6000;;"CHQ20195022";"Paiement fournisseur par CHQ20195022"
"5022-2";"DEC_CHQ";5022;44;"2019-08-18";"2019-08-18";"512100";6000;;;"CHQ20195022";"Paiement fournisseur par CHQ20195022"
"5023-1";"DEC_CHQ";5023;70;"2019-08-27";"2019-08-27";"401100";;3000;;"CHQ20195023";"Paiement fournisseur par CHQ20195023"
"5023-2";"DEC_CHQ";5023;70;"2019-08-27";"2019-08-27";"512100";3000;;;"CHQ20195023";"Paiement fournisseur par CHQ20195023"
"5024-1";"DEC_CHQ";5024;77;"2019-09-09";"2019-09-09";"401100";;6000;;"CHQ20195024";"Paiement fournisseur par CHQ20195024"
"5024-2";"DEC_CHQ";5024;77;"2019-09-09";"2019-09-09";"512100";6000;;;"CHQ20195024";"Paiement fournisseur par CHQ20195024"
"5025-1";"DEC_CHQ";5025;88;"2019-09-18";"2019-09-18";"401100";;7000;;"CHQ20195025";"Paiement fournisseur par CHQ20195025"
"5025-2";"DEC_CHQ";5025;88;"2019-09-18";"2019-09-18";"512100";7000;;;"CHQ20195025";"Paiement fournisseur par CHQ20195025"
"5026-1";"DEC_CHQ";5026;132;"2019-09-27";"2019-09-27";"401100";;4500;;"CHQ20195026";"Paiement fournisseur par CHQ20195026"
"5026-2";"DEC_CHQ";5026;132;"2019-09-27";"2019-09-27";"512100";4500;;;"CHQ20195026";"Paiement fournisseur par CHQ20195026"
"5027-1";"DEC_CHQ";5027;237;"2019-10-09";"2019-10-09";"401100";;9000;;"CHQ20195027";"Paiement fournisseur par CHQ20195027"
"5027-2";"DEC_CHQ";5027;237;"2019-10-09";"2019-10-09";"512100";9000;;;"CHQ20195027";"Paiement fournisseur par CHQ20195027"
"5028-1";"DEC_CHQ";5028;20;"2019-10-18";"2019-10-18";"401100";;3000;;"CHQ20195028";"Paiement fournisseur par CHQ20195028"
"5028-2";"DEC_CHQ";5028;20;"2019-10-18";"2019-10-18";"512100";3000;;;"CHQ20195028";"Paiement fournisseur par CHQ20195028"
"5029-1";"DEC_CHQ";5029;44;"2019-10-27";"2019-10-27";"401100";;3000;;"CHQ20195029";"Paiement fournisseur par CHQ20195029"
