"importId";"accountManagement.importId";"ruleTypeSelect";"partner.importId";"counterpartAccount.code";"bankStatementQuery.importId";"searchLabel"
10;25;0;20;"401100";10;"CHEQUE"
20;27;0;20;"401100";11;"DEC_AUTRES"
30;24;0;20;"401100";12;"DEC_CB"
40;25;0;20;"401100";13;"DEC_CHEQUE"
50;21;0;20;"401100";30;"2456525"
60;12;0;20;"401100";31;"ENC_Autres"
70;16;0;20;"401100";32;"ENC_CB"
80;17;0;20;"401100";20;"ENC_CHQ"
90;18;0;20;"401100";21;"ENC_WEB"
100;13;0;20;"401100";22;"ENC_PRE"
110;19;0;20;"401100";11;"ENC_VIR"
