"importId";"Journal";"company.code";"debitMoveLine.importId";"creditMoveLine.importId";"amount";"reconciliationDate";"reconcileSeq";"mustBeZeroBalanceOk"
100000;"ACH";"AXE";"5000-1";"1000-1";3000;"2019-01-09";"RECON2001100000";"true"
100001;"ACH";"AXE";"5001-1";"1001-1";7000;"2019-01-18";"RECON2001100001";"true"
100002;"ACH";"AXE";"5002-1";"1002-1";3000;"2019-01-27";"RECON2001100002";"true"
100003;"ACH";"AXE";"5003-1";"1003-1";5000;"2019-02-09";"RECON2002100003";"true"
100004;"ACH";"AXE";"5004-1";"1004-1";11000;"2019-02-18";"RECON2002100004";"true"
100005;"ACH";"AXE";"5005-1";"1005-1";4000;"2019-02-27";"RECON2002100005";"true"
100006;"ACH";"AXE";"5006-1";"1006-1";10000;"2019-03-09";"RECON2003100006";"true"
100007;"ACH";"AXE";"5007-1";"1007-1";6000;"2019-03-18";"RECON2003100007";"true"
100008;"ACH";"AXE";"5008-1";"1008-1";7000;"2019-03-27";"RECON2003100008";"true"
100009;"ACH";"AXE";"5009-1";"1009-1";11000;"2019-04-09";"RECON2004100009";"true"
100010;"ACH";"AXE";"5010-1";"1010-1";5000;"2019-04-18";"RECON2004100010";"true"
100011;"ACH";"AXE";"5011-1";"1011-1";7000;"2019-04-27";"RECON2004100011";"true"
100012;"ACH";"AXE";"5012-1";"1012-1";7000;"2019-05-09";"RECON2005100012";"true"
100013;"ACH";"AXE";"5013-1";"1013-1";10000;"2019-05-18";"RECON2005100013";"true"
100014;"ACH";"AXE";"5014-1";"1014-1";3000;"2019-05-27";"RECON2005100014";"true"
100015;"ACH";"AXE";"5015-1";"1015-1";11000;"2019-06-09";"RECON2006100015";"true"
100016;"ACH";"AXE";"5016-1";"1016-1";6000;"2019-06-18";"RECON2006100016";"true"
100017;"ACH";"AXE";"5017-1";"1017-1";11000;"2019-06-27";"RECON2006100017";"true"
100018;"ACH";"AXE";"5018-1";"1018-1";11000;"2019-07-09";"RECON2007100018";"true"
100019;"ACH";"AXE";"5019-1";"1019-1";8000;"2019-07-18";"RECON2007100019";"true"
100020;"ACH";"AXE";"5020-1";"1020-1";7000;"2019-07-27";"RECON2007100020";"true"
100021;"ACH";"AXE";"5021-1";"1021-1";9000;"2019-08-09";"RECON2008100021";"true"
100022;"ACH";"AXE";"5022-1";"1022-1";6000;"2019-08-18";"RECON2008100022";"true"
100023;"ACH";"AXE";"5023-1";"1023-1";3000;"2019-08-27";"RECON2008100023";"true"
100024;"ACH";"AXE";"5024-1";"1024-1";6000;"2019-09-09";"RECON2009100024";"true"
100025;"ACH";"AXE";"5025-1";"1025-1";7000;"2019-09-18";"RECON2009100025";"true"
100026;"ACH";"AXE";"5026-1";"1026-1";4500;"2019-09-27";"RECON2009100026";"true"
100027;"ACH";"AXE";"5027-1";"1027-1";9000;"2019-10-09";"RECON2010100027";"true"
100028;"ACH";"AXE";"5028-1";"1028-1";3000;"2019-10-18";"RECON2010100028";"true"
100029;"ACH";"AXE";"5029-1";"1029-1";3000;"2019-10-27";"RECON2010100029";"true"
100030;"ACH";"AXE";"5030-1";"1030-1";2800;"2019-11-09";"RECON2011100030";"true"
100031;"ACH";"AXE";"5031-1";"1031-1";900;"2019-11-18";"RECON2011100031";"true"
100032;"ACH";"AXE";"5032-1";"1032-1";1800;"2019-11-27";"RECON2011100032";"true"
100033;"ACH";"AXE";"5033-1";"1033-1";300;"2019-12-09";"RECON2012100033";"true"
100034;"ACH";"AXE";"5034-1";"1034-1";2000;"2019-12-18";"RECON2012100034";"true"
100035;"ACH";"AXE";"5035-1";"1035-1";2500;"2019-12-27";"RECON2012100035";"true"
