"importId";"bankStatement.importId";"sequence";"lineTypeSelect";"operationDate";"valueDate";"debit";"credit";"currency.code";"bankDetails.importId";"operationInterbankCodeLine.importId";"description";"origin";"reference";"rejectInterbankCodeLine.importId";"unavailabilityIndexSelect";"commissionExemptionIndexSelect";"amountRemainToReconcile"
"2019-01-0";"2019-01";0;1;"2019-01-01";;;8888;"EUR";90000;;;;;;;;0
"2019-01-1";"2019-01";1;2;"2019-01-09";"2019-01-09";3000;;"EUR";90000;1;"Paiement fournisseur par CHQ20195000";"CHQ20195000";;;0;0;3000
"2019-01-2";"2019-01";2;2;"2019-01-18";"2019-01-18";7000;;"EUR";90000;1;"Paiement fournisseur par CHQ20195001";"CHQ20195001";;;0;0;7000
"2019-01-3";"2019-01";3;2;"2019-01-27";"2019-01-27";3000;;"EUR";90000;;"Paiement fournisseur par CHQ20195002";"CHQ20195002";;;0;0;3000
"2019-01-4";"2019-01";4;3;"2019-01-30";;4112;;;;;;;;;;;0
"2019-02-0";"2019-02";0;1;"2019-02-01";;4112;;"EUR";90000;;;;;;;;0
"2019-02-1";"2019-02";1;2;"2019-02-09";"2019-02-09";5000;;"EUR";90000;1;"Paiement fournisseur par CHQ20195003";"CHQ20195003";;;0;0;5000
"2019-02-2";"2019-02";2;2;"2019-02-18";"2019-02-18";11000;;"EUR";90000;1;"Paiement fournisseur par CHQ20195004";"CHQ20195004";;;0;0;11000
"2019-02-3";"2019-02";3;2;"2019-02-27";"2019-02-27";4000;;"EUR";90000;;"Paiement fournisseur par CHQ20195005";"CHQ20195005";;;0;0;4000
"2019-02-4";"2019-02";4;3;"2019-02-28";;24112;;;90000;;;;;;;;0
"2019-03-0";"2019-03";0;1;"2019-03-01";;24112;;"EUR";90000;;;;;;;;0
"2019-03-1";"2019-03";1;2;"2019-03-09";"2019-03-09";10000;;"EUR";90000;1;"Paiement fournisseur par CHQ20195006";"CHQ20195006";;;0;0;10000
"2019-03-2";"2019-03";2;2;"2019-03-18";"2019-03-18";6000;;"EUR";90000;1;"Paiement fournisseur par CHQ20195007";"CHQ20195007";;;0;0;6000
"2019-03-3";"2019-03";3;2;"2019-03-27";"2019-03-27";7000;;"EUR";90000;;"Paiement fournisseur par CHQ20195008";"CHQ20195008";;;0;0;7000
"2019-03-4";"2019-03";4;3;"2019-03-30";;47112;;"EUR";90000;;;;;;;;0
"2019-04-0";"2019-04";0;1;"2019-04-01";;47112;;"EUR";90000;;;;;;;;0
"2019-04-1";"2019-04";1;2;"2019-04-09";"2019-04-09";11000;;"EUR";90000;;"Paiement fournisseur par CHQ20195009";"CHQ20195009";;;0;0;11000
"2019-04-2";"2019-04";2;2;"2019-04-18";"2019-04-18";5000;;"EUR";90000;;"Paiement fournisseur par CHQ20195010";"CHQ20195010";;;0;0;5000
"2019-04-3";"2019-04";3;2;"2019-04-27";"2019-04-27";7000;;"EUR";90000;;"Paiement fournisseur par CHQ20195011";"CHQ20195011";;;0;0;7000
"2019-04-4";"2019-04";4;3;"2019-04-30";;70112;;"EUR";90000;;;;;;;;0
"2019-05-0";"2019-05";0;1;"2019-05-01";;70112;;"EUR";90000;;;;;;;;0
"2019-05-1";"2019-05";1;2;"2019-05-09";"2019-05-09";7000;;"EUR";90000;;"Paiement fournisseur par CHQ20195012";"CHQ20195012";;;0;0;7000
"2019-05-2";"2019-05";2;2;"2019-05-18";"2019-05-18";10000;;"EUR";90000;;"Paiement fournisseur par CHQ20195013";"CHQ20195013";;;0;0;10000
"2019-05-3";"2019-05";3;2;"2019-05-27";"2019-05-27";3000;;"EUR";90000;;"Paiement fournisseur par CHQ20195014";"CHQ20195014";;;0;0;3000
"2019-05-4";"2019-05";4;3;"2019-05-30";;90112;;"EUR";90000;;;;;;;;0
"2019-06-0";"2019-06";0;1;"2019-06-01";;90112;;"EUR";90000;;;;;;;;0
"2019-06-1";"2019-06";1;2;"2019-06-09";"2019-06-09";11000;;"EUR";90000;;"Paiement fournisseur par CHQ20195015";"CHQ20195015";;;0;0;11000
"2019-06-2";"2019-06";2;2;"2019-06-18";"2019-06-18";6000;;"EUR";90000;;"Paiement fournisseur par CHQ20195016";"CHQ20195016";;;0;0;6000
"2019-06-3";"2019-06";3;2;"2019-06-27";"2019-06-27";11000;;"EUR";90000;;"Paiement fournisseur par CHQ20195017";"CHQ20195017";;;0;0;11000
"2019-06-4";"2019-06";4;3;"2019-06-30";;118112;;"EUR";90000;;;;;;;;0
"2019-07-0";"2019-07";0;1;"2019-07-01";;118112;;"EUR";90000;;;;;;;;0
"2019-07-1";"2019-07";1;2;"2019-07-09";"2019-07-09";11000;;"EUR";90000;;"Paiement fournisseur par CHQ20195018";"CHQ20195018";;;0;0;11000
"2019-07-2";"2019-07";2;2;"2019-07-18";"2019-07-18";8000;;"EUR";90000;;"Paiement fournisseur par CHQ20195019";"CHQ20195019";;;0;0;8000
"2019-07-3";"2019-07";3;2;"2019-07-27";"2019-07-27";7000;;"EUR";90000;;"Paiement fournisseur par CHQ20195020";"CHQ20195020";;;0;0;7000
"2019-07-4";"2019-07";4;3;"2019-07-30";;144112;;"EUR";90000;;;;;;;;0
"2019-08-0";"2019-08";0;1;"2019-08-01";;144112;;"EUR";90000;;;;;;;;0
"2019-08-1";"2019-08";1;2;"2019-08-09";"2019-08-09";9000;;"EUR";90000;;"Paiement fournisseur par CHQ20195021";"CHQ20195021";;;0;0;9000
"2019-08-2";"2019-08";2;2;"2019-08-18";"2019-08-18";6000;;"EUR";90000;;"Paiement fournisseur par CHQ20195022";"CHQ20195022";;;0;0;6000
"2019-08-3";"2019-08";3;2;"2019-08-27";"2019-08-27";3000;;"EUR";90000;;"Paiement fournisseur par CHQ20195023";"CHQ20195023";;;0;0;3000
"2019-08-4";"2019-08";4;3;"2019-08-30";;162112;;"EUR";90000;;;;;;;;0
"2019-09-0";"2019-09";0;1;"2019-09-01";;162112;;"EUR";90000;;;;;;;;0
"2019-09-1";"2019-09";1;2;"2019-09-09";"2019-09-09";6000;;"EUR";90000;;"Paiement fournisseur par CHQ20195024";"CHQ20195024";;;0;0;6000
"2019-09-2";"2019-09";2;2;"2019-09-18";"2019-09-18";7000;;"EUR";90000;;"Paiement fournisseur par CHQ20195025";"CHQ20195025";;;0;0;7000
"2019-09-3";"2019-09";3;2;"2019-09-27";"2019-09-27";4500;;"EUR";90000;;"Paiement fournisseur par CHQ20195026";"CHQ20195026";;;0;0;4500
"2019-09-4";"2019-09";4;3;"2019-09-30";;179612;;"EUR";90000;;;;;;;;0
"2019-10-0";"2019-10";0;1;"2019-10-01";;179612;;"EUR";90000;;;;;;;;0
"2019-10-1";"2019-10";1;2;"2019-10-09";"2019-10-09";9000;;"EUR";90000;;"Paiement fournisseur par CHQ20195027";"CHQ20195027";;;0;0;9000
"2019-10-2";"2019-10";2;2;"2019-10-18";"2019-10-18";3000;;"EUR";90000;;"Paiement fournisseur par CHQ20195028";"CHQ20195028";;;0;0;3000
"2019-10-3";"2019-10";3;2;"2019-10-27";"2019-10-27";3000;;"EUR";90000;;"Paiement fournisseur par CHQ20195029";"CHQ20195029";;;0;0;3000
"2019-10-4";"2019-10";4;3;"2019-10-30";;194612;;"EUR";90000;;;;;;;;0
"2019-11-0";"2019-11";0;1;"2019-11-01";;194612;;"EUR";90000;;;;;;;;0
"2019-11-1";"2019-11";1;2;"2019-11-09";"2019-11-09";2800;;"EUR";90000;;"Paiement fournisseur par CHQ20195030";"CHQ20195030";;;0;0;2800
